t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;-4.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => 1.3812585047769022, "gd" => 3.0980030405785195e-16, "gS" => 0.3300150881200177);Dict("ΔS" => 0.00024908987928649553, "Δs" => 0.8523518149128329, "gd" => 0.0006357300936406358, "gS" => 0.1465176157355863);32.018801339;9.950248723057664e-9
1.0;-4.0;0.0;128.0;100.0;0.01;Dict("ΔS" => -0.0, "Δs" => 1.3807764380032124, "gd" => -4.2787807705595346e-16, "gS" => 0.3299404583916595);Dict("ΔS" => 0.0005649083792842914, "Δs" => 0.7236918205233422, "gd" => 0.00025767345236829304, "gS" => 0.12461005886976739);39.927403179;0.0631404938851367
1.0;-4.0;0.0;128.0;100.0;0.02;Dict("ΔS" => -0.0, "Δs" => 1.3793005514257446, "gd" => 9.551473756827246e-16, "gS" => 0.3297214172453636);Dict("ΔS" => 5.718865681761564e-5, "Δs" => 0.851579630969379, "gd" => 6.665259954687752e-5, "gS" => 0.14653424695698636);45.941427435;0.12631861007552472
1.0;-4.0;0.0;128.0;100.0;0.03;Dict("ΔS" => -0.0, "Δs" => 1.3768603613896169, "gd" => 7.577002423457178e-16, "gS" => 0.32935204771676385);Dict("ΔS" => 1.3677929751272808e-6, "Δs" => 0.7303471792252658, "gd" => 1.9095405500479637e-6, "gS" => 0.12548928469580112);44.491340626;0.18957458484954018
1.0;-4.0;0.0;128.0;100.0;0.04;Dict("ΔS" => -0.0, "Δs" => 1.3734231874739797, "gd" => -1.3142504479774233e-16, "gS" => 0.32883659837252494);Dict("ΔS" => 2.8984908282099555e-5, "Δs" => 0.92675082144833, "gd" => 2.527558778908233e-5, "gS" => 0.15878443618444482);48.297897188;0.25294314134682183
1.0;-4.0;0.0;128.0;100.0;0.05;Dict("ΔS" => -0.0, "Δs" => 1.3690307369998262, "gd" => -1.3294782086069947e-15, "gS" => 0.32816597542796033);Dict("ΔS" => 2.8076667341973775e-5, "Δs" => 0.7359668736728331, "gd" => 2.975836709924194e-6, "gS" => 0.12570953806023688);45.235410046;0.31646918789876444
1.0;-4.0;0.0;128.0;100.0;0.06;Dict("ΔS" => -0.0, "Δs" => 1.3636412536183182, "gd" => -1.381010933766144e-16, "gS" => 0.3273448570660414);Dict("ΔS" => 6.647782141582791e-5, "Δs" => 0.8784664519922991, "gd" => 4.26750339624378e-5, "gS" => 0.14946225380507716);46.586911951;0.3801838342922651
1.0;-4.0;0.0;128.0;100.0;0.07;Dict("ΔS" => -0.0, "Δs" => 1.35728973119282, "gd" => -1.0348463836257543e-15, "gS" => 0.32636423111711516);Dict("ΔS" => 1.7196594753426236e-5, "Δs" => 0.7762661084109723, "gd" => 4.3880685149487964e-7, "gS" => 0.13150390712313165);49.365560044;0.44413364000661215
1.0;-4.0;0.0;128.0;100.0;0.08;Dict("ΔS" => -0.0, "Δs" => 1.3499560114333293, "gd" => -1.5300007655470686e-15, "gS" => 0.3252239507894282);Dict("ΔS" => 0.00027975998999752393, "Δs" => 0.7835518587362422, "gd" => 0.00015034223466935755, "gS" => 0.13192185980781534);43.7360006;0.5083529265614641
1.0;-4.0;0.0;128.0;100.0;0.09;Dict("ΔS" => -0.0, "Δs" => 1.3416413744457778, "gd" => 4.3171357624438017e-16, "gS" => 0.3239196452980375);Dict("ΔS" => 0.00016674201167064936, "Δs" => 0.8937670975850409, "gd" => 0.0008937794108616715, "gS" => 0.15052244012436766);38.990513098;0.5728808286372936
1.0;-4.0;0.0;128.0;100.0;0.1;Dict("ΔS" => -0.0, "Δs" => 1.3323698196700848, "gd" => 2.646841529135357e-16, "gS" => 0.3224426043491119);Dict("ΔS" => 4.1267740657436535e-5, "Δs" => 0.7403857983945272, "gd" => 7.680913491164147e-5, "gS" => 0.12320486882766435);46.244100894;0.6377658068390131
1.0;-4.0;0.0;128.0;100.0;0.11;Dict("ΔS" => -0.0, "Δs" => 1.3221173929749952, "gd" => -4.508826432160718e-16, "gS" => 0.32079160197565615);Dict("ΔS" => 0.00016646603480699942, "Δs" => 0.7354747722887467, "gd" => 0.00026803423196089207, "gS" => 0.12147159606623603);44.063166115;0.7030394553189611
