t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;-12.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => 5.689919823965768, "gd" => -2.7084562732258957e-16, "gS" => 0.15613474570473937);Dict("ΔS" => 0.008522278025562944, "Δs" => 0.5470499183601873, "gd" => 0.0036866538996040456, "gS" => 0.11505851254062227);14.870564883;2.4613030554475335e-7
1.0;-12.0;0.0;128.0;100.0;0.01;Dict("ΔS" => -0.0, "Δs" => 5.6887570486220085, "gd" => 5.999295508728528e-16, "gS" => 0.156079933150681);Dict("ΔS" => 0.0037197353597620167, "Δs" => 0.9536138347776557, "gd" => 0.008561496109707393, "gS" => 0.19404709766218664);17.168523284;0.13218059320645595
1.0;-12.0;0.0;128.0;100.0;0.02;Dict("ΔS" => 0.0, "Δs" => -5.685282954612273, "gd" => -1.783811483724807e-16, "gS" => 0.1559117780485172);Dict("ΔS" => 0.0010773219075165066, "Δs" => 0.6400970761344382, "gd" => 0.0001866015197635355, "gS" => 0.12723455243557336);19.200149592;0.26436539190917396
1.0;-12.0;0.0;128.0;100.0;0.03;Dict("ΔS" => -0.0, "Δs" => 5.679482375625625, "gd" => 5.117093952027577e-16, "gS" => 0.15563284136564404);Dict("ΔS" => 0.008106033536113404, "Δs" => 0.7091202274267516, "gd" => 0.008644043396437085, "gS" => 0.14323478000621837);20.661461847;0.39655607010463517
1.0;-12.0;0.0;128.0;100.0;0.04;Dict("ΔS" => -0.0, "Δs" => 5.671351937009804, "gd" => 8.005881918449912e-16, "gS" => 0.15524219314673326);Dict("ΔS" => 0.011241692330386325, "Δs" => 0.8337397951763137, "gd" => 0.00042988785704951605, "gS" => 0.17205434934219888);16.545005493;0.5287556040005099
1.0;-12.0;0.0;128.0;100.0;0.05;Dict("ΔS" => 0.0, "Δs" => -5.660884533904026, "gd" => -8.792729071985956e-17, "gS" => 0.1547390845719402);Dict("ΔS" => 0.002002739626374314, "Δs" => 0.785061581574098, "gd" => 0.001990723723802861, "gS" => 0.1558931362877214);19.142350028;0.660968846793806
1.0;-12.0;0.0;128.0;100.0;0.06;Dict("ΔS" => -0.0, "Δs" => 5.648067423045474, "gd" => -1.0963023954790567e-15, "gS" => 0.15412338374540877);Dict("ΔS" => 0.0019235051083934653, "Δs" => 0.6248906693162581, "gd" => 0.001166632856524055, "gS" => 0.12287701600138812);17.402467206;0.7932003167938749
1.0;-12.0;0.0;128.0;100.0;0.07;Dict("ΔS" => -0.0, "Δs" => 5.632883179881473, "gd" => 9.529070628727432e-16, "gS" => 0.15339532625949517);Dict("ΔS" => 0.002145305510568893, "Δs" => 0.5822923170129002, "gd" => 0.002238914384942255, "gS" => 0.11588079556618114);19.118789723;0.9254502289355795
1.0;-12.0;0.0;128.0;100.0;0.08;Dict("ΔS" => -0.0, "Δs" => 5.6153147872228075, "gd" => 4.405842636149407e-16, "gS" => 0.15255429490862088);Dict("ΔS" => 0.001019223129453584, "Δs" => 0.5607077473701594, "gd" => 0.0008241262370580404, "gS" => 0.11311244263678688);17.037388623;1.0577227525467956
1.0;-12.0;0.0;128.0;100.0;0.09;Dict("ΔS" => -0.0, "Δs" => 5.595336868427615, "gd" => -9.697441323353579e-17, "gS" => 0.15160084792280587);Dict("ΔS" => 0.011425397657707035, "Δs" => 0.9842160679607304, "gd" => 0.011915999700478786, "gS" => 0.1899536671884361);15.196688215;1.1900139382151722
1.0;-12.0;0.0;128.0;100.0;0.1;Dict("ΔS" => -0.0, "Δs" => 5.5729341044766585, "gd" => 1.5292277243191975e-16, "gS" => 0.15053238641749928);Dict("ΔS" => 0.016910443706377207, "Δs" => 0.9725700076046451, "gd" => 0.01664298439215736, "gS" => 0.18782894730812183);15.003181927;1.322341260681765
1.0;-12.0;0.0;128.0;100.0;0.11;Dict("ΔS" => -0.0, "Δs" => 5.548075330872751, "gd" => 2.0638961626242422e-16, "gS" => 0.1493491687070821);Dict("ΔS" => 0.013044916171353714, "Δs" => 0.8667427219943846, "gd" => 0.013838311793537195, "gS" => 0.17531799634484813);14.819456554;1.4547031876746335
1.0;-12.0;0.0;128.0;100.0;0.12;Dict("ΔS" => -0.0, "Δs" => 5.520727348021176, "gd" => -2.0303184200188772e-16, "gS" => 0.148051027689763);Dict("ΔS" => 0.0022508210474353257, "Δs" => 0.8598006265181368, "gd" => 0.002570494654160156, "gS" => 0.16945839629023407);15.824323504;1.5870991456915542
1.0;-12.0;0.0;128.0;100.0;0.13;Dict("ΔS" => -0.0, "Δs" => 5.490856866374073, "gd" => -1.0525623155320041e-16, "gS" => 0.14663688095811983);Dict("ΔS" => 0.013067899989218357, "Δs" => 0.8025098401365227, "gd" => 0.004602232492656939, "gS" => 0.1641013662156965);24.404816463;1.7195365409967511
1.0;-12.0;0.0;128.0;100.0;0.14;Dict("ΔS" => -0.0, "Δs" => 5.458426048812369, "gd" => 3.3302693471162595e-16, "gS" => 0.14510570919362178);Dict("ΔS" => 0.004659011677626473, "Δs" => 0.5598596936096101, "gd" => 0.003466384486800037, "gS" => 0.10649160151504633);32.494414507;1.8520218230331995
1.0;-12.0;0.0;128.0;100.0;0.15;Dict("ΔS" => -0.0, "Δs" => 5.423384416298713, "gd" => 2.6592101747192247e-16, "gS" => 0.14345831671611367);Dict("ΔS" => 0.003451005776106122, "Δs" => 0.8311560030271892, "gd" => 0.0018011626625922302, "gS" => 0.1573359013926079);30.77987069;1.9845391769281286
