t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;0.0;0.0;128.0;100.0;0.2;Dict("ΔS" => -0.0, "Δs" => -0.0, "gS" => 0.35741409175445743);Dict("ΔS" => 0.24986182501177243, "Δs" => 0.554375857991031, "gS" => 0.21202970702127732);11.644496897;15;1.0579579655197442;0.5;0.5;1.0579579596316204
1.0;0.0;0.1;128.0;100.0;0.2;Dict("ΔS" => -4.01552014739219e-6, "Δs" => -0.0, "gS" => 0.35741409165507965);Dict("ΔS" => 0.006253033483948245, "Δs" => 0.5165001688385837, "gS" => 0.3620412518656746);11.369431629;14;1.0579579649362199;0.5;0.5;1.0579579596249502
1.0;0.0;0.2;128.0;100.0;0.2;Dict("ΔS" => -1.0749941374760189e-5, "Δs" => -0.0, "gS" => 0.3574140914969152);Dict("ΔS" => 0.13419726463492532, "Δs" => 0.5056557878430258, "gS" => 0.03525141969773493);11.724448113;15;1.0579579644678319;0.5;0.5;1.0579579595838258
1.0;0.0;0.3;128.0;100.0;0.2;Dict("ΔS" => -3.807166814588655e-5, "Δs" => -0.0, "gS" => 0.3574140892389503);Dict("ΔS" => 0.5417940204250805, "Δs" => 0.8300202753853267, "gS" => 0.38623026459683185);11.215536511;14;1.0579579697279993;0.5;0.5;1.057957959032152
1.0;0.0;0.4;128.0;100.0;0.2;Dict("ΔS" => -4.857393354935893e-5, "Δs" => -0.0, "gS" => 0.35741408998197693);Dict("ΔS" => 0.9828781752695617, "Δs" => 0.188367794676579, "gS" => 0.11760983323005902);12.811603816;16;1.057957951376915;0.5;0.5;1.0579579586558019
1.0;0.0;0.5;128.0;100.0;0.2;Dict("ΔS" => 4.374854119866313e-5, "Δs" => 0.0, "gS" => 0.3574140910117552);Dict("ΔS" => 0.7588515816364328, "Δs" => 0.007149979920519234, "gS" => 0.004290754954117126);15.340249318;19;1.0579579537146269;0.5;0.5;1.05795795884005
1.0;0.0;0.6;128.0;100.0;0.2;Dict("ΔS" => -6.78207160080826e-5, "Δs" => -0.0, "gS" => 0.35741409025876797);Dict("ΔS" => 0.8339325405523372, "Δs" => 0.02527015193282185, "gS" => 0.005560127923631697);15.157318188;19;1.057957950181735;0.5;0.5;1.0579579577292844
1.0;0.0;0.7;128.0;100.0;0.2;Dict("ΔS" => -8.164262498036087e-5, "Δs" => -0.0, "gS" => 0.35741409012833897);Dict("ΔS" => 0.768781331984869, "Δs" => 0.0002857597296967036, "gS" => 0.00010543161510501164);21.105500451;26;1.0579579492386717;0.5;0.5;1.057957956874875
1.0;0.0;0.8;128.0;100.0;0.2;Dict("ΔS" => -0.00013810605914319914, "Δs" => -0.0, "gS" => 0.35741408771671795);Dict("ΔS" => 0.9656561138259088, "Δs" => 3.0539086346345764e-5, "gS" => 0.00013635597428951485);22.983075031;29;1.057957936855113;0.5;0.5;1.057957951743222
1.0;0.0;0.9;128.0;100.0;0.2;Dict("ΔS" => 0.00017285178179378286, "Δs" => 0.0, "gS" => 0.3574140866620842);Dict("ΔS" => 0.8822904659779942, "Δs" => 2.6966451876353516e-7, "gS" => 8.93608254060041e-5);27.970681582;35;1.0579579314402396;0.5;0.5;1.057957947274657
1.0;0.0;1.0;128.0;100.0;0.2;Dict("ΔS" => 0.00027197306947085047, "Δs" => 0.0, "gS" => 0.3574140811414366);Dict("ΔS" => 0.9774510254538423, "Δs" => 2.142734376234032e-6, "gS" => 0.000106626471541027);26.236473168;33;1.0579579030972996;0.5;0.5;1.0579579290388685
1.0;0.0;1.1;128.0;100.0;0.2;Dict("ΔS" => 0.00039317298797734616, "Δs" => 0.0, "gS" => 0.35741407313402934);Dict("ΔS" => 0.9271614195056671, "Δs" => 2.0920413637035772e-8, "gS" => 0.00010856179011309308);29.911081773;38;1.057957861986384;0.5;0.5;1.0579578956965667
1.0;0.0;1.2;128.0;100.0;0.2;Dict("ΔS" => -0.0007346928924642117, "Δs" => -0.0, "gS" => 0.3574140363483991);Dict("ΔS" => 0.9760323210866858, "Δs" => 9.417774802360145e-14, "gS" => 0.00016450812545532045);45.882886232;57;1.057957673107972;0.5;0.5;1.0579577363736279
1.0;0.0;1.3;128.0;100.0;0.2;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.7780389220378547, "Δs" => 1.0859323253594429e-26, "gS" => 0.0012488786621522863);79.956834787;100;1.0579512625171152;0.5;0.5;NaN
1.0;0.0;1.4;128.0;100.0;0.2;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.426157398492847, "Δs" => 1.7549027484765773e-27, "gS" => 0.008019664916036895);80.262940717;100;1.0574249737921944;0.5;0.5;NaN
1.0;0.0;1.5;128.0;100.0;0.2;Dict("ΔS" => -0.07278368440780705, "Δs" => -0.0, "gS" => 0.3570116308889212);Dict("ΔS" => 0.9873207178982824, "Δs" => 4.7974835318544295e-18, "gS" => 0.011813857208609058);56.581088948;71;1.0550872454504496;0.5;0.5;1.0550955876527155
1.0;0.0;1.6;128.0;100.0;0.2;Dict("ΔS" => 0.11938279133340145, "Δs" => 0.0, "gS" => 0.3563910565083328);Dict("ΔS" => 0.978182145508627, "Δs" => 7.0149804778889714e-12, "gS" => 0.018182170737346404);40.521933746;51;1.0501083615339222;0.5;0.5;1.0500960088476798
1.0;0.0;1.7;128.0;100.0;0.2;Dict("ΔS" => 0.1822176862519674, "Δs" => 0.0, "gS" => 0.35516733256340405);Dict("ΔS" => 0.9388591319700601, "Δs" => 3.971527168184719e-16, "gS" => 0.02518213392033175);52.251334571;65;1.0410558610662584;0.5;0.5;1.0410706977497632
1.0;0.0;1.8;128.0;100.0;0.2;Dict("ΔS" => -0.25607642515622364, "Δs" => -0.0, "gS" => 0.3532499774936821);Dict("ΔS" => 0.9609432227719594, "Δs" => 2.542270382052519e-16, "gS" => 0.03415047982568975);52.0856767;66;1.0285240196520664;0.5;0.5;1.0285066923019248
1.0;0.0;1.9;128.0;100.0;0.2;Dict("ΔS" => -0.3413077699508352, "Δs" => -0.0, "gS" => 0.3504658164302829);Dict("ΔS" => 0.9180875117209553, "Δs" => 9.982563548835523e-20, "gS" => 0.041206677178773354);61.632140705;77;1.0124840318195107;0.5;0.5;1.0124661979533642
1.0;0.0;2.0;128.0;100.0;0.2;Dict("ΔS" => 0.4348134039326786, "Δs" => 0.0, "gS" => 0.3468076491377796);Dict("ΔS" => 0.9667269437091397, "Δs" => 9.477078898272098e-10, "gS" => 0.05256907216977247);38.543446012;43;0.9939959300472702;0.5;0.5;0.9940151503779333
1.0;0.0;2.1;128.0;100.0;0.2;Dict("ΔS" => 0.532548055495043, "Δs" => 0.0, "gS" => 0.3424378593446255);Dict("ΔS" => 0.9468011318869429, "Δs" => 1.3249291061361407e-13, "gS" => 0.06000128043748276);50.04262066;57;0.9747248687927411;0.5;0.5;0.9747063949716954
1.0;0.0;2.2;128.0;100.0;0.2;Dict("ΔS" => -0.6348656264377869, "Δs" => -0.0, "gS" => 0.3373400952916105);Dict("ΔS" => 0.9080935234506704, "Δs" => 4.179441693760016e-15, "gS" => 0.06549076189854564);54.413404887;62;0.9552376506684623;0.5;0.5;0.9552208606223513
