t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1;1;1;30;100;0.1;"Dict(""ΔS"" => 0.001131187871442172, ""Δs"" => 0.00013240474781398554, ""gS"" => 0.3954955150834666)";"Dict(""ΔS"" => 0.9932126372975014, ""Δs"" => 0.11625920230045138, ""gS"" => 0.09778738118115804)";2.103170194;37;0.320955605432987;0.2;0.2;-1.58228434058669
1;1;1.2;30;100;0.1;"Dict(""ΔS"" => 0.0007592223592756367, ""Δs"" => 7.185848894876043e-5, ""gS"" => 0.39549253565616016)";"Dict(""ΔS"" => 0.37196551216653523, ""Δs"" => 0.06054625886522511, ""gS"" => 0.0029794273064265298)";0.077872827;1;0.305238063496505;0.2;0.2;-1.58228187869335
1;1;1.4;30;100;0.1;"Dict(""ΔS"" => 0.0006381368699232324, ""Δs"" => 7.65760995682159e-5, ""gS"" => 0.3954889807426925)";"Dict(""ΔS"" => 0.12108548935240435, ""Δs"" => 0.004717610619455474, ""gS"" => 0.003554913467651577)";0.047552276;1;0.289554309471484;0.2;0.2;-1.58227824647134
1;1;1.6;30;100;0.1;"Dict(""ΔS"" => 0.0006336341955404633, ""Δs"" => 3.904027217348478e-5, ""gS"" => 0.395484904373524)";"Dict(""ΔS"" => 0.004502674382769116, ""Δs"" => 0.037535827394731124, ""gS"" => 0.004076369168493077)";0.098256166;1;0.273886210389037;0.2;0.2;-1.5822733848609
1;1;1.8;30;100;0.1;"Dict(""ΔS"" => 0.0007862391891059033, ""Δs"" => 0.0001039085107838853, ""gS"" => 0.39548021590088916)";"Dict(""ΔS"" => 0.15260499356544008, ""Δs"" => 0.06486823861040052, ""gS"" => 0.004688472634850616)";0.066726123;1;0.258235522478792;0.2;0.2;-1.58226699313164
1;1;2;30;100;0.1;"Dict(""ΔS"" => 0.0010893535387106177, ""Δs"" => 3.2725264591889735e-5, ""gS"" => 0.39547475018598993)";"Dict(""ΔS"" => 0.30311434960471434, ""Δs"" => 0.07118324619199556, ""gS"" => 0.005465714899233198)";0.053115843;1;0.242604151165822;0.2;0.2;-1.5822585179898
1;1.5;1;30;100;0.1;"Dict(""ΔS"" => 0.0006252311895923209, ""Δs"" => 0.0003154434481909512, ""gS"" => 0.39549577288033927)";"Dict(""ΔS"" => 0.46412234911829686, ""Δs"" => 0.2827181835990615, ""gS"" => 0.021022694349337456)";0.038594487;1;0.32094042306942;0.2;0.2;-1.58228470517072
1;1.5;1.2;30;100;0.1;"Dict(""ΔS"" => 0.0002769334890122826, ""Δs"" => -0.00050519734966856, ""gS"" => 0.39549259630412437)";"Dict(""ΔS"" => 0.3482977005800383, ""Δs"" => 0.8206407978595112, ""gS"" => 0.0031765762149027488)";0.104288304;1;0.305238406263916;0.2;0.2;-1.58228160633585
1;1.5;1.4;30;100;0.1;"Dict(""ΔS"" => 0.0004103590487921277, ""Δs"" => 0.0004664043699356703, ""gS"" => 0.3954890130875943)";"Dict(""ΔS"" => 0.06689010939029257, ""Δs"" => 0.6054488835184557, ""gS"" => 0.002847964283625437)";0.138832872;2;0.289554642768596;0.2;0.2;-1.58227809101752
1;1.5;1.6;30;100;0.1;"Dict(""ΔS"" => 0.00022804442041790562, ""Δs"" => -0.0002964072307780666, ""gS"" => 0.3954849301224867)";"Dict(""ΔS"" => 0.11183132081923539, ""Δs"" => 0.46779626737532093, ""gS"" => 0.00325276310347844)";0.121851454;2;0.273886594740466;0.2;0.2;-1.5822733441621
1;1.5;1.8;30;100;0.1;"Dict(""ΔS"" => 0.0004521768053989302, ""Δs"" => 0.0002885495351033144, ""gS"" => 0.3954802505191963)";"Dict(""ΔS"" => 0.15253026455405808, ""Δs"" => 0.35240149026483697, ""gS"" => 0.003735910815094723)";0.105845074;2;0.258235903960405;0.2;0.2;-1.58226709229537
1;1.5;2;30;100;0.1;"Dict(""ΔS"" => 0.00036888536412003724, ""Δs"" => -0.0005946729053025631, ""gS"" => 0.39547478240852363)";"Dict(""ΔS"" => 0.08329144127889297, ""Δs"" => 0.8832224404058775, ""gS"" => 0.005468110672646187)";0.064426358;1;0.242604545521279;0.2;0.2;-1.58225818861111
