t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;-20.0;0.0;128.0;100.0;0.2;Dict("ΔS" => -0.0, "Δs" => 8.984867773281017, "gd" => -1.99903024717461e-16, "gS" => 0.08253259070445312);Dict("ΔS" => 0.015234854328508303, "Δs" => 0.9293037609303667, "gd" => 0.011974555690269107, "gS" => 0.12370269039468917);14.567112754;4.155672791631481
1.0;-20.0;0.1;128.0;100.0;0.2;Dict("ΔS" => -0.007007499394221465, "Δs" => 8.984371947783565, "gd" => -4.369789373581242e-17, "gS" => 0.08264385315389257);Dict("ΔS" => 0.00619119573302962, "Δs" => 0.9553057243749663, "gd" => 0.01184550412154968, "gS" => 0.11770481171971547);24.676082207;4.154661478057806
1.0;-20.0;0.2;128.0;100.0;0.2;Dict("ΔS" => -0.014039372556272793, "Δs" => 8.983874891101406, "gd" => 2.1184456138230112e-16, "gS" => 0.08275517202904176);Dict("ΔS" => 0.005469463272567143, "Δs" => 0.565966348293756, "gd" => 0.009353333308633324, "gS" => 0.07769044308408857);31.583481321;4.153661239359108
1.0;-20.0;0.3;128.0;100.0;0.2;Dict("ΔS" => -0.02109590486538577, "Δs" => 8.983372982744335, "gd" => -4.2652069435026926e-16, "gS" => 0.08286735567947681);Dict("ΔS" => 0.008345354464422972, "Δs" => 0.686230600948079, "gd" => 0.0082129139462906, "gS" => 0.09746680080913173);30.375291131;4.152632485363078
1.0;-20.0;0.4;128.0;100.0;0.2;Dict("ΔS" => -0.028177207570664678, "Δs" => 8.982868688571669, "gd" => -1.7629462829070754e-16, "gS" => 0.08297984850856613);Dict("ΔS" => 0.01467810497174371, "Δs" => 0.6659447427104226, "gd" => 0.006108341172594444, "gS" => 0.09653241726914619);30.216805756;4.15160287916521
1.0;-20.0;0.5;128.0;100.0;0.2;Dict("ΔS" => -0.03528345211228501, "Δs" => 8.982361773785621, "gd" => 8.654942288630548e-17, "gS" => 0.08309270043551875);Dict("ΔS" => 0.00473272392803592, "Δs" => 0.5930767571271645, "gd" => 0.010248681483551035, "gS" => 0.08118603937151692);30.108952661;4.150568876538921
1.0;-20.0;0.6;128.0;100.0;0.2;Dict("ΔS" => -0.04241489108089627, "Δs" => 8.981851556776611, "gd" => -6.357512657352293e-16, "gS" => 0.08320606025705116);Dict("ΔS" => 0.028952835109397057, "Δs" => 0.5395728075541228, "gd" => 0.006772956981894623, "gS" => 0.07872142637518897);31.125316838;4.149526578937451
1.0;-20.0;0.7;128.0;100.0;0.2;Dict("ΔS" => -0.04957167471307025, "Δs" => 8.98133830502551, "gd" => -5.334106804051558e-16, "gS" => 0.08331986543026823);Dict("ΔS" => 0.010260146365154155, "Δs" => 0.5692295978398931, "gd" => 0.00018470933511094322, "gS" => 0.06765841297301511);30.092338777;4.148474315411605
1.0;-20.0;0.8;128.0;100.0;0.2;Dict("ΔS" => 0.05675416492572519, "Δs" => -8.980821070492475, "gd" => 7.779027370759448e-16, "gS" => 0.08343432257560747);Dict("ΔS" => 0.06005490580371364, "Δs" => 0.707626327951516, "gd" => 0.0023807218054030044, "gS" => 0.09731500909035407);32.840081648;4.147409255218573
1.0;-20.0;0.9;128.0;100.0;0.2;Dict("ΔS" => -0.06396213563396608, "Δs" => 8.980302402324988, "gd" => -1.870278459865098e-16, "gS" => 0.08354886354328653);Dict("ΔS" => 0.02293824279048229, "Δs" => 0.5991853526765567, "gd" => 7.241074624707486e-5, "gS" => 0.08463403065234187);29.65591008;4.146348970343791
