t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;0.0;128.0;100.0;0.2;Dict("ΔS" => -0.0, "Δs" => -0.0);Dict("ΔS" => 0.8738214627716578, "Δs" => 0.9769436528581049);8.093053528;1.0579579756246238
1.0;0.0;0.1;128.0;100.0;0.2;Dict("ΔS" => 2.170846104596292e-6, "Δs" => -0.0);Dict("ΔS" => 0.5540001407181337, "Δs" => 0.290182845555522);8.852384442;1.057957959964262
1.0;0.0;0.2;128.0;100.0;0.2;Dict("ΔS" => -1.8570212844770678e-5, "Δs" => -0.0);Dict("ΔS" => 0.8325568677118148, "Δs" => 0.2522705566618245);9.459666914;1.0579579565732118
1.0;0.0;0.3;128.0;100.0;0.2;Dict("ΔS" => -2.42214888914454e-5, "Δs" => -0.0);Dict("ΔS" => 0.7904087901851893, "Δs" => 0.06713677719317336);10.87877136;1.0579579553009566
1.0;0.0;0.4;128.0;100.0;0.2;Dict("ΔS" => -5.501017742435869e-5, "Δs" => -0.0);Dict("ΔS" => 0.6287785489401335, "Δs" => 0.7141938271763117);8.609633097;1.0579579639235082
1.0;0.0;0.5;128.0;100.0;0.2;Dict("ΔS" => -5.996727840862475e-5, "Δs" => -0.0);Dict("ΔS" => 0.9711925254025138, "Δs" => 0.06153976140057203);11.017271034;1.0579579494869007
1.0;0.0;0.6;128.0;100.0;0.2;Dict("ΔS" => 6.300842453945389e-5, "Δs" => 0.0);Dict("ΔS" => 0.7976819073805989, "Δs" => 0.00022731082250356546);15.33652198;1.0579579512006987
1.0;0.0;0.7;128.0;100.0;0.2;Dict("ΔS" => 0.0001034825911105612, "Δs" => 0.0);Dict("ΔS" => 0.9748251736637646, "Δs" => 3.9483858710622704e-5);17.339906681;1.057957942928189
1.0;0.0;0.8;128.0;100.0;0.2;Dict("ΔS" => -0.00013274222520330534, "Δs" => -0.0);Dict("ΔS" => 0.889969621475221, "Δs" => 0.03951402699390035);11.118475362;1.0579579393142833
1.0;0.0;0.9;128.0;100.0;0.2;Dict("ΔS" => 0.00018580140305846308, "Δs" => 0.0);Dict("ΔS" => 0.948391791930338, "Δs" => 1.6114216027295784e-6);19.844248211;1.0579579270578545
1.0;0.0;1.0;128.0;100.0;0.2;Dict("ΔS" => 0.00025011317067452594, "Δs" => 0.0);Dict("ΔS" => 0.8988837105588208, "Δs" => 7.3013845406385295e-9);23.755390772;1.0579579118202638
1.0;0.0;1.1;128.0;100.0;0.2;Dict("ΔS" => -0.0004231284630682785, "Δs" => -0.0);Dict("ΔS" => 0.9978079210752518, "Δs" => 5.203701710364748e-13);33.945032616;1.0579578465396828
1.0;0.0;1.2;128.0;100.0;0.2;Dict("ΔS" => -0.0007450062789466511, "Δs" => -0.0);Dict("ΔS" => 0.9897394603469863, "Δs" => 1.4336368750957608e-18);44.117103274;1.0579576650060254
1.0;0.0;1.3;128.0;100.0;0.2;Dict("ΔS" => -0.0049068904203121485, "Δs" => 4.393211516283879e-31);Dict("ΔS" => 2.235391625876595, "Δs" => 8.786423032567756e-27);60.458213898;1.0579475058611933
1.0;0.0;1.4;128.0;100.0;0.2;Dict("ΔS" => -0.032971788531404596, "Δs" => -0.0);Dict("ΔS" => 0.9909163062805232, "Δs" => 2.958406938050665e-23);54.72915427;1.0574501538686043
1.0;0.0;1.5;128.0;100.0;0.2;Dict("ΔS" => 0.07277665303064984, "Δs" => 0.0);Dict("ΔS" => 0.9781482967269328, "Δs" => 1.3265183565749935e-21);51.034576628;1.0550879174734873
1.0;0.0;1.6;128.0;100.0;0.2;Dict("ΔS" => 0.12061601285793125, "Δs" => 0.0);Dict("ΔS" => 0.9870713626208838, "Δs" => 2.927617499685682e-19);45.462340946;1.04992717157325
1.0;0.0;1.7;128.0;100.0;0.2;Dict("ΔS" => 0.18221922951980302, "Δs" => 0.0);Dict("ΔS" => 0.9417173885034602, "Δs" => 8.840307050471206e-19);45.090299228;1.0410555719830024
1.0;0.0;1.8;128.0;100.0;0.2;Dict("ΔS" => -0.2560652556333322, "Δs" => -0.0);Dict("ΔS" => 0.9849058808053535, "Δs" => 8.407943238179411e-19);45.338730508;1.0285264656101347
1.0;0.0;1.9;128.0;100.0;0.2;Dict("ΔS" => 0.3420453020896763, "Δs" => 0.0);Dict("ΔS" => 0.9395020469371573, "Δs" => 8.58858464616483e-12);31.068386868;1.0123046431270515
1.0;0.0;2.0;128.0;100.0;0.2;Dict("ΔS" => 0.4348052609907308, "Δs" => 0.0);Dict("ΔS" => 0.9428352108098448, "Δs" => 3.405667281648295e-12);35.232405575;0.9939980240282392
1.0;0.0;2.1;128.0;100.0;0.2;Dict("ΔS" => -0.5325499741576023, "Δs" => -0.0);Dict("ΔS" => 0.9403324518264533, "Δs" => 2.0721071200205102e-13);38.081900495;0.9747243682022886
1.0;0.0;2.2;128.0;100.0;0.2;Dict("ΔS" => -0.6348753930929635, "Δs" => -0.0);Dict("ΔS" => 0.8705028670974446, "Δs" => 3.342668311644686e-14);40.049945022;0.9552351497876944
1.0;0.0;2.3;128.0;100.0;0.2;Dict("ΔS" => 0.7398822243691197, "Δs" => 0.0);Dict("ΔS" => 0.8812722273532358, "Δs" => 8.555302345195546e-10);28.734239166;0.9365738745484865
1.0;0.0;2.4;128.0;100.0;0.2;Dict("ΔS" => -0.8466378514499221, "Δs" => -0.0);Dict("ΔS" => 0.9167826143219315, "Δs" => 1.3587954295153711e-14);40.291073176;0.9193782132388519
1.0;0.0;2.5;128.0;100.0;0.2;Dict("ΔS" => -0.9544005519860009, "Δs" => -0.0);Dict("ΔS" => 0.8582966344650167, "Δs" => 1.1589428014920175e-13);38.40856084;0.904074073991273
1.0;0.0;2.6;128.0;100.0;0.2;Dict("ΔS" => -1.0625097289552572, "Δs" => -0.0);Dict("ΔS" => 0.9275804900865658, "Δs" => 4.468266040553029e-10);31.012831061;0.8909184060404526
1.0;0.0;2.7;128.0;100.0;0.2;Dict("ΔS" => 1.1705042713993024, "Δs" => 0.0);Dict("ΔS" => 0.9603786621914523, "Δs" => 7.951182368878352e-7);21.66343348;0.8800055324542857
1.0;0.0;2.8;128.0;100.0;0.2;Dict("ΔS" => 1.2780012504172582, "Δs" => 0.0);Dict("ΔS" => 0.9752090777404021, "Δs" => 9.940417050689354e-11);31.80307262;0.8713271432005688
1.0;0.0;2.9;128.0;100.0;0.2;Dict("ΔS" => 1.3847341142088814, "Δs" => 0.0);Dict("ΔS" => 0.8747347619175727, "Δs" => 1.697038147933659e-7);24.937392844;0.8647968965977068
