t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;0.0;128.0;100.0;0.2;Dict("Δd" => 0.0);Dict("Δd" => 0.669017214714521);8.065160655;1.0579579815932583
1.0;0.0;0.1;128.0;100.0;0.2;Dict("Δd" => 1.905689347652378e-5);Dict("Δd" => 0.743231713041512);6.98534172;1.0579580024171236
1.0;0.0;0.2;128.0;100.0;0.2;Dict("Δd" => 4.893498665358876e-5);Dict("Δd" => 0.7095759091316465);13.388377201;1.0579580301610614
1.0;0.0;0.3;128.0;100.0;0.2;Dict("Δd" => 0.00014305407868616752);Dict("Δd" => 0.9060742811363716);17.858331291;1.0579582275131258
1.0;0.0;0.4;128.0;100.0;0.2;Dict("Δd" => 0.00042349702006363484);Dict("Δd" => 0.9533546371187644);28.973197221;1.0579592801046829
1.0;0.0;0.5;128.0;100.0;0.2;Dict("Δd" => 0.010410381204823063);Dict("Δd" => 0.9953430929599514);45.200817158;1.0584488141291057
1.0;0.0;0.6;128.0;100.0;0.2;Dict("Δd" => 0.04354079799624985);Dict("Δd" => 0.9492651080632297);30.47697553;1.062792684805835
1.0;0.0;0.7;128.0;100.0;0.2;Dict("Δd" => 0.08912677900680531);Dict("Δd" => 0.8912834984818596);25.704339281;1.072627832174593
1.0;0.0;0.8;128.0;100.0;0.2;Dict("Δd" => 0.14680632991531603);Dict("Δd" => 0.8578585092625102);22.02451913;1.0910275585460303
1.0;0.0;0.9;128.0;100.0;0.2;Dict("Δd" => 0.21160487149791185);Dict("Δd" => 0.834712159581974);20.236931463;1.11687589452707
1.0;0.0;1.0;128.0;100.0;0.2;Dict("Δd" => 0.2807214766082296);Dict("Δd" => 0.8317594618428847);16.324774938;1.1459390166687538
1.0;0.0;1.1;128.0;100.0;0.2;Dict("Δd" => 0.3524333559123764);Dict("Δd" => 0.8167605411857348);17.107533426;1.176023290253207
1.0;0.0;1.2;128.0;100.0;0.2;Dict("Δd" => 0.42480774456737297);Dict("Δd" => 0.7733374270807447);13.102511262;1.2084683159376182
1.0;0.0;1.3;128.0;100.0;0.2;Dict("Δd" => 0.4983660168717912);Dict("Δd" => 0.9829323172122484);17.822052939;1.2411662516148319
1.0;0.0;1.4;128.0;100.0;0.2;Dict("Δd" => 0.5729973884594184);Dict("Δd" => 0.8171639902432304);13.541102916;1.2731396274999653
1.0;0.0;1.5;128.0;100.0;0.2;Dict("Δd" => 0.6475399452618674);Dict("Δd" => 0.7229191240210042);13.501653117;1.3054258555301441
1.0;0.0;1.6;128.0;100.0;0.2;Dict("Δd" => 0.7227240366895114);Dict("Δd" => 0.7054773140557913);15.843855502;1.3371491545282614
1.0;0.0;1.7;128.0;100.0;0.2;Dict("Δd" => 0.798478435433447);Dict("Δd" => 0.7237417584027295);12.698360075;1.3676892805658105
1.0;0.0;1.8;128.0;100.0;0.2;Dict("Δd" => 0.8742771641241588);Dict("Δd" => 0.7565205769977101);12.219922184;1.3984816744764892
1.0;0.0;1.9;128.0;100.0;0.2;Dict("Δd" => 0.9504381774912657);Dict("Δd" => 0.7914527211427824);8.353029641;1.4284781118314065
