t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;0.0;0.0;128.0;100.0;0.2;Dict("ΔS" => 0.0, "Δs" => 0.0, "gS" => 0.35741409193965096);Dict("ΔS" => 0.6079073519488699, "Δs" => 0.15187592016748472, "gS" => 0.14756042184038698);4.051973918;15;1.057957958576825;0.5;0.5;1.0579579596316204
1.0;0.0;0.1;128.0;100.0;0.2;Dict("ΔS" => 1.9515307693327145e-6, "Δs" => -0.0, "gS" => 0.3574137170219497);Dict("ΔS" => 0.597295166038038, "Δs" => 0.36861579264974037, "gS" => 0.18583581323450282);3.991361333;15;1.0390804852986255;0.5;0.5;1.0390814655909084
1.0;0.0;0.2;128.0;100.0;0.2;Dict("ΔS" => -4.60189965328747e-6, "Δs" => -0.0, "gS" => 0.35741332085976596);Dict("ΔS" => 0.6075630316039563, "Δs" => 0.8979325896610666, "gS" => 0.16081992957661662);10.463761182;14;1.020202927657773;0.5;0.5;1.0202046113905618
1.0;0.0;0.3;128.0;100.0;0.2;Dict("ΔS" => -2.3481459193785895e-5, "Δs" => -0.0, "gS" => 0.35741290338300585);Dict("ΔS" => 0.24774140979415046, "Δs" => 0.5530758722580112, "gS" => 0.09667766709464676);6.054407592;15;1.001328908477455;0.5;0.5;1.0013273720265294
1.0;0.0;0.4;128.0;100.0;0.2;Dict("ΔS" => 2.843613153720761e-5, "Δs" => 0.0, "gS" => 0.35741246258601034);Dict("ΔS" => 0.7095636040395088, "Δs" => 0.09219753945134468, "gS" => 0.10162167375815656);6.942909348;16;0.9824518651713522;0.5;0.5;0.9824497223789742
1.0;0.0;0.5;128.0;100.0;0.2;Dict("ΔS" => -6.36637321901808e-5, "Δs" => -0.0, "gS" => 0.357411993941182);Dict("ΔS" => 0.9244216784563463, "Δs" => 0.03497957953631003, "gS" => 0.00020972996173096448);8.349342795;19;0.963571629697547;0.5;0.5;0.9635716351326286
1.0;0.0;0.6;128.0;100.0;0.2;Dict("ΔS" => 3.970061772559934e-6, "Δs" => -0.0, "gS" => 0.3574115003132116);Dict("ΔS" => 0.9900961490233596, "Δs" => 0.9942518301391925, "gS" => 0.3091041632813374);5.780684157;13;0.9447029006537103;0.5;0.5;0.9446930875319393
1.0;0.0;0.7;128.0;100.0;0.2;Dict("ΔS" => 0.00013534955325192154, "Δs" => 0.0, "gS" => 0.3574109707896226);Dict("ΔS" => 0.9842804828828468, "Δs" => 9.264408970478344e-7, "gS" => 0.0001752826239709293);27.777415727;32;0.925814022867988;0.5;0.5;0.9258140376787464
1.0;0.0;0.8;128.0;100.0;0.2;Dict("ΔS" => -0.0001939940109548352, "Δs" => -0.0, "gS" => 0.3574104095397653);Dict("ΔS" => 0.9392736480843774, "Δs" => 5.269702730246608e-7, "gS" => 0.00013397812415050225);32.96966907;35;0.9069344440621002;0.5;0.5;0.9069344661922374
1.0;0.0;0.9;128.0;100.0;0.2;Dict("ΔS" => -0.0003111949091332752, "Δs" => -0.0, "gS" => 0.3574098064320478);Dict("ΔS" => 0.9182835710749127, "Δs" => 6.589381897807136e-11, "gS" => 0.00013739691162584222);44.523883612;48;0.8880542861050387;0.5;0.5;0.8880543217352751
1.0;0.0;1.0;128.0;100.0;0.2;Dict("ΔS" => 0.0006684062186999933, "Δs" => 0.0, "gS" => 0.3574091233853969);Dict("ΔS" => 0.9608984040109207, "Δs" => 1.804944155913744e-18, "gS" => 0.00021992068721665703);67.511449909;72;0.8691733400596903;0.5;0.5;0.8691734210684974
1.0;0.0;1.1;128.0;100.0;0.2;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 3.003062233006837, "Δs" => 4.706955343270965e-28, "gS" => 0.009397009464451322);95.565124437;100;0.8501977259287878;0.5;0.5;NaN
1.0;0.0;1.2;128.0;100.0;0.2;Dict("ΔS" => -0.06468534387854993, "Δs" => -0.0, "gS" => 0.3569037366188611);Dict("ΔS" => 0.9562414394342911, "Δs" => 4.368697390998161e-14, "gS" => 0.01607180694085386);54.158256023;57;0.8285241507814847;0.5;0.5;0.8285324107656734
1.0;0.0;1.3;128.0;100.0;0.2;Dict("ΔS" => -0.13518212062227733, "Δs" => -0.0, "gS" => 0.35531012000357426);Dict("ΔS" => 0.991870540037465, "Δs" => 1.5376393746440227e-10, "gS" => 0.03354740835403991);43.941601984;46;0.8014007586248644;0.5;0.5;0.8014138631799039
1.0;0.0;1.4;128.0;100.0;0.2;Dict("ΔS" => 0.22894661295080973, "Δs" => 0.0, "gS" => 0.3517632580694191);Dict("ΔS" => 0.9494571952842201, "Δs" => 1.2919049398437267e-20, "gS" => 0.05145180886345635);73.878578965;79;0.7686143147286135;0.5;0.5;0.7686002073579292
1.0;0.0;1.5;128.0;100.0;0.2;Dict("ΔS" => 0.34010860748893984, "Δs" => 0.0, "gS" => 0.34576460389604646);Dict("ΔS" => 0.9115028295908489, "Δs" => 2.7739749017084997e-7, "gS" => 0.06980032080328158);33.44326763;36;0.7326434209435945;0.5;0.5;0.7326558662984279
1.0;0.0;1.6;128.0;100.0;0.2;Dict("ΔS" => -0.4575013485058886, "Δs" => -0.0, "gS" => 0.337755918716776);Dict("ΔS" => 0.9528719128887309, "Δs" => 1.3797465694977664e-11, "gS" => 0.0932876393533455);46.508683093;50;0.6982043707214817;0.5;0.5;0.698194669000814
1.0;0.0;1.7;128.0;100.0;0.2;Dict("ΔS" => 0.578028936907082, "Δs" => 0.0, "gS" => 0.328125725926633);Dict("ΔS" => 0.9825057147516691, "Δs" => 1.5876955647476249e-7, "gS" => 0.11587505526544639);34.73425809;36;0.6680021321983799;0.5;0.5;0.6680074395599394
1.0;0.0;1.8;128.0;100.0;0.2;Dict("ΔS" => 0.6975893194715942, "Δs" => 0.0, "gS" => 0.31758016833769503);Dict("ΔS" => 0.884062325360313, "Δs" => 5.2429909892464454e-8, "gS" => 0.11998375822164231);30.559652367;32;0.6435867418985298;0.5;0.5;0.6435869544566111
1.0;0.0;1.9;128.0;100.0;0.2;Dict("ΔS" => 0.8149342195324939, "Δs" => 0.0, "gS" => 0.30660312659470323);Dict("ΔS" => 0.8632649159301398, "Δs" => 1.0896426164742196e-8, "gS" => 0.13054590268457567);32.392477009;34;0.6250302988484747;0.5;0.5;0.6250344123825514
