t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;0.0;128.0;100.0;0.2;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.6482509936256854, "ΔS" => 0.8082657634161856, "Δs" => 0.6888289240598111);11.93473853;1.0579579870897895
1.0;0.0;0.1;128.0;100.0;0.2;Dict("Δd" => 1.741434533049542e-5, "ΔS" => -2.1040622690220363e-8, "Δs" => -0.0);Dict("Δd" => 0.679170901891988, "ΔS" => 0.2048603584780809, "Δs" => 0.21459219075274552);13.635793185;1.0579579961106784
1.0;0.0;0.2;128.0;100.0;0.2;Dict("Δd" => 6.775535756532574e-5, "ΔS" => 4.3401931356165134e-8, "Δs" => -0.0);Dict("Δd" => 0.9824851624409994, "ΔS" => 0.00512849992059332, "Δs" => 0.0027016707948590416);18.82194576;1.0579580948440555
1.0;0.0;0.3;128.0;100.0;0.2;Dict("Δd" => 0.00013102748728819428, "ΔS" => 1.55010250467776e-8, "Δs" => 0.0);Dict("Δd" => 0.8298946150913104, "ΔS" => 0.0005494689611071616, "Δs" => 2.141404364889184e-6);27.109851807;1.0579581843654933
1.0;0.0;0.4;128.0;100.0;0.2;Dict("Δd" => 0.0004351840423957708, "ΔS" => 7.929257828153262e-12, "Δs" => 0.0);Dict("Δd" => 0.9796885071012775, "ΔS" => 1.902170335949878e-7, "Δs" => 5.840460034914881e-12);43.00371875;1.057959353982997
1.0;0.0;0.5;128.0;100.0;0.2;Dict("Δd" => 0.010416212860896534, "ΔS" => -2.9918864972817206e-15, "Δs" => -0.0);Dict("Δd" => 0.9991511709804036, "ΔS" => 5.4721276980683097e-11, "Δs" => 1.786629567914375e-19);64.899736312;1.0584493429311674
1.0;0.0;0.6;128.0;100.0;0.2;Dict("Δd" => 0.04354590404614624, "ΔS" => -5.815185985870174e-11, "Δs" => -0.0);Dict("Δd" => 0.9612627755260089, "ΔS" => 1.011585856077708e-6, "Δs" => 1.4077514033434062e-12);45.036977291;1.0627937344740719
1.0;0.0;0.7;128.0;100.0;0.2;Dict("Δd" => 0.08915141723630297, "ΔS" => 6.654304511270972e-9, "Δs" => 0.0);Dict("Δd" => 0.9700743569020231, "ΔS" => 0.00010538042831384594, "Δs" => 1.0749832936928265e-10);39.612432782;1.0726364105192028
1.0;0.0;0.8;128.0;100.0;0.2;Dict("Δd" => 0.14680989478835701, "ΔS" => 1.7650273678144432e-7, "Δs" => 0.0);Dict("Δd" => 0.8728794375265081, "ΔS" => 0.002508414428929313, "Δs" => 4.003866448703388e-9);34.872474243;1.0910294222113812
1.0;0.0;0.9;128.0;100.0;0.2;Dict("Δd" => 0.211626954103819, "ΔS" => 4.5619792000579324e-6, "Δs" => 0.0);Dict("Δd" => 0.9533905757375116, "ΔS" => 0.05753453820123254, "Δs" => 1.4022092965098813e-8);29.40404202;1.116890098782922
