t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;4.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => 8.35956343868632e-5, "gS" => 0.40330798561304515);Dict("ΔS" => 0.055076514644856994, "Δs" => 0.9782657604497714, "gS" => 0.08073935622798789);25.290397445;37;-7.208775872243056e-11;0.5;0.26524718712917517;0.0
1.0;4.0;0.1;128.0;100.0;0.0;Dict("ΔS" => 3.1942561685350424e-8, "Δs" => -7.674678911470244e-5, "gS" => 0.40330798562211867);Dict("ΔS" => 0.00756313859518648, "Δs" => 0.8981181427941638, "gS" => 0.015701181974581147);24.888767968;39;9.471865566185178e-12;0.5;0.26524718712917517;-2.2547267872208288e-12
1.0;4.0;0.2;128.0;100.0;0.0;Dict("ΔS" => 2.1929597474290691e-7, "Δs" => 7.897729020207506e-5, "gS" => 0.4033079856193849);Dict("ΔS" => 0.024865211407568498, "Δs" => 0.9242202579613632, "gS" => 0.03248244344611351);24.483885149;37;-3.3458837263300456e-11;0.5;0.26524718712917517;1.5928856107391698e-11
1.0;4.0;0.3;128.0;100.0;0.0;Dict("ΔS" => 1.199775507518567e-5, "Δs" => -7.027042364696286e-5, "gS" => 0.4033079851353916);Dict("ΔS" => 0.8669300932140714, "Δs" => 0.8223294169368194, "gS" => 0.12448694404310068);24.854491547;35;1.0858252237687856e-9;0.5;0.26524718712917517;-7.754146439525878e-10
1.0;4.0;0.4;128.0;100.0;0.0;Dict("ΔS" => 7.957709550235689e-6, "Δs" => 7.577186732090756e-5, "gS" => 0.4033079855010986);Dict("ΔS" => 0.4113600211433163, "Δs" => 0.886709262214286, "gS" => 0.03198834924833527);25.779942316;38;-5.824315468935456e-10;0.5;0.26524718712917517;5.545714215540037e-10
1.0;4.0;0.5;128.0;100.0;0.0;Dict("ΔS" => 2.218627189046092e-5, "Δs" => -3.521028492372528e-5, "gS" => 0.40330798504690407);Dict("ΔS" => 0.8731321953713739, "Δs" => 0.4120432384766287, "gS" => 0.006369261534300286);26.951438389;39;6.036599093858785e-10;0.5;0.26524718712917517;-7.184805113054707e-10
1.0;4.0;0.6;128.0;100.0;0.0;Dict("ΔS" => 2.8244826790011576e-5, "Δs" => 8.099043459432381e-5, "gS" => 0.4033079849340212);Dict("ΔS" => 0.879228866909316, "Δs" => 0.9477787889961613, "gS" => 0.0361017270411601);25.915040639;38;-1.4730927716793268e-9;0.5;0.26524718712917517;2.1039443928738153e-9
1.0;4.0;0.7;128.0;100.0;0.0;Dict("ΔS" => 3.562274940465622e-5, "Δs" => -1.13330172294367e-5, "gS" => 0.40330798486307373);Dict("ΔS" => 0.8995918585925035, "Δs" => 0.1326229857344198, "gS" => 0.0040910872056709735);28.832562499;43;2.228350880553731e-10;0.5;0.26524718712917517;-3.7130774171480196e-10
1.0;4.0;0.8;128.0;100.0;0.0;Dict("ΔS" => 4.126248181169121e-5, "Δs" => 4.79308773603939e-6, "gS" => 0.40330798484203906);Dict("ΔS" => 0.8601838801744763, "Δs" => 0.05609041206769503, "gS" => 0.0008751393515415984);31.678332815;46;-9.551898183003671e-11;0.5;0.26524718712917517;1.8189921422405442e-10
1.0;4.0;0.9;128.0;100.0;0.0;Dict("ΔS" => 4.993174623887055e-5, "Δs" => -5.294641499264475e-6, "gS" => 0.4033079847131723);Dict("ΔS" => 0.8697726092920312, "Δs" => 0.06195977204276484, "gS" => 0.006371727977461106);29.969231441;45;1.1349560632335359e-10;0.5;0.26524718712917517;-2.431500781968632e-10
