t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;128.0;100.0;0.0;Dict("Δd" => 0.0);Dict("Δd" => 0.5058091886794847);1.076578994;-1.463672932855431e-17
1.0;4.0;0.0;128.0;100.0;0.01;Dict("Δd" => 0.0);Dict("Δd" => 0.6889668279077797);15.671020928;0.02411888852276676
1.0;4.0;0.0;128.0;100.0;0.02;Dict("Δd" => 0.0);Dict("Δd" => 0.6798277596678839);14.130129509;0.06374628839078772
1.0;4.0;0.0;128.0;100.0;0.03;Dict("Δd" => 0.0);Dict("Δd" => 0.885022653049712);15.404083308;0.09579382184729762
1.0;4.0;0.0;128.0;100.0;0.04;Dict("Δd" => 0.0);Dict("Δd" => 0.81392161097095);18.038784141;0.13761211492090641
1.0;4.0;0.0;128.0;100.0;0.05;Dict("Δd" => 0.0);Dict("Δd" => 0.9165534002449447);18.190942525;0.18110407262113673
1.0;4.0;0.0;128.0;100.0;0.06;Dict("Δd" => 0.0);Dict("Δd" => 0.961815747774951);15.627079694;0.22375871389414811
1.0;4.0;0.0;128.0;100.0;0.07;Dict("Δd" => 0.0);Dict("Δd" => 0.5607047241031267);19.729361262;0.27407956037591974
1.0;4.0;0.0;128.0;100.0;0.08;Dict("Δd" => 0.0);Dict("Δd" => 0.5704695362572637);20.086987494;0.32068791564879257
1.0;4.0;0.0;128.0;100.0;0.09;Dict("Δd" => 0.0);Dict("Δd" => 0.9432394116212338);12.05449282;0.3746389902793402
1.0;4.0;0.0;128.0;100.0;0.1;Dict("Δd" => 0.0);Dict("Δd" => 0.6607137356237964);18.594638072;0.42684181623092765
1.0;4.0;0.0;128.0;100.0;0.11;Dict("Δd" => 0.0);Dict("Δd" => 0.5138234181158657);18.814429116;0.4816989023495169
1.0;4.0;0.0;128.0;100.0;0.12;Dict("Δd" => 0.0);Dict("Δd" => 0.6675555060125709);18.940378978;0.5404212508836206
1.0;4.0;0.0;128.0;100.0;0.13;Dict("Δd" => 0.0);Dict("Δd" => 0.75219800377783);13.20656456;0.5952366880669906
1.0;4.0;0.0;128.0;100.0;0.14;Dict("Δd" => 0.0);Dict("Δd" => 0.5597071759675778);20.103860847;0.6595546323775651
1.0;4.0;0.0;128.0;100.0;0.15;Dict("Δd" => 0.0);Dict("Δd" => 0.5200712175659772);19.925769932;0.7214976152706397
1.0;4.0;0.0;128.0;100.0;0.16;Dict("Δd" => 0.0);Dict("Δd" => 0.6105622856303532);18.809126375;0.7840922271849095
1.0;4.0;0.0;128.0;100.0;0.17;Dict("Δd" => 0.0);Dict("Δd" => 0.976852750490568);16.305253575;0.853555063889673
1.0;4.0;0.0;128.0;100.0;0.18;Dict("Δd" => 0.0);Dict("Δd" => 0.6237568234847601);18.223605648;0.9195683095015424
1.0;4.0;0.0;128.0;100.0;0.19;Dict("Δd" => 0.0);Dict("Δd" => 0.6964894411998735);18.363438345;0.9854723468427521
1.0;4.0;0.0;128.0;100.0;0.2;Dict("Δd" => 0.0);Dict("Δd" => 0.6090858182309631);17.161443963;1.0579579778348087
1.0;4.0;0.0;128.0;100.0;0.21;Dict("Δd" => 0.0);Dict("Δd" => 0.857956610665349);16.161997319;1.1334960831926697
1.0;4.0;0.0;128.0;100.0;0.22;Dict("Δd" => 0.0);Dict("Δd" => 0.5331198817831436);16.140352509;1.2088417379216025
1.0;4.0;0.0;128.0;100.0;0.23;Dict("Δd" => 0.0);Dict("Δd" => 0.7000085727322833);14.942087562;1.2824857168187576
1.0;4.0;0.0;128.0;100.0;0.24;Dict("Δd" => 0.0);Dict("Δd" => 0.5968720757056462);16.114316181;1.3586222239173233
1.0;4.0;0.0;128.0;100.0;0.25;Dict("Δd" => 0.0);Dict("Δd" => 0.8568726423072869);16.607484865;1.437321869917322
1.0;4.0;0.0;128.0;100.0;0.26;Dict("Δd" => 0.0);Dict("Δd" => 0.6511549663501552);13.895634042;1.5193070720464141
1.0;4.0;0.0;128.0;100.0;0.27;Dict("Δd" => 0.0);Dict("Δd" => 0.7644316468420487);14.866055746;1.6042035961091905
1.0;4.0;0.0;128.0;100.0;0.28;Dict("Δd" => 0.0);Dict("Δd" => 0.7574981638108468);16.019692868;1.6901651690318396
1.0;4.0;0.0;128.0;100.0;0.29;Dict("Δd" => 0.0);Dict("Δd" => 0.7792648031927052);15.865018297;1.7769731825159925
1.0;4.0;0.0;128.0;100.0;0.3;Dict("Δd" => 0.0);Dict("Δd" => 0.7058410678961119);15.828597602;1.8650972487993815
