t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;4.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => -7.238885581037038e-5, "gS" => 0.4033079855820509);Dict("ΔS" => 0.29667366038126014, "Δs" => 0.8471200611185095, "gS" => 0.24127180880906263);19.648996879;30;3.3624941633142447e-10;0.5;0.26524718712917517;-5.843849709696869e-17
1.0;4.0;0.1;128.0;100.0;0.0;Dict("ΔS" => 1.2326111603841437e-6, "Δs" => -7.414646745109382e-5, "gS" => 0.40330731515949025);Dict("ΔS" => 0.285715957466471, "Δs" => 0.8660307947632528, "gS" => 0.0875546122935944);25.526677378;36;3.5169586587078215e-10;0.5;0.26524718712917517;-8.657810286836348e-11
1.0;4.0;0.2;128.0;100.0;0.0;Dict("ΔS" => 2.8315849869096417e-7, "Δs" => 8.426627922790245e-5, "gS" => 0.4033065960548145);Dict("ΔS" => 0.030697404909915956, "Δs" => 0.9823267295887883, "gS" => 0.004404979914163221);32.88928353;45;-4.570922029086559e-11;0.5;0.26524718712917517;2.3290432299774566e-11
1.0;4.0;0.3;128.0;100.0;0.0;Dict("ΔS" => 1.2118508680621375e-7, "Δs" => 7.67321270264897e-5, "gS" => 0.40330582354023375);Dict("ΔS" => 0.008153557289589056, "Δs" => 0.8927464896119022, "gS" => 0.000221360675900506);36.177008123;53;-1.1819579711670747e-11;0.5;0.26524718712917517;9.35629330088561e-12
1.0;4.0;0.4;128.0;100.0;0.0;Dict("ΔS" => 1.1790292171046013e-10, "Δs" => -7.99309230671167e-5, "gS" => 0.4033049923251925);Dict("ΔS" => 5.508123537493755e-6, "Δs" => 0.9281192154753339, "gS" => 6.120542961340902e-7);46.517211258;77;8.762521958027847e-15;0.5;0.26524718712917517;-1.0093488544971052e-14
1.0;4.0;0.5;128.0;100.0;0.0;Dict("ΔS" => 7.784718216424936e-11, "Δs" => -8.615935856762232e-5, "gS" => 0.4033040964844775);Dict("ΔS" => 2.676293606087029e-6, "Δs" => 0.9984318709086547, "gS" => 4.797023889224761e-7);57.121350912;93;4.9392998371922126e-15;0.5;0.26524718712917517;-7.102120540974921e-15
1.0;4.0;0.6;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.949173382030398e-7, "Δs" => 9.044021779705394, "gS" => 1.8518778177600836e-5);56.233293824;100;3.5250665234021206e-15;0.5;0.26524718712917517;NaN
1.0;4.0;0.7;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.476187862267113e-5, "Δs" => 33.85137936441703, "gS" => 7.124143996950494e-5);63.735653045;100;1.1366810270807548e-12;0.5;0.26524718712917517;NaN
1.0;4.0;0.8;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 6.928812711025218e-5, "Δs" => 396.3344570660966, "gS" => 0.0007467198887001203);70.256943438;100;-7.039865120971739e-11;0.5;0.26524718712917517;NaN
1.0;4.0;0.9;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.00019743323399464653, "Δs" => 677.422316306729, "gS" => 1.1329631677270413e-6);70.415337447;100;-3.951611030582336e-10;0.5;0.26524718712917517;NaN
1.0;4.0;1.0;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.003436779107462325, "Δs" => 897.8335844972673, "gS" => 3.5501095951850914e-5);74.669818258;100;-1.068574241179683e-8;0.5;0.26524718712917517;NaN
1.0;4.0;1.1;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.022004376952296203, "Δs" => 1092.584586920486, "gS" => 1.906846847088417e-5);74.988746232;100;9.972086501821784e-8;0.5;0.26524718712917517;NaN
1.0;4.0;1.2;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.10526507866299599, "Δs" => 1275.7882541317235, "gS" => 1.4297080186409517e-6);79.661047227;100;-6.880574144794115e-7;0.5;0.26524718712917517;NaN
1.0;4.0;1.3;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.918539743807046, "Δs" => 1454.215470419375, "gS" => 9.499166842008577e-5);79.612033287;100;8.86061264943549e-6;0.5;0.26524718712917517;NaN
1.0;4.0;1.4;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 3.4155875834890455, "Δs" => 1631.8862424203544, "gS" => 0.001697289563340476);84.004446167;100;5.185780599070494e-5;0.5;0.26524718712917517;NaN
1.0;4.0;1.5;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 18.59409885442977, "Δs" => 1808.954713233763, "gS" => 0.06863040216464888);84.79333709;100;0.0005169224571959993;0.5;0.26524718712917517;NaN
