t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;128.0;100.0;0.0;Dict("Δd" => 4.292862435155018e-32, "ΔS" => 4.43709464088572e-31, "Δs" => 0.13864634092465833);Dict("Δd" => 8.585724870310035e-28, "ΔS" => 8.87418928177144e-27, "Δs" => 5545.853636986333);29.467420322;0.0
1.0;4.0;0.0;128.0;100.0;0.01;Dict("Δd" => 6.665286505738629e-31, "ΔS" => 4.4927024364977007e-32, "Δs" => -0.13777903864706842);Dict("Δd" => 1.3330573011477256e-26, "ΔS" => 8.9854048729954e-28, "Δs" => 5511.161545882736);89.932788615;0.036372933212253565
1.0;4.0;0.0;128.0;100.0;0.02;Dict("Δd" => 2.5284540930735223e-31, "ΔS" => 8.941902818521312e-32, "Δs" => 0.13527062570265647);Dict("Δd" => 5.056908186147044e-27, "ΔS" => 1.7883805637042624e-27, "Δs" => 5410.825028106258);92.640664899;0.0733902376438689
1.0;4.0;0.0;128.0;100.0;0.03;Dict("Δd" => 8.861765822008743e-32, "ΔS" => 7.306640127886591e-31, "Δs" => 0.13132674985404066);Dict("Δd" => 1.7723531644017485e-27, "ΔS" => 1.461328025577318e-26, "Δs" => 5253.069994161628);91.565496059;0.11158942158885232
1.0;4.0;0.0;128.0;100.0;0.04;Dict("Δd" => 6.422968453327021e-31, "ΔS" => 4.1767514222569285e-31, "Δs" => -0.1262335884942961);Dict("Δd" => 1.2845936906654042e-26, "ΔS" => 8.353502844513857e-27, "Δs" => 5049.343539771844);93.852098282;0.15141670909477303
1.0;4.0;0.0;128.0;100.0;0.05;Dict("Δd" => 2.5393148199784867e-31, "ΔS" => 1.709150909496317e-31, "Δs" => 0.12032846258060201);Dict("Δd" => 5.078629639956973e-27, "ΔS" => 3.418301818992634e-27, "Δs" => 4813.1385032240805);94.433111012;0.19312985434092242
1.0;4.0;0.0;128.0;100.0;0.06;Dict("Δd" => 4.025942972525004e-31, "ΔS" => 2.7060129519237836e-31, "Δs" => 0.11385674555872033);Dict("Δd" => 8.051885945050007e-27, "ΔS" => 5.412025903847567e-27, "Δs" => 4554.269822348813);93.102567465;0.2369005685257646
1.0;4.0;0.0;128.0;100.0;0.07;Dict("Δd" => 1.3461794937849302e-31, "ΔS" => 3.1569573315021586e-31, "Δs" => 0.10712900275783177);Dict("Δd" => 2.6923589875698605e-27, "ΔS" => 6.313914663004317e-27, "Δs" => 4285.160110313271);94.454084357;0.2828012727888898
1.0;4.0;0.0;128.0;100.0;0.08;Dict("Δd" => 1.7751123396094827e-31, "ΔS" => 9.73281712250742e-32, "Δs" => 0.100241697868037);Dict("Δd" => 3.5502246792189654e-27, "ΔS" => 1.9465634245014838e-27, "Δs" => 4009.6679147214795);96.511197888;0.3308202598395103
1.0;4.0;0.0;128.0;100.0;0.09;Dict("Δd" => 7.749196262075438e-31, "ΔS" => 1.8786268531994496e-31, "Δs" => -0.0934771389117427);Dict("Δd" => 1.5498392524150876e-26, "ΔS" => 3.757253706398899e-27, "Δs" => 3739.0855564697076);96.475173745;0.3809759658932489
