t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;12.0;0.0;128.0;100.0;0.0;Dict("Δd" => 0.0);Dict("Δd" => 0.6128140151326279);1.454369341;-2.3332030751888055e-16
1.0;12.0;0.0;128.0;100.0;0.01;Dict("Δd" => 0.0);Dict("Δd" => 0.9972164707736596);5.951627761;0.024118966455812952
1.0;12.0;0.0;128.0;100.0;0.02;Dict("Δd" => 0.0);Dict("Δd" => 0.7341563723856978);7.131511671;0.06374629555389993
1.0;12.0;0.0;128.0;100.0;0.03;Dict("Δd" => 0.0);Dict("Δd" => 0.7852201611527047);6.722165912;0.09579380596772161
1.0;12.0;0.0;128.0;100.0;0.04;Dict("Δd" => 0.0);Dict("Δd" => 0.6880733004750378);6.651684758;0.13761209960797746
1.0;12.0;0.0;128.0;100.0;0.05;Dict("Δd" => 0.0);Dict("Δd" => 0.641785137582247);6.583752889;0.18110404490540752
1.0;12.0;0.0;128.0;100.0;0.06;Dict("Δd" => 0.0);Dict("Δd" => 0.6077658733044894);5.64450427;0.223758678663581
1.0;12.0;0.0;128.0;100.0;0.07;Dict("Δd" => 0.0);Dict("Δd" => 0.6226031936992079);7.12816884;0.2740795640503059
1.0;12.0;0.0;128.0;100.0;0.08;Dict("Δd" => 0.0);Dict("Δd" => 0.5534149637351178);6.38795736;0.32068791481557274
1.0;12.0;0.0;128.0;100.0;0.09;Dict("Δd" => 0.0);Dict("Δd" => 0.7143701118652501);7.227682727;0.3746389765252437
1.0;12.0;0.0;128.0;100.0;0.1;Dict("Δd" => 0.0);Dict("Δd" => 0.5929142794424607);6.048211983;0.4268418136034077
1.0;12.0;0.0;128.0;100.0;0.11;Dict("Δd" => 0.0);Dict("Δd" => 0.596650772330502);7.437599005;0.4816989057565713
1.0;12.0;0.0;128.0;100.0;0.12;Dict("Δd" => 0.0);Dict("Δd" => 0.9492973561012966);5.856186837;0.5404212753900918
1.0;12.0;0.0;128.0;100.0;0.13;Dict("Δd" => 0.0);Dict("Δd" => 0.5099493291752566);8.117178451;0.5952366683294369
1.0;12.0;0.0;128.0;100.0;0.14;Dict("Δd" => 0.0);Dict("Δd" => 0.9068167912608494);6.835122986;0.6595546639743355
1.0;12.0;0.0;128.0;100.0;0.15;Dict("Δd" => 0.0);Dict("Δd" => 0.5821690642410964);6.447007183;0.7214976171367968
1.0;12.0;0.0;128.0;100.0;0.16;Dict("Δd" => 0.0);Dict("Δd" => 0.6001281622520973);4.862225489;0.7840922269671228
1.0;12.0;0.0;128.0;100.0;0.17;Dict("Δd" => 0.0);Dict("Δd" => 0.8663096619035415);5.682367524;0.8535550628398997
1.0;12.0;0.0;128.0;100.0;0.18;Dict("Δd" => 0.0);Dict("Δd" => 0.5595431395692612);7.188959482;0.9195683062591447
1.0;12.0;0.0;128.0;100.0;0.19;Dict("Δd" => 0.0);Dict("Δd" => 0.839119195687884);5.246410062;0.9854723583822901
1.0;12.0;0.0;128.0;100.0;0.2;Dict("Δd" => 0.0);Dict("Δd" => 0.7245553611767059);6.4096673;1.0579579853908552
1.0;12.0;0.0;128.0;100.0;0.21;Dict("Δd" => 0.0);Dict("Δd" => 0.5727129728539511);6.772449448;1.1334960741869793
1.0;12.0;0.0;128.0;100.0;0.22;Dict("Δd" => 0.0);Dict("Δd" => 0.7493272309885765);6.408978047;1.2088417366228779
1.0;12.0;0.0;128.0;100.0;0.23;Dict("Δd" => 0.0);Dict("Δd" => 0.8347073159913173);4.946591405;1.2824857202072408
1.0;12.0;0.0;128.0;100.0;0.24;Dict("Δd" => 0.0);Dict("Δd" => 0.5552587368516562);6.539454348;1.3586222229223104
1.0;12.0;0.0;128.0;100.0;0.25;Dict("Δd" => 0.0);Dict("Δd" => 0.5575459709724035);6.880856637;1.4373218494154587
1.0;12.0;0.0;128.0;100.0;0.26;Dict("Δd" => 0.0);Dict("Δd" => 0.9047117776228649);6.367171489;1.5193070895714555
1.0;12.0;0.0;128.0;100.0;0.27;Dict("Δd" => 0.0);Dict("Δd" => 0.9162002539308579);4.568318928;1.6042036012015934
1.0;12.0;0.0;128.0;100.0;0.28;Dict("Δd" => 0.0);Dict("Δd" => 0.9900951604874806);5.401993291;1.6901651718082533
1.0;12.0;0.0;128.0;100.0;0.29;Dict("Δd" => 0.0);Dict("Δd" => 0.8660346620034456);5.857022149;1.7769731830893942
1.0;12.0;0.0;128.0;100.0;0.3;Dict("Δd" => 0.0);Dict("Δd" => 0.5051890589767322);5.923607371;1.8650972476777907
1.0;12.0;0.0;128.0;100.0;0.31;Dict("Δd" => 0.0);Dict("Δd" => 0.587721335493917);6.674900991;1.954592371005889
1.0;12.0;0.0;128.0;100.0;0.32;Dict("Δd" => 0.0);Dict("Δd" => 0.7189358717133718);6.478414527;2.045262284088047
1.0;12.0;0.0;128.0;100.0;0.33;Dict("Δd" => 0.0);Dict("Δd" => 0.5727314750615038);6.428587437;2.1371744875869148
1.0;12.0;0.0;128.0;100.0;0.34;Dict("Δd" => 0.0);Dict("Δd" => 0.5084700109537365);5.555388352;2.2312115526795004
1.0;12.0;0.0;128.0;100.0;0.35;Dict("Δd" => 0.0);Dict("Δd" => 0.8568069512840915);6.621400973;2.3290088439047545
1.0;12.0;0.0;128.0;100.0;0.36;Dict("Δd" => 0.0);Dict("Δd" => 0.5340476548102802);6.912136264;2.429068419168627
1.0;12.0;0.0;128.0;100.0;0.37;Dict("Δd" => 0.0);Dict("Δd" => 0.53404591229651);7.237366807;2.528433769022799
1.0;12.0;0.0;128.0;100.0;0.38;Dict("Δd" => 0.0);Dict("Δd" => 0.7293878985512091);5.240811793;2.6304212003760044
1.0;12.0;0.0;128.0;100.0;0.39;Dict("Δd" => 0.0);Dict("Δd" => 0.7032552944999366);6.553045979;2.7366078478973694
1.0;12.0;0.0;128.0;100.0;0.4;Dict("Δd" => 0.0);Dict("Δd" => 0.5893525734555369);6.984095278;2.839265000060257
1.0;12.0;0.0;128.0;100.0;0.41;Dict("Δd" => 0.0);Dict("Δd" => 0.7321583900372339);6.385317411;2.9463930479860103
1.0;12.0;0.0;128.0;100.0;0.42;Dict("Δd" => 0.0);Dict("Δd" => 0.897530851432267);5.073265904;3.0566137143232233
1.0;12.0;0.0;128.0;100.0;0.43;Dict("Δd" => 0.0);Dict("Δd" => 0.6900650436240978);5.573352797;3.1687750814748874
1.0;12.0;0.0;128.0;100.0;0.44;Dict("Δd" => 0.0);Dict("Δd" => 0.7739102338723971);6.350054267;3.2791959565102875
1.0;12.0;0.0;128.0;100.0;0.45;Dict("Δd" => 0.0);Dict("Δd" => 0.6217010060665241);5.964090018;3.3967928728924104
1.0;12.0;0.0;128.0;100.0;0.46;Dict("Δd" => 0.0);Dict("Δd" => 0.579403075874296);6.35847459;3.5138595023125303
1.0;12.0;0.0;128.0;100.0;0.47;Dict("Δd" => 0.0);Dict("Δd" => 0.6385283271958799);6.446993314;3.63210024922693
1.0;12.0;0.0;128.0;100.0;0.48;Dict("Δd" => 0.0);Dict("Δd" => 0.8834665504015125);6.376831741;3.7529492254818244
1.0;12.0;0.0;128.0;100.0;0.49;Dict("Δd" => 0.0);Dict("Δd" => 0.771452689726662);6.4496648;3.8754235364721623
1.0;12.0;0.1;128.0;100.0;0.0;Dict("Δd" => 0.00017411904332531982);Dict("Δd" => 0.9077394156327179);2.30637332;0.0
1.0;12.0;0.1;128.0;100.0;0.01;Dict("Δd" => 0.00014022520385913108);Dict("Δd" => 0.8495884075142089);14.517072846;0.024119577603477587
1.0;12.0;0.1;128.0;100.0;0.02;Dict("Δd" => 0.000131513891334161);Dict("Δd" => 0.9659285497456529);12.57783949;0.06374673044737462
1.0;12.0;0.1;128.0;100.0;0.03;Dict("Δd" => 9.705208834213416e-5);Dict("Δd" => 0.8298947239080458);13.246938836;0.09579405601646354
1.0;12.0;0.1;128.0;100.0;0.04;Dict("Δd" => 9.637004984394176e-5);Dict("Δd" => 0.960838606173026);12.344072892;0.13761236130054572
1.0;12.0;0.1;128.0;100.0;0.05;Dict("Δd" => 7.605452654950735e-5);Dict("Δd" => 0.8553414521631066);11.576547561;0.1811041872562587
1.0;12.0;0.1;128.0;100.0;0.06;Dict("Δd" => 6.129426137975555e-5);Dict("Δd" => 0.7716281322275425);11.253616969;0.2237587767809165
1.0;12.0;0.1;128.0;100.0;0.07;Dict("Δd" => 6.476795237593122e-5);Dict("Δd" => 0.9044551463672618);9.922194558;0.2740796654598192
1.0;12.0;0.1;128.0;100.0;0.08;Dict("Δd" => 5.69526952724097e-5);Dict("Δd" => 0.8762858561127937);10.509187786;0.3206879923731387
1.0;12.0;0.1;128.0;100.0;0.09;Dict("Δd" => 4.4770224956808776e-5);Dict("Δd" => 0.756168269723919);10.630174263;0.37463901056758564
1.0;12.0;0.1;128.0;100.0;0.1;Dict("Δd" => 4.19016976311129e-5);Dict("Δd" => 0.7743892384787116);11.32314274;0.42684184676412457
1.0;12.0;0.1;128.0;100.0;0.11;Dict("Δd" => 4.312686410873212e-5);Dict("Δd" => 0.8701992508086133);10.620033088;0.48169895531240453
1.0;12.0;0.1;128.0;100.0;0.12;Dict("Δd" => 3.74133672228761e-5);Dict("Δd" => 0.81941777267795);10.759819343;0.5404213035472143
1.0;12.0;0.1;128.0;100.0;0.13;Dict("Δd" => 3.918414338383211e-5);Dict("Δd" => 0.9203894552674565);10.139948267;0.5952367626992299
1.0;12.0;0.1;128.0;100.0;0.14;Dict("Δd" => 2.79391735722007e-5);Dict("Δd" => 0.7052593444648712);10.161873862;0.6595546731123764
1.0;12.0;0.1;128.0;100.0;0.15;Dict("Δd" => 3.041527606615758e-5);Dict("Δd" => 0.823944257543761);9.99216201;0.72149764259327
1.0;12.0;0.1;128.0;100.0;0.16;Dict("Δd" => 2.9311348031332572e-5);Dict("Δd" => 0.8600572816052868);9.897013164;0.7840922436842497
1.0;12.0;0.1;128.0;100.0;0.17;Dict("Δd" => 2.528327859500532e-5);Dict("Δd" => 0.8062666680633921);9.564898139;0.8535550647524534
1.0;12.0;0.1;128.0;100.0;0.18;Dict("Δd" => 2.7546410369108103e-5);Dict("Δd" => 0.9519934343735299);9.27758397;0.9195683571904426
1.0;12.0;0.1;128.0;100.0;0.19;Dict("Δd" => 1.9009982131060805e-5);Dict("Δd" => 0.6970257668539368);9.061284585;0.985472362748432
1.0;12.0;0.1;128.0;100.0;0.2;Dict("Δd" => 1.6812069329404018e-5);Dict("Δd" => 0.6556815664507621);8.176624788;1.0579579929309197
1.0;12.0;0.1;128.0;100.0;0.21;Dict("Δd" => 1.7497579988676303e-5);Dict("Δd" => 0.7293164769874744);7.911155375;1.133496084994631
1.0;12.0;0.1;128.0;100.0;0.22;Dict("Δd" => 1.4188075053998083e-5);Dict("Δd" => 0.6426333890392874);8.116137593;1.2088417363700916
1.0;12.0;0.1;128.0;100.0;0.23;Dict("Δd" => 1.865469900398933e-5);Dict("Δd" => 0.9178954574793518);7.216758737;1.2824857287808467
1.0;12.0;0.1;128.0;100.0;0.24;Dict("Δd" => 1.1972619515122165e-5);Dict("Δd" => 0.6354670262585812);7.76944285;1.3586222283598648
1.0;12.0;0.1;128.0;100.0;0.25;Dict("Δd" => 1.4253383378148627e-5);Dict("Δd" => 0.8089994458213958);7.716588674;1.437321878206907
1.0;12.0;0.1;128.0;100.0;0.26;Dict("Δd" => 1.016087884331376e-5);Dict("Δd" => 0.6100590055020515);7.248675979;1.5193070757099392
1.0;12.0;0.1;128.0;100.0;0.27;Dict("Δd" => 1.4378346796038755e-5);Dict("Δd" => 0.9236545300840637);7.5477959;1.6042036071910921
1.0;12.0;0.1;128.0;100.0;0.28;Dict("Δd" => 1.1485103597918122e-5);Dict("Δd" => 0.7978932040439798);7.215391573;1.6901651708029242
1.0;12.0;0.1;128.0;100.0;0.29;Dict("Δd" => 1.3090901931210258e-5);Dict("Δd" => 0.9869220417001049);7.217910121;1.7769731850957813
