t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;12.0;0.0;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.008397784754484541, "Δs" => 2966.303223657766, "gS" => 0.020253962420002658);73.313211018;100;1.413153149815334e-8;0.5;0.11587212681472354;NaN
1.0;12.0;0.1;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.028611297970661146, "Δs" => 3260.329995209324, "gS" => 0.023935803963870406);77.837089611;100;-5.72153891669272e-8;0.5;0.11587212681472354;NaN
1.0;12.0;0.2;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.020217054147575672, "Δs" => 3555.4987998215483, "gS" => 0.024732093594215243);74.404623056;100;4.7808765954795995e-8;0.5;0.11587212681472354;NaN
1.0;12.0;0.3;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.08915339629078822, "Δs" => 3854.5380649261515, "gS" => 0.026121359644193376);79.19601854;100;-2.486708172988461e-7;0.5;0.11587212681472354;NaN
1.0;12.0;0.4;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.2664898540756265, "Δs" => 4159.775662064149, "gS" => 0.012094732688705534);79.905386354;100;-8.761406092353531e-7;0.5;0.11587212681472354;NaN
1.0;12.0;0.5;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.2594128564776823, "Δs" => 4473.329455398899, "gS" => 0.024771662779921044);78.650505296;100;1.0063422561049779e-6;0.5;0.11587212681472354;NaN
1.0;12.0;0.6;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.1173567855664217, "Δs" => 4797.123882090321, "gS" => 0.01452773896959414);81.047089835;100;5.128571593474452e-6;0.5;0.11587212681472354;NaN
1.0;12.0;0.7;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 0.9902255953744329, "Δs" => 5133.102035403609, "gS" => 0.021241640835167885);80.350641171;100;-5.4025270037390966e-6;0.5;0.11587212681472354;NaN
1.0;12.0;0.8;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.2336998068737437, "Δs" => 5483.1556782933085, "gS" => 0.016796776219907272);80.596895019;100;-8.055832334965575e-6;0.5;0.11587212681472354;NaN
1.0;12.0;0.9;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 1.812946408218137, "Δs" => 5849.077998885105, "gS" => 0.003105242554202192);81.456727452;100;1.4306679507166743e-5;0.5;0.11587212681472354;NaN
