t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;0.0;128.0;100.0;0.0;Dict("m" => 0.0, "w0" => 0.10130764827115636, "wp" => 0.0);Dict("m" => 0.06574011888920907, "w0" => 0.11254374578675841, "wp" => 0.5017238585248718);0.195876145;0.0
1.0;0.0;0.0;128.0;10.0;0.0;Dict("m" => 0.0, "w0" => 0.1008490767791066, "wp" => 0.0);Dict("m" => 0.3120197923736241, "w0" => 0.021669977177396493, "wp" => 0.5712224243985438);0.158584678;0.0
1.0;0.0;0.1;128.0;100.0;0.0;Dict("m" => 0.00012432147741703217, "w0" => 0.10130756380713664, "wp" => 2.500714412155926e-11);Dict("m" => 0.8592711376815726, "w0" => 2.5479044291065733e-5, "wp" => 2.4184237225196346e-5);0.295921524;0.0
1.0;0.0;0.1;128.0;10.0;0.0;Dict("m" => 2.8246872508987382e-5, "w0" => 0.10084048093516877, "wp" => 2.0679298670329244e-8);Dict("m" => 0.7544341542685697, "w0" => 0.015387681804035491, "wp" => 0.02009335260571367);0.207935447;0.0
1.0;0.0;0.2;128.0;100.0;0.0;Dict("m" => 0.018239782752008344, "w0" => 0.10125835115110235, "wp" => 2.322360166296023e-13);Dict("m" => 0.9461733089561469, "w0" => 0.006321743951376302, "wp" => 1.100302883715204e-7);0.391477713;0.0
1.0;0.0;0.2;128.0;10.0;0.0;Dict("m" => 0.00011275629102508191, "w0" => 0.10083163986103288, "wp" => 1.9338617024753702e-10);Dict("m" => 0.9291288089734318, "w0" => 9.722223165420374e-5, "wp" => 9.202785604317285e-5);0.289368029;0.0
1.0;0.0;0.3;128.0;100.0;0.0;Dict("m" => 0.04572330529026313, "w0" => 0.10079813691277054, "wp" => 1.5485189358514994e-11);Dict("m" => 0.9261571000300506, "w0" => 0.026351215426934083, "wp" => 4.8111585866791105e-6);0.336200681;0.0
1.0;0.0;0.3;128.0;10.0;0.0;Dict("m" => 0.0004388765379563247, "w0" => 0.10082250815908393, "wp" => 7.591795274720062e-20);Dict("m" => 0.9145645379621291, "w0" => 0.0002156524621377276, "wp" => 2.358117960447569e-14);0.626897425;0.0
1.0;0.0;0.4;128.0;100.0;0.0;Dict("m" => 0.07397433227145883, "w0" => 0.09955629145586066, "wp" => 1.4308988530889148e-11);Dict("m" => 0.9536358664974376, "w0" => 0.059037021496594067, "wp" => 3.3070191402807197e-6);0.301672731;0.0
1.0;0.0;0.4;128.0;10.0;0.0;Dict("m" => 0.055878016946141355, "w0" => 0.09999515318467887, "wp" => 1.9430527416682642e-16);Dict("m" => 0.9318809776063391, "w0" => 0.031204415419511244, "wp" => 4.469262821170244e-11);0.506551548;0.0
1.0;0.0;0.5;128.0;100.0;0.0;Dict("m" => 0.09989773852806985, "w0" => 0.0974240436114245, "wp" => 1.25548176502336e-9);Dict("m" => 0.971024372560525, "w0" => 0.10235154999524432, "wp" => 0.00023262719095078224);0.275307944;0.0
1.0;0.0;0.5;128.0;10.0;0.0;Dict("m" => 0.09709260477424815, "w0" => 0.09755177320079689, "wp" => 1.4458466026883694e-10);Dict("m" => 0.9400137317648605, "w0" => 0.08723840801444505, "wp" => 2.6751087482578024e-5);0.304267965;0.0
1.0;0.0;0.6;128.0;100.0;0.0;Dict("m" => 0.12231418838591522, "w0" => 0.0945272241836769, "wp" => 3.4899555507244576e-9);Dict("m" => 0.773820508916806, "w0" => 0.12078083673136564, "wp" => 0.0005455405212181836);0.265419401;0.0
1.0;0.0;0.6;128.0;10.0;0.0;Dict("m" => 0.12190135882370999, "w0" => 0.09455270827835463, "wp" => 1.9699151911231773e-9);Dict("m" => 0.9160221685590442, "w0" => 0.13946105932860497, "wp" => 0.00030783865190657983);0.264355442;0.0
1.0;0.0;0.7;128.0;100.0;0.0;Dict("m" => 0.1410954158945057, "w0" => 0.09110640432207033, "wp" => 2.7450108252064907e-6);Dict("m" => 0.7500381085678853, "w0" => 0.18712512854110464, "wp" => 0.37551877534812333);0.172018007;0.0
1.0;0.0;0.7;128.0;10.0;0.0;Dict("m" => 0.14116830335303546, "w0" => 0.0910836137099825, "wp" => 1.0514834123887961e-7);Dict("m" => 0.9157669759132792, "w0" => 0.19081966952799734, "wp" => 0.014388904366346699);0.224472441;0.0
1.0;0.0;0.8;128.0;100.0;0.0;Dict("m" => 0.15694418274151675, "w0" => 0.08731298102903522, "wp" => 3.146899885200627e-8);Dict("m" => 0.8962035963350212, "w0" => 0.2393215735764509, "wp" => 0.0038759067767083263);0.221734442;0.0
1.0;0.0;0.8;128.0;10.0;0.0;Dict("m" => 0.15692596619725488, "w0" => 0.08731668924275472, "wp" => 4.307813458652604e-8);Dict("m" => 0.7240978370057216, "w0" => 0.19413811563631644, "wp" => 0.005305471927990021);0.218004271;0.0
1.0;0.0;0.9;128.0;100.0;0.0;Dict("m" => 0.1699625840123286, "w0" => 0.08341474511532988, "wp" => 6.142253508954374e-9);Dict("m" => 0.9350458560122843, "w0" => 0.3104168642346916, "wp" => 0.0006953456199119264);0.209131157;0.0
1.0;0.0;0.9;128.0;10.0;0.0;Dict("m" => 0.16996010004584944, "w0" => 0.08341539010514519, "wp" => 3.503141312020626e-7);Dict("m" => 0.9033969036797984, "w0" => 0.295596735910425, "wp" => 0.03965756181024983);0.201009363;0.0
1.0;0.0;1.0;128.0;100.0;0.0;Dict("m" => 0.18073883261747184, "w0" => 0.07952585090485666, "wp" => 9.734056596125772e-8);Dict("m" => 0.913312204863792, "w0" => 0.35665918387231543, "wp" => 0.010293741481448378);0.199252929;0.0
1.0;0.0;1.0;128.0;10.0;0.0;Dict("m" => 0.1807397790228729, "w0" => 0.0795254549108565, "wp" => 2.133506015276629e-7);Dict("m" => 0.9357269327645024, "w0" => 0.365264082045208, "wp" => 0.022561931569704912);0.202419919;0.0
1.0;0.0;1.1;128.0;100.0;0.0;Dict("m" => 0.1896299313550743, "w0" => 0.07576520109590273, "wp" => 5.765280015065937e-6);Dict("m" => 0.5901403176633568, "w0" => 0.375880886374913, "wp" => 0.5764297700793106);0.162230113;0.0
1.0;0.0;1.1;128.0;10.0;0.0;Dict("m" => 0.18968397241488824, "w0" => 0.07574059852835821, "wp" => 7.70814998242114e-8);Dict("m" => 0.8267778681650406, "w0" => 0.3748820745336223, "wp" => 0.0077106048363711835);0.377922835;0.0
1.0;0.0;1.2;128.0;100.0;0.0;Dict("m" => 0.19714882124028815, "w0" => 0.07211378401033007, "wp" => 2.820184061166834e-6);Dict("m" => 0.8196058200632406, "w0" => 0.2623630567798185, "wp" => 0.2695017483378308);0.161470683;0.0
1.0;0.0;1.2;128.0;10.0;0.0;Dict("m" => 0.19714789970125593, "w0" => 0.07211426117740771, "wp" => 6.646940120227401e-7);Dict("m" => 0.829563540227507, "w0" => 0.3945405980534944, "wp" => 0.06352003874294603);0.179477523;0.0
1.0;0.0;1.3;128.0;100.0;0.0;Dict("m" => 0.20340412409815647, "w0" => 0.06868189940337925, "wp" => 5.954378028737903e-7);Dict("m" => 0.7639359043934424, "w0" => 0.4085879388168734, "wp" => 0.054783256246075225);0.183568145;0.0
1.0;0.0;1.3;128.0;10.0;0.0;Dict("m" => 0.20340601143503742, "w0" => 0.06868080297618638, "wp" => 2.2448951399824724e-6);Dict("m" => 0.8181760293649032, "w0" => 0.4005996670720935, "wp" => 0.20654533475167622);0.170214453;0.0
1.0;0.0;1.4;128.0;100.0;0.0;Dict("m" => 0.20868345136550584, "w0" => 0.06545455292213558, "wp" => 5.212736969097309e-6);Dict("m" => 0.7755339738779732, "w0" => 0.40253235301504486, "wp" => 0.4646275174891042);0.169008405;0.0
1.0;0.0;1.4;128.0;10.0;0.0;Dict("m" => 0.20867223816346991, "w0" => 0.06546176722996572, "wp" => 6.44813373105004e-6);Dict("m" => 0.29599294352256056, "w0" => 0.09065797065832548, "wp" => 0.5746340139902961);0.169742252;0.0
1.0;0.0;1.5;128.0;100.0;0.0;Dict("m" => 0.21315992720186508, "w0" => 0.062438375274611185, "wp" => 2.3131661335429848e-7);Dict("m" => 0.6475483713316854, "w0" => 0.3595058600117107, "wp" => 0.020073123934178063);0.167097822;0.0
1.0;0.0;1.5;128.0;10.0;0.0;Dict("m" => 0.21314997353302995, "w0" => 0.06244539818132261, "wp" => 1.1076620394755976e-5);Dict("m" => 0.16924674539786633, "w0" => 0.07455486093203845, "wp" => 0.9610200928753864);0.159648227;0.0
1.0;0.0;1.6;128.0;100.0;0.0;Dict("m" => 0.21698418725182828, "w0" => 0.05962384758065718, "wp" => 1.6596374039494814e-6);Dict("m" => 0.6545279455333342, "w0" => 0.4052899716176783, "wp" => 0.14078808056592168);0.168861319;0.0
1.0;0.0;1.6;128.0;10.0;0.0;Dict("m" => 0.21697539869824412, "w0" => 0.059630593381969826, "wp" => 1.0744728399412227e-5);Dict("m" => 0.007452261226448265, "w0" => 0.3491430588730554, "wp" => 0.9112186775876443);0.155871801;0.0
1.0;0.0;1.7;128.0;100.0;0.0;Dict("m" => 0.22027265924497197, "w0" => 0.05699996716771681, "wp" => 1.0999657893857853e-5);Dict("m" => 0.917323520754354, "w0" => 0.5831338991663104, "wp" => 0.9152756405567629);0.156327413;0.0
1.0;0.0;1.7;128.0;10.0;0.0;Dict("m" => 0.22027144334948215, "w0" => 0.05700097641453899, "wp" => 7.019800268633676e-6);Dict("m" => 0.7849346008992342, "w0" => 0.4021085170175659, "wp" => 0.5840786979696253);0.158492679;0.0
1.0;0.0;1.8;128.0;100.0;0.0;Dict("m" => 0.22309918845903196, "w0" => 0.05457080221315069, "wp" => 1.0628832558161783e-5);Dict("m" => 0.21695586169767633, "w0" => 0.16600483802878263, "wp" => 0.8695191181923874);0.159112666;0.0
1.0;0.0;1.8;128.0;10.0;0.0;Dict("m" => 0.22311055137957891, "w0" => 0.05456068068048959, "wp" => 3.6208918736144563e-6);Dict("m" => 0.7221427763634547, "w0" => 0.028396072815420337, "wp" => 0.29627190199807574);0.120779259;0.0
1.0;0.0;1.9;128.0;100.0;0.0;Dict("m" => 0.2255563069659698, "w0" => 0.052309109368837925, "wp" => 6.964509105749772e-6);Dict("m" => 0.446717659960405, "w0" => 0.3348694559014709, "wp" => 0.5614095492276686);0.148202998;0.0
1.0;0.0;1.9;128.0;10.0;0.0;Dict("m" => 0.2255727425069423, "w0" => 0.0522934661759616, "wp" => 6.055978665201107e-6);Dict("m" => 0.9757180927263964, "w0" => 0.6737517940212656, "wp" => 0.488471920236232);0.425671514;0.0
