t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;0.0;128.0;100.0;0.0;Dict("m" => 0.0, "w0" => 0.10130764827115636, "wp" => 0.0);Dict("m" => 0.18125456629363138, "w0" => 0.6731981048728464, "wp" => 0.5857676400707978);0.185147354;0.0
1.0;0.0;0.0;128.0;50.0;0.0;Dict("m" => 0.0, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 0.6092273028113849, "w0" => 0.23524671552394016, "wp" => 0.27713251451301063);0.138809254;0.0
1.0;0.0;0.0;128.0;10.0;0.0;Dict("m" => 0.0, "w0" => 0.1008490767791066, "wp" => 0.0);Dict("m" => 0.36425479396221366, "w0" => 0.5233775320898082, "wp" => 0.13016607622164827);0.151907858;0.0
1.0;0.0;0.5;128.0;100.0;0.0;Dict("m" => 0.0996908338415696, "w0" => 0.09744575047102778, "wp" => 8.425464243698204e-7);Dict("m" => 0.8293630280534203, "w0" => 0.11450534485271668, "wp" => 0.15607433433704646);0.180265559;0.0
1.0;0.0;0.5;128.0;50.0;0.0;Dict("m" => 0.0998809828317507, "w0" => 0.0974258045981165, "wp" => 5.98677295983505e-10);Dict("m" => 0.8249641209320813, "w0" => 0.0869175982161352, "wp" => 0.00011092611094900144);0.282939641;0.0
1.0;0.0;0.5;128.0;10.0;0.0;Dict("m" => 0.09707658019247367, "w0" => 0.09755325564722818, "wp" => 1.0908279611028672e-10);Dict("m" => 0.828612227911224, "w0" => 0.07684382916386956, "wp" => 2.018217284056582e-5);0.30065936;0.0
1.0;0.0;1.0;128.0;100.0;0.0;Dict("m" => 0.18073565423796897, "w0" => 0.07952709962825259, "wp" => 6.045313167894807e-7);Dict("m" => 0.8426709270412114, "w0" => 0.3213449075468999, "wp" => 0.06392757952377887);0.201388699;0.0
1.0;0.0;1.0;128.0;50.0;0.0;Dict("m" => 0.18072845953388234, "w0" => 0.07952992605449793, "wp" => 6.795857779329931e-7);Dict("m" => 0.6879227700459789, "w0" => 0.26753748406688205, "wp" => 0.07186089242367583);0.201208044;0.0
1.0;0.0;1.0;128.0;10.0;0.0;Dict("m" => 0.18074072864273033, "w0" => 0.07952508180903423, "wp" => 4.895998661747349e-7);Dict("m" => 0.9566374636482688, "w0" => 0.374812605317687, "wp" => 0.051775775491956);0.20083081;0.0
1.0;0.0;1.5;128.0;100.0;0.0;Dict("m" => 0.2131607743726415, "w0" => 0.06243777725729329, "wp" => 4.1174808349180775e-6);Dict("m" => 0.7154807766637794, "w0" => 0.46085362796009777, "wp" => 0.3573164155443446);0.174240081;0.0
1.0;0.0;1.5;128.0;50.0;0.0;Dict("m" => 0.21315908259574956, "w0" => 0.062438971332137105, "wp" => 7.197481159159367e-7);Dict("m" => 0.6179505125758489, "w0" => 0.36649934991903055, "wp" => 0.06245743383125846);0.183385916;0.0
1.0;0.0;1.5;128.0;10.0;0.0;Dict("m" => 0.21316364545204103, "w0" => 0.062435751077393964, "wp" => 7.288618961976234e-8);Dict("m" => 0.8190474348587773, "w0" => 0.44542068757383313, "wp" => 0.00632532337897218);0.172141943;0.0
1.0;0.0;2.0;128.0;100.0;0.0;Dict("m" => 0.22772241815062017, "w0" => 0.05018304036847263, "wp" => 4.135751377084283e-6);Dict("m" => 0.6358937771039352, "w0" => 0.12004963657642753, "wp" => 0.3293615072603574);0.142935849;0.0
