t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;0.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => -0.0, "gS" => 0.40330798495018005);Dict("ΔS" => 0.37019062304494926, "Δs" => 0.5200154698331627, "gS" => 0.02067879455225352);11.103462443;15;1.770527978677168e-9;0.5;0.5;-5.843849709696869e-17
1.0;0.0;0.5;128.0;100.0;0.0;Dict("ΔS" => 2.0381035867521352e-5, "Δs" => -0.0, "gS" => 0.40330798506397436);Dict("ΔS" => 0.8020878272016239, "Δs" => 0.19046726909430856, "gS" => 0.1291053421925703);11.684310314;16;1.762119042694743e-9;0.5;0.5;1.7985612998927537e-16
1.0;0.0;1.0;128.0;100.0;0.0;Dict("ΔS" => 5.5730205682471194e-5, "Δs" => -0.0, "gS" => 0.4033079846916386);Dict("ΔS" => 0.8179693757209434, "Δs" => 0.07430786904457719, "gS" => 0.022266762097489234);12.788980741;18;9.399050059305872e-10;0.5;0.5;0.0
1.0;0.0;1.5;128.0;100.0;0.0;Dict("ΔS" => 0.0001397621053039611, "Δs" => -0.0, "gS" => 0.4033079829850008);Dict("ΔS" => 0.9016806056963311, "Δs" => 7.881363907731974e-7, "gS" => 6.463647950205598e-5);20.101456612;33;1.6235656482427308e-14;0.5;0.5;-2.3332030751888055e-16
1.0;0.0;2.0;128.0;100.0;0.0;Dict("ΔS" => 0.000393793110047286, "Δs" => 0.0, "gS" => 0.4033079737049947);Dict("ΔS" => 0.920945899286403, "Δs" => 7.03754476787978e-19, "gS" => 6.758850257249094e-5);33.294157589;74;4.662069341687669e-16;0.5;0.5;-5.77120816414034e-16
1.0;0.0;2.5;128.0;100.0;0.0;Dict("ΔS" => NaN, "Δs" => NaN, "gS" => NaN);Dict("ΔS" => 15.83447552891859, "Δs" => 4.683083491015655e-27, "gS" => 0.5949515225983637);39.078022871;100;3.4423418976414766e-16;0.5;0.5;NaN
1.0;0.0;3.0;128.0;100.0;0.0;Dict("ΔS" => 1.3824642399471054, "Δs" => -0.0, "gS" => 0.33143425632698853);Dict("ΔS" => 0.9758298556161726, "Δs" => 5.070226553584718e-16, "gS" => 0.11239155606745932);28.503418095;60;-4.662069341687669e-16;0.5;0.5;2.3332030751888055e-16
1.0;0.0;3.5;128.0;100.0;0.0;Dict("ΔS" => 2.0115436870908447, "Δs" => -0.0, "gS" => 0.28380503415006986);Dict("ΔS" => 0.9402622375631609, "Δs" => 1.8409761525383785e-12, "gS" => 0.1350521507587077);33.085741576;53;1.1676857397668883e-16;0.5;0.5;-5.843849709696869e-17
1.0;0.0;4.0;128.0;100.0;0.0;Dict("ΔS" => 2.5514214265600024, "Δs" => -0.0, "gS" => 0.2480862569725183);Dict("ΔS" => 0.9046401551904282, "Δs" => 5.233666520597863e-7, "gS" => 0.14411859592000642);24.460805941;35;1.9102213192311035e-11;0.5;0.5;-2.3332030751888055e-16
1.0;0.0;4.5;128.0;100.0;0.0;Dict("ΔS" => 3.04985873229466, "Δs" => -0.0, "gS" => 0.22030498964567588);Dict("ΔS" => 0.7376455118102143, "Δs" => 2.345289475662234e-6, "gS" => 0.12461629020799059);20.38280657;29;7.327301219657405e-11;0.5;0.5;-3.4423418976414766e-16
1.0;0.0;5.0;128.0;100.0;0.0;Dict("ΔS" => 3.5244739648757237, "Δs" => -0.0, "gS" => 0.1980812958702792);Dict("ΔS" => 0.6878391546338847, "Δs" => 0.0002372700083270513, "gS" => 0.12050760190812637);18.28143801;25;6.433029006410254e-9;0.5;0.5;3.4423418976414766e-16
1.0;0.0;5.5;128.0;100.0;0.0;Dict("ΔS" => 3.9837957680391516, "Δs" => -0.0, "gS" => 0.1798985233785377);Dict("ΔS" => 0.6461373812660653, "Δs" => 3.7172320237815794e-5, "gS" => 0.11485833074170726);20.970475691;29;8.850133243983906e-10;0.5;0.5;-1.1676857397668883e-16
1.0;0.0;6.0;128.0;100.0;0.0;Dict("ΔS" => 4.432577094371991, "Δs" => -0.0, "gS" => 0.16474716595689703);Dict("ΔS" => 0.8262290537963679, "Δs" => 1.0557044369218383e-5, "gS" => 0.1471073070424822);20.401457313;28;2.2292187816823003e-10;0.5;0.5;1.7222551509932238e-16
1.0;0.0;6.5;128.0;100.0;0.0;Dict("ΔS" => 4.8737408179756745, "Δs" => -0.0, "gS" => 0.15192574784507218);Dict("ΔS" => 0.6973850558189554, "Δs" => 8.276301452206678e-5, "gS" => 0.12344990504842279);17.998676252;25;1.5630533301317587e-9;0.5;0.5;-1.1676857397668883e-16
1.0;0.0;7.0;128.0;100.0;0.0;Dict("ΔS" => 5.309176741268955, "Δs" => -0.0, "gS" => 0.1409367951142952);Dict("ΔS" => 0.8397791896364026, "Δs" => 0.0007460107931748402, "gS" => 0.1475150131297065);16.350330995;22;1.269203456829432e-8;0.5;0.5;-4.662069341687669e-16
