t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;0.0;0.0;128.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => -0.0, "gS" => 0.4033079851403711);Dict("ΔS" => 0.9976142731211136, "Δs" => 0.08770421714341195, "gS" => 0.20019496505152556);10.067161917;14;8.04718383942693e-10;0.5;0.5;-5.843849709696869e-17
1.0;0.0;0.5;128.0;100.0;0.0;Dict("ΔS" => 1.834998794801249e-5, "Δs" => -0.0, "gS" => 0.40330409621113433);Dict("ΔS" => 0.6308539499750364, "Δs" => 0.15962820767646424, "gS" => 0.14006716365921879);11.880665693;16;1.3916940162675244e-9;0.5;0.5;-5.843849709696869e-17
1.0;0.0;1.0;128.0;100.0;0.0;Dict("ΔS" => 9.617485985065525e-5, "Δs" => -0.0, "gS" => 0.4032983782464886);Dict("ΔS" => 0.9330515412581545, "Δs" => 0.00025580100581560874, "gS" => 0.0001414655259601716);18.04218012;26;6.107940975913495e-12;0.5;0.5;3.4423418976414766e-16
1.0;0.0;1.5;128.0;100.0;0.0;Dict("ΔS" => 0.0006732579302232056, "Δs" => -0.0, "gS" => 0.4032894969617977);Dict("ΔS" => 0.9937373031194843, "Δs" => 6.803403732780652e-27, "gS" => 0.00020594560390385652);37.87056505;98;-2.3332030751888055e-16;0.5;0.5;-1.1676857397668883e-16
1.0;0.0;2.0;128.0;100.0;0.0;Dict("ΔS" => 0.917873610460819, "Δs" => -0.0, "gS" => 0.3320668527004759);Dict("ΔS" => 0.823114615624565, "Δs" => 2.2597810504757915e-11, "gS" => 0.14128898162935055);26.315092694;44;1.5415728589485145e-15;0.5;0.5;-5.843849709696869e-17
1.0;0.0;2.5;128.0;100.0;0.0;Dict("ΔS" => 1.522804798604568, "Δs" => -0.0, "gS" => 0.26538767527258494);Dict("ΔS" => 0.6399714392513189, "Δs" => 0.0001464155485670627, "gS" => 0.14227214415629685);21.180613267;27;6.529361595126147e-9;0.5;0.5;-1.514291621783348e-16
1.0;0.0;3.0;128.0;100.0;0.0;Dict("ΔS" => 2.0306934822194638, "Δs" => -0.0, "gS" => 0.22094108553062036);Dict("ΔS" => 0.8455212096514231, "Δs" => 0.023201799770728598, "gS" => 0.16754013296566006);15.408598206;19;8.218050646811772e-7;0.5;0.5;-2.3332030751888055e-16
1.0;0.0;3.5;128.0;100.0;0.0;Dict("ΔS" => 2.5013836947962975, "Δs" => -0.0, "gS" => 0.18919449547136977);Dict("ΔS" => 0.5082043003756809, "Δs" => 0.016148984241669023, "gS" => 0.07635995513094462);15.551596916;19;4.6903136825674537e-7;0.5;0.5;0.0
1.0;0.0;4.0;128.0;100.0;0.0;Dict("ΔS" => 2.95272059097541, "Δs" => -0.0, "gS" => 0.16538493475867458);Dict("ΔS" => 0.950312383785068, "Δs" => 0.026094828631085386, "gS" => 0.10750232266737436);15.269621379;19;6.369892138937804e-7;0.5;0.5;1.7222551509932238e-16
1.0;0.0;4.5;128.0;100.0;0.0;Dict("ΔS" => 3.3924386108715257, "Δs" => -0.0, "gS" => 0.1468664159990878);Dict("ΔS" => 0.9800529922499024, "Δs" => 0.09279084676884704, "gS" => 0.08578440722412095);14.230923935;17;1.9397608222419143e-6;0.5;0.5;-5.843849709696869e-17
