t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;4.0;0.0;80.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => -0.0008590745135332789, "gS" => 0.402124441706583);Dict("ΔS" => 0.06281031204293708, "Δs" => 0.9956847209220058, "gS" => 0.009351596610196466);3.194901352;31;5.313017684171481e-9;0.5;0.2587431867149256;-5.843849709696869e-17
1.0;4.0;0.5;80.0;100.0;0.0;Dict("ΔS" => -8.2628064004657e-21, "Δs" => 0.0007751631891841063, "gS" => 0.4021244426604192);Dict("ΔS" => 7.644222658603368e-18, "Δs" => 0.8984296307093674, "gS" => 8.50424031195729e-6);0.394411567;17;-5.843849709696869e-17;0.5;0.2587431867149256;-2.3332030751888055e-16
1.0;4.0;1.0;80.0;100.0;0.0;Dict("ΔS" => -1.6792428179316506e-21, "Δs" => 0.0007899320244903249, "gS" => 0.40212444253332036);Dict("ΔS" => 1.7007525251247006e-17, "Δs" => 0.9155470351479646, "gS" => 8.348802593705074e-6);0.436861869;16;-1.463672932855431e-17;0.5;0.2587431867149256;-1.1676857397668883e-16
1.0;4.0;1.5;80.0;100.0;0.0;Dict("ΔS" => -8.54126848187555e-20, "Δs" => 0.0008049210003218285, "gS" => 0.40212444240187295);Dict("ΔS" => 7.152789107763245e-17, "Δs" => 0.932919588974938, "gS" => 8.669056250631968e-6);0.474043147;16;-2.386981776624492e-16;0.5;0.2587431867149256;0.0
1.0;4.0;2.0;80.0;100.0;0.0;Dict("ΔS" => -9.882333395615922e-20, "Δs" => 0.0008201298669911035, "gS" => 0.40212444226597044);Dict("ΔS" => 7.983923545311629e-17, "Δs" => 0.9505470029046386, "gS" => 9.00019192506818e-6);0.702500392;16;-2.3332030751888055e-16;0.5;0.2587431867149256;-1.1676857397668883e-16
1.0;4.0;2.5;80.0;100.0;0.0;Dict("ΔS" => -3.415183903770136e-19, "Δs" => 0.0008355581469534218, "gS" => 0.40212444212550935);Dict("ΔS" => 2.451154758780301e-17, "Δs" => 0.9684287235636874, "gS" => 9.342473239470905e-6);0.575654705;16;0.0;0.5;0.2587431867149256;0.0
1.0;4.0;3.0;80.0;100.0;0.0;Dict("ΔS" => -7.338121707771861e-19, "Δs" => 0.0008512051236907036, "gS" => 0.4021244419803836);Dict("ΔS" => 1.9149249949656297e-16, "Δs" => 0.9865639206070723, "gS" => 9.696157321492649e-6);0.358690089;16;-5.843849709696869e-17;0.5;0.2587431867149256;-1.8871780630752015e-16
1.0;4.0;3.5;80.0;100.0;0.0;Dict("ΔS" => -4.56083831657894e-18, "Δs" => -0.0007680966273609152, "gS" => 0.40212444272038594);Dict("ΔS" => 1.3432063662900923e-15, "Δs" => 0.8902393309509196, "gS" => 8.348053470719208e-6);0.644257729;17;0.0;0.5;0.2587431867149256;0.0
1.0;4.0;4.0;80.0;100.0;0.0;Dict("ΔS" => -7.140790983148869e-17, "Δs" => -0.0007827589273702817, "gS" => 0.40212444259534974);Dict("ΔS" => 2.7193404112215913e-14, "Δs" => 0.9072332578630719, "gS" => 8.197680589905332e-6);0.662136146;16;-2.3332030751888055e-16;0.5;0.2587431867149256;0.0
1.0;4.0;0.0;80.0;100.0;0.05;Dict("ΔS" => -0.0, "Δs" => -0.0007019546242369672, "gS" => 0.400172193010208);Dict("ΔS" => 5.614934753702939e-15, "Δs" => 0.8463388861009298, "gS" => 0.15348822229749315);0.890228685;8;0.17040905209215435;0.5;0.3046101588437156;0.17041372889239448
