t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;80.0;100.0;0.0;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.2630310081496664, "Δs" => 0.8185123179167335);2.237675366;1.3335001750351336e-7
1.0;4.0;0.0;80.0;100.0;0.05;Dict("ΔS" => -0.0, "Δs" => 0.0);Dict("ΔS" => 0.22708349175696282, "Δs" => 0.7943370765888567);2.82136567;0.1704151893254314
1.0;4.0;0.0;80.0;100.0;0.1;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.5745485290512342, "Δs" => 0.6123579903568598);2.738720443;0.4329404557349365
1.0;4.0;0.0;80.0;100.0;0.15;Dict("ΔS" => -0.0, "Δs" => 0.0);Dict("ΔS" => 0.18513477616674578, "Δs" => 0.8561266088083279);2.486860972;0.7242410300107593
1.0;4.0;0.0;80.0;100.0;0.2;Dict("ΔS" => -0.0, "Δs" => 0.0);Dict("ΔS" => 0.11472948429201008, "Δs" => 0.7318693428370371);2.165701859;1.0641907191598996
1.0;4.0;0.0;80.0;100.0;0.25;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.873565443408884, "Δs" => 0.5014294130597485);2.094228252;1.443560597947224
1.0;4.0;0.0;80.0;100.0;0.3;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.8453660642552366, "Δs" => 0.6141564967664103);2.054657527;1.8545192578522673
1.0;4.0;0.0;80.0;100.0;0.35;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.4589872959533731, "Δs" => 0.6193885912190306);2.662833677;2.324043975273831
1.0;4.0;0.0;80.0;100.0;0.4;Dict("ΔS" => -0.0, "Δs" => 0.0);Dict("ΔS" => 0.33475452780844095, "Δs" => 0.5396242388567548);2.508692579;2.8380778984358805
1.0;4.0;0.0;80.0;100.0;0.45;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.507027277182189, "Δs" => 0.7445594788739769);2.598900386;3.398083278690171
1.0;4.0;0.5;80.0;100.0;0.0;Dict("ΔS" => 0.00019105730639492298, "Δs" => 0.0);Dict("ΔS" => 0.752037180555191, "Δs" => 0.40453716442772125);2.315535875;2.3624919518209705e-7
1.0;4.0;0.5;80.0;100.0;0.05;Dict("ΔS" => 0.0001687227199310475, "Δs" => 0.0);Dict("ΔS" => 0.6767729413775082, "Δs" => 0.09415361002232885);3.310520667;0.1704089109832059
1.0;4.0;0.5;80.0;100.0;0.1;Dict("ΔS" => 0.00017666751878858605, "Δs" => 0.0);Dict("ΔS" => 0.8265212715732354, "Δs" => 0.3386366312043271);3.142401819;0.4329407830438642
1.0;4.0;0.5;80.0;100.0;0.15;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.07008315210525913, "Δs" => 0.8567725386835505);2.558771718;0.7242407626103164
1.0;4.0;0.5;80.0;100.0;0.2;Dict("ΔS" => 0.00021281982033972244, "Δs" => 0.0002202320574569754);Dict("ΔS" => 0.6435994063196467, "Δs" => 0.07635238539052629);2.854111438;1.064191786097957
1.0;4.0;0.5;80.0;100.0;0.25;Dict("ΔS" => 0.0, "Δs" => 0.0);Dict("ΔS" => 0.608689705854232, "Δs" => 0.932427611300088);2.695257272;1.4435610620676567
1.0;4.0;0.5;80.0;100.0;0.3;Dict("ΔS" => 0.0003598589283889434, "Δs" => 0.0004384793102973942);Dict("ΔS" => 0.7624028209466075, "Δs" => 0.2092729089940644);2.856622181;1.854519482540418
1.0;4.0;0.5;80.0;100.0;0.35;Dict("ΔS" => 0.00042402282394657305, "Δs" => 0.0003394950889460714);Dict("ΔS" => 0.8399885002305552, "Δs" => 0.6723418487573581);2.908680781;2.3240439860834137
