t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;80.0;100.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 1.380867781347945);Dict("Δd" => 0.000476837158203125, "ΔS" => 0.000476837158203125, "Δs" => 0.7601753343726703);5.393925045;1.9045039490774018e-7
1.0;4.0;0.0;80.0;100.0;0.05;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 1.3695269741476854);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.7675378527183252);2.032622697;0.3165720240079045
1.0;4.0;0.0;80.0;100.0;0.1;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 1.3329335141344831);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.8260309669818611);2.961783579;0.6379854841467948
1.0;4.0;0.0;80.0;100.0;0.15;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 1.2719927145328263);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.7463797924454063);3.57413524;0.9691855453289273
1.0;4.0;0.0;80.0;100.0;0.2;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 1.187238213294644);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.8792346111388127);3.35503358;1.3156108057675784
1.0;4.0;0.0;80.0;100.0;0.25;Dict("Δd" => 0.0, "ΔS" => -0.0, "Δs" => 1.0788056471859722);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.7498805360726113);3.895274844;1.6828107395287395
1.0;4.0;0.0;80.0;100.0;0.3;Dict("Δd" => 0.0, "ΔS" => -0.0, "Δs" => 0.9478260529122454);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.8934658510934002);4.194158029;2.0773205524167135
1.0;4.0;0.0;80.0;100.0;0.35;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 0.7944083317401269);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.8311466630291919);4.667968379;2.505484431598621
1.0;4.0;0.0;80.0;100.0;0.4;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 0.6178599998601528);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.8080674724537662);5.150926489;2.974254363174998
1.0;4.0;0.0;80.0;100.0;0.45;Dict("Δd" => -0.0, "ΔS" => -0.0, "Δs" => 0.40960074978194505);Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => 0.9892473533125168);5.485951123;3.490366970803553
