t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;256.0;100.0;0.0;Dict("ΔS" => 2.33461693234775e-31, "Δs" => 0.13864393856304694);Dict("ΔS" => 4.6692338646955005e-27, "Δs" => 5545.757542521878);88.06252361;0.0
1.0;4.0;0.0;256.0;100.0;0.05;Dict("ΔS" => 3.3164352693297934e-31, "Δs" => 0.12032171607962408);Dict("ΔS" => 6.632870538659586e-27, "Δs" => 4812.868643184963);278.646181389;0.1931308752864929
1.0;4.0;0.0;256.0;100.0;0.1;Dict("ΔS" => 3.687397479634688e-31, "Δs" => 0.08677886241964809);Dict("ΔS" => 7.374794959269375e-27, "Δs" => 3471.154496785923);283.465016094;0.4331851168301574
1.0;4.0;0.0;256.0;100.0;0.15;Dict("ΔS" => 3.3814572123865173e-31, "Δs" => 0.057332372146989816);Dict("ΔS" => 6.762914424773034e-27, "Δs" => 2293.294885879592);285.995874958;0.7237340970623428
1.0;4.0;0.0;256.0;100.0;0.2;Dict("ΔS" => 1.2709285198796983e-32, "Δs" => 0.03475342270680954);Dict("ΔS" => 2.5418570397593963e-28, "Δs" => 1390.1369082719361);250.157926395;1.0600919296043267
1.0;4.0;0.0;256.0;100.0;0.25;Dict("ΔS" => 2.5170808317453383e-31, "Δs" => 0.014873550426648802);Dict("ΔS" => 5.0341616634906766e-27, "Δs" => 594.9438602763687);249.443357922;1.4398547880731698
1.0;4.0;0.0;256.0;100.0;0.3;Dict("ΔS" => -0.0, "Δs" => -7.164203283389828e-5);Dict("ΔS" => 3.9619518079812975e-21, "Δs" => 0.969102149366371);194.553967784;1.8626617123005893
1.0;4.0;0.0;256.0;100.0;0.35;Dict("ΔS" => 0.0, "Δs" => 6.376854592717618e-5);Dict("ΔS" => 0.5176533688640025, "Δs" => 0.4201144361625217);38.451869215;2.3291863392011374
1.0;4.0;0.0;256.0;100.0;0.4;Dict("ΔS" => 0.0, "Δs" => 4.898610815364556e-7);Dict("ΔS" => 0.7576215145622504, "Δs" => 0.8117237131137486);35.822716252;2.839727262865992
1.0;4.0;0.0;256.0;100.0;0.45;Dict("ΔS" => 0.0, "Δs" => -5.282756678320616e-8);Dict("ΔS" => 0.42526014177952043, "Δs" => 0.5406377589914777);35.582822988;3.3960971902585264
1.0;4.0;0.05;256.0;100.0;0.0;Dict("ΔS" => -1.0121337858819685e-19, "Δs" => 0.13864393856304694);Dict("ΔS" => 5.0293992964962484e-15, "Δs" => 5545.757542521878);91.024155925;0.0
1.0;4.0;0.05;256.0;100.0;0.05;Dict("ΔS" => 0.00018893152604563987, "Δs" => 0.12029635354670198);Dict("ΔS" => 7.557261041825593, "Δs" => 4811.854141868079);273.447026212;0.19315034315520116
1.0;4.0;0.05;256.0;100.0;0.1;Dict("ΔS" => 0.0003226680242042425, "Δs" => 0.08664821818938813);Dict("ΔS" => 12.906720968169692, "Δs" => 3465.928727575527);288.020207473;0.43320310480600055
1.0;4.0;0.05;256.0;100.0;0.15;Dict("ΔS" => 0.0003707645735748483, "Δs" => 0.05699343605219002);Dict("ΔS" => 14.830582942993924, "Δs" => 2279.737442087601);291.201105767;0.7237357678855695
1.0;4.0;0.05;256.0;100.0;0.2;Dict("ΔS" => -0.00033588551011141834, "Δs" => -0.034070286014378885);Dict("ΔS" => 13.435420400416003, "Δs" => 1362.8114401389807);249.613099943;1.0600761196323
1.0;4.0;0.05;256.0;100.0;0.25;Dict("ΔS" => 0.00017860283421623023, "Δs" => 0.012983840173537292);Dict("ΔS" => 7.144188745972588, "Δs" => 519.3591681136481);245.950369214;1.4398193395312564
1.0;4.0;0.05;256.0;100.0;0.3;Dict("ΔS" => -1.2877545984164455e-6, "Δs" => -7.221381072492146e-5);Dict("ΔS" => 0.017479247313228422, "Δs" => 0.9801484850602191);86.736379671;1.8626617123366818
1.0;4.0;0.05;256.0;100.0;0.35;Dict("ΔS" => -1.4839327506703682e-6, "Δs" => -6.709374722804875e-5);Dict("ΔS" => 0.021092605555762266, "Δs" => 0.9350243066261874);63.601099587;2.3291863432250555
1.0;4.0;0.05;256.0;100.0;0.4;Dict("ΔS" => 2.5870191280046844e-6, "Δs" => 4.079299497744022e-5);Dict("ΔS" => 0.46711975677853795, "Δs" => 0.04818151160836574);36.287575368;2.839727262021406
1.0;4.0;0.05;256.0;100.0;0.45;Dict("ΔS" => 2.818259375607738e-6, "Δs" => 3.722955673746642e-6);Dict("ΔS" => 0.7855832343231804, "Δs" => 0.9780989209395876);35.856392408;3.3960971883955677
1.0;4.0;0.1;256.0;100.0;0.0;Dict("ΔS" => -2.0242675717593574e-19, "Δs" => 0.13864393856304694);Dict("ΔS" => 1.0058798593001657e-14, "Δs" => 5545.757542521878);89.653104011;0.0
1.0;4.0;0.1;256.0;100.0;0.05;Dict("ΔS" => 0.00037535006902400156, "Δs" => 0.1202713063394674);Dict("ΔS" => 15.014002760960048, "Δs" => 4810.852253578695);265.612300405;0.1931695400928843
1.0;4.0;0.1;256.0;100.0;0.1;Dict("ΔS" => -0.0006402302981605867, "Δs" => -0.08651918795783668);Dict("ΔS" => 25.609211926423487, "Δs" => 3460.7675183134666);289.987816131;0.43322066607350806
1.0;4.0;0.1;256.0;100.0;0.15;Dict("ΔS" => 0.0007325501600035393, "Δs" => 0.05665846027579853);Dict("ΔS" => 29.30200640014157, "Δs" => 2266.3384110319407);289.759620712;0.7237368322732921
1.0;4.0;0.1;256.0;100.0;0.2;Dict("ΔS" => 0.0006544320176332302, "Δs" => 0.03338911203375887);Dict("ΔS" => 26.17728070524455, "Δs" => 1335.5644813457975);245.098488418;1.0600593465350654
1.0;4.0;0.1;256.0;100.0;0.25;Dict("ΔS" => 0.00028993591103091527, "Δs" => 0.010594127207452871);Dict("ΔS" => 11.591477272480386, "Δs" => 423.54511217571746);248.836477362;1.4397777882251397
1.0;4.0;0.1;256.0;100.0;0.3;Dict("ΔS" => 3.213175284020299e-6, "Δs" => 1.061119211632213e-5);Dict("ΔS" => 0.530846108473729, "Δs" => 0.26164346264815813);39.813198907;1.8626617106648746
1.0;4.0;0.1;256.0;100.0;0.35;Dict("ΔS" => 5.511225723922912e-6, "Δs" => 1.077726111294124e-5);Dict("ΔS" => 0.8627230667174465, "Δs" => 0.6720819820918948);38.360525354;2.329186339796495
1.0;4.0;0.1;256.0;100.0;0.4;Dict("ΔS" => 3.849176327226582e-6, "Δs" => 2.913123485635381e-6);Dict("ΔS" => 0.574315103555702, "Δs" => 0.6207257411152032);40.536698609;2.839727263367526
