t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;256.0;100.0;0.0;Dict("Δd" => 0.0);Dict("Δd" => 0.6302441343167603);5.367633044;0.0
1.0;4.0;0.0;256.0;100.0;0.05;Dict("Δd" => 0.0);Dict("Δd" => 0.504616638877301);67.549139294;0.18025942948991244
1.0;4.0;0.0;256.0;100.0;0.1;Dict("Δd" => 0.0);Dict("Δd" => 0.5346596279491292);75.9166865;0.42685058446989077
1.0;4.0;0.0;256.0;100.0;0.15;Dict("Δd" => 0.0);Dict("Δd" => 0.5079092564453608);80.601381694;0.7212731117231876
1.0;4.0;0.0;256.0;100.0;0.2;Dict("Δd" => 0.0);Dict("Δd" => 0.7590506940325509);32.702460786;1.0591852632547134
1.0;4.0;0.0;256.0;100.0;0.25;Dict("Δd" => 0.0);Dict("Δd" => 0.5260403170523161);69.181621749;1.4396859777890914
1.0;4.0;0.0;256.0;100.0;0.3;Dict("Δd" => 0.0);Dict("Δd" => 0.856804937306808);60.384282632;1.8626617280934092
1.0;4.0;0.0;256.0;100.0;0.35;Dict("Δd" => 0.0);Dict("Δd" => 0.9702665156533868);67.730425032;2.32918635440201
1.0;4.0;0.0;256.0;100.0;0.4;Dict("Δd" => 0.0);Dict("Δd" => 0.5545711329760467);72.540671842;2.839727267580663
1.0;4.0;0.0;256.0;100.0;0.45;Dict("Δd" => 0.0);Dict("Δd" => 0.5741563844438715);71.063503551;3.3960971929024897
1.0;4.0;0.05;256.0;100.0;0.0;Dict("Δd" => 4.656877002570599e-5);Dict("Δd" => 0.9711065351135543);4.725166014;0.0
1.0;4.0;0.05;256.0;100.0;0.05;Dict("Δd" => 3.0045657065609358e-5);Dict("Δd" => 0.9775829125889272);77.716895044;0.18025953053871072
1.0;4.0;0.05;256.0;100.0;0.1;Dict("Δd" => 1.5252616838870346e-5);Dict("Δd" => 0.7148962663271479);91.466779903;0.4268506074115451
1.0;4.0;0.05;256.0;100.0;0.15;Dict("Δd" => 8.854815863871557e-6);Dict("Δd" => 0.5730786849920225);87.681690865;0.7212731178206997
1.0;4.0;0.05;256.0;100.0;0.2;Dict("Δd" => 9.406168071983466e-6);Dict("Δd" => 0.8343623907745397);70.41256584;1.0591852722902075
