t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;0.0;2.0;128.0;10.0;0.0;Dict("Δd" => 1.240646038685637, "ΔS" => 0.00016654686487954857, "Δs" => -0.0);Dict("Δd" => 0.00019368999293334355, "ΔS" => 0.9317409728346314, "Δs" => 2.165750039854124e-9);21.231516925;0.0
1.0;0.0;0.0;128.0;0.1;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.4423601628006144, "ΔS" => 0.18662262972833638, "Δs" => 0.5501917940260084);8.459588513;3.3931468745862503e-12
1.0;0.0;0.0;128.0;1.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.2877736180644687, "ΔS" => 0.7440068795679348, "Δs" => 0.5231894374661761);9.89926492;7.46998799622256e-10
1.0;0.0;2.0;128.0;20.0;0.0;Dict("Δd" => 1.2410680087731993, "ΔS" => 0.00017191434268917942, "Δs" => -0.0);Dict("Δd" => 0.00019395713479752885, "ΔS" => 0.9619663650859238, "Δs" => 5.081133822380208e-9);21.394368059;0.0
1.0;0.0;0.0;128.0;10.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.3961241076893862, "ΔS" => 0.5676435284068544, "Δs" => 0.42444228827342184);11.434171257;1.8890466964120722e-9
1.0;0.0;0.0;128.0;20.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.5899391723037086, "ΔS" => 0.5827739081468233, "Δs" => 0.8039668515611231);10.578319654;4.494051150530712e-9
1.0;0.0;2.0;128.0;40.0;0.0;Dict("Δd" => 1.241117654127092, "ΔS" => 0.00016413750068484104, "Δs" => -0.0);Dict("Δd" => 0.00029994382977349687, "ΔS" => 0.9184751256143431, "Δs" => 4.340258101704854e-8);20.890325371;0.0
1.0;0.0;0.0;128.0;40.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.17440167604114726, "ΔS" => 0.30259434278999936, "Δs" => 0.5829092623779298);11.294418033;1.9365204999462204e-9
1.0;0.0;0.0;128.0;60.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.7989594650849511, "ΔS" => 0.4264565619764999, "Δs" => 0.941223291098196);10.484710964;4.3410882627319125e-9
1.0;0.0;0.0;128.0;80.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.8798961362996266, "ΔS" => 0.5123275868378622, "Δs" => 0.6186529688611769);10.14667708;3.186499766523812e-9
1.0;0.0;0.0;128.0;100.0;0.0;Dict("Δd" => 0.0, "ΔS" => 0.0, "Δs" => -0.0);Dict("Δd" => 0.8191756405777118, "ΔS" => 0.6780296055993528, "Δs" => 0.37888413436159657);9.612840238;2.3627192930007063e-9
1.0;0.0;0.5;128.0;0.1;0.0;Dict("Δd" => 2.27354176333522e-7, "ΔS" => 2.0251709374371334e-6, "Δs" => -0.0);Dict("Δd" => 0.08874367496407837, "ΔS" => 0.7958704034037143, "Δs" => 0.17275888304830428);8.79944332;4.660292984848269e-12
1.0;0.0;0.5;128.0;1.0;0.0;Dict("Δd" => 2.1613713431581998e-5, "ΔS" => 3.323055073992056e-6, "Δs" => -0.0);Dict("Δd" => 0.7056673826348073, "ΔS" => 0.17765179768293018, "Δs" => 0.01716453733723341);13.423823031;6.946006270158733e-12
1.0;0.0;0.5;128.0;10.0;0.0;Dict("Δd" => 0.12377415690189415, "ΔS" => 6.094351219339601e-9, "Δs" => -0.0);Dict("Δd" => 0.987582277365423, "ΔS" => 0.0002451886786772787, "Δs" => 3.832198580379901e-6);16.696905992;0.0
1.0;0.0;0.5;128.0;20.0;0.0;Dict("Δd" => 0.15170049019830342, "ΔS" => 5.183536108883291e-7, "Δs" => -0.0);Dict("Δd" => 0.825022212730675, "ΔS" => 0.02099269878594958, "Δs" => 1.0047573881774054e-5);13.782292738;1.3752020355806138e-15
1.0;0.0;0.5;128.0;40.0;0.0;Dict("Δd" => 0.15375985823958135, "ΔS" => 6.058454893714228e-7, "Δs" => -0.0);Dict("Δd" => 0.7701105059862434, "ΔS" => 0.024549894452280008, "Δs" => 0.0005115875276891527);14.835744021;8.235599702199892e-14
1.0;0.0;0.5;128.0;60.0;0.0;Dict("Δd" => 0.15391511759909113, "ΔS" => 1.8553277185283543e-7, "Δs" => -0.0);Dict("Δd" => 0.867461608622111, "ΔS" => 0.007518420372392752, "Δs" => 0.0018382425273482219);13.939650317;8.906628689783758e-14
1.0;0.0;0.5;128.0;80.0;0.0;Dict("Δd" => 0.15395361706660307, "ΔS" => 8.105037921367104e-8, "Δs" => -0.0);Dict("Δd" => 0.8339535651080698, "ΔS" => 0.003284466473395307, "Δs" => 0.00031462713645902225);14.398851405;6.603008070871219e-15
1.0;0.0;0.5;128.0;100.0;0.0;Dict("Δd" => 0.15398267532774032, "ΔS" => 4.3404203045756317e-7, "Δs" => -0.0);Dict("Δd" => 0.9641524415657243, "ΔS" => 0.01758919951293307, "Δs" => 0.0005316034509396778);13.701598067;5.839859845702122e-14
1.0;0.0;1.0;128.0;0.1;0.0;Dict("Δd" => 2.287159774414989e-6, "ΔS" => 3.824443025772748e-6, "Δs" => -0.0);Dict("Δd" => 0.434940350634865, "ΔS" => 0.7323602788787688, "Δs" => 0.06530220344099073);8.167981712;1.663743795510264e-12
1.0;0.0;1.0;128.0;1.0;0.0;Dict("Δd" => 6.816591315287043e-5, "ΔS" => 2.3575355552011494e-6, "Δs" => -0.0);Dict("Δd" => 0.7719468624648695, "ΔS" => 0.05122969938171614, "Δs" => 4.1469856897973685e-5);16.189821284;6.381180306380685e-15
1.0;0.0;1.0;128.0;10.0;0.0;Dict("Δd" => 0.4795000667834768, "ΔS" => 5.732266781901813e-5, "Δs" => -0.0);Dict("Δd" => 0.19552670705969, "ΔS" => 0.9762218330533212, "Δs" => 0.0008384348941785603);15.064200225;4.5733365011679794e-12
1.0;0.0;1.0;128.0;20.0;0.0;Dict("Δd" => 0.4814237793765229, "ΔS" => 4.6220167355999035e-5, "Δs" => -0.0);Dict("Δd" => 0.1646635132390717, "ΔS" => 0.787695916976631, "Δs" => 9.699913733927184e-5);15.041106947;4.234785265511132e-13
1.0;0.0;1.0;128.0;40.0;0.0;Dict("Δd" => 0.48159805543812767, "ΔS" => 4.4275569425603876e-5, "Δs" => -0.0);Dict("Δd" => 0.537628967095527, "ΔS" => 0.7545824953631355, "Δs" => 0.007125616112082334);13.874034124;2.9666469801570283e-11
