t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;4.0;0.0;256.0;100.0;0.0;Dict("m" => 0.09406491561384525, "w0" => 0.09800465378683106, "wp" => 0.0);Dict("m" => 0.36022882821215574, "w0" => 0.0410945577658528, "wp" => 0.0);0.048746639;0.0
1.0;4.0;0.0;256.0;100.0;0.05;Dict("m" => 0.0015422899914182683, "w0" => 0.10080444922157779, "wp" => 0.0);Dict("m" => 0.9943049310064817, "w0" => 0.0017238171480526976, "wp" => 2.312488337383959e-28);9.672729049;0.18038002862881222
1.0;4.0;0.0;256.0;100.0;0.1;Dict("m" => 7.370326252923213e-5, "w0" => 0.09893856533719259, "wp" => 0.0);Dict("m" => 0.5291224757399208, "w0" => 9.114657223419087e-5, "wp" => 0.0);1.698882139;0.42685087120943277
1.0;4.0;0.0;256.0;100.0;0.15;Dict("m" => 1.9911786713107968e-5, "w0" => 0.09537605687855452, "wp" => 0.0);Dict("m" => 0.29568400728806427, "w0" => 2.5505689088545225e-5, "wp" => 0.0);1.741864696;0.7212731301332869
1.0;4.0;0.0;256.0;100.0;0.2;Dict("m" => 9.296241151840064e-6, "w0" => 0.08983548714433262, "wp" => 0.0);Dict("m" => 0.2296322929816976, "w0" => 1.656157599949637e-5, "wp" => 0.0);1.634047319;1.0591852529042978
1.0;4.0;0.0;256.0;100.0;0.25;Dict("m" => 4.159529731119078e-6, "w0" => 0.08204902813695406, "wp" => 0.0);Dict("m" => 0.15910165363283757, "w0" => 9.30173091329145e-6, "wp" => 0.0);1.49819475;1.4396859740161814
1.0;4.0;0.0;256.0;100.0;0.3;Dict("m" => 2.4111322542861447e-6, "w0" => 0.07175160484888338, "wp" => 0.0);Dict("m" => 0.14079071636361548, "w0" => 9.101375625375496e-6, "wp" => 0.0);1.496689596;1.8626617129512626
1.0;4.0;0.0;256.0;100.0;0.35;Dict("m" => 8.98597469507026e-7, "w0" => 0.058675515157085675, "wp" => 0.0);Dict("m" => 0.08250569792386393, "w0" => 4.220787747089005e-6, "wp" => 0.0);1.477566012;2.329186343371685
1.0;4.0;0.0;256.0;100.0;0.4;Dict("m" => 2.0419709306889404e-7, "w0" => 0.042547520958849144, "wp" => 0.0);Dict("m" => 0.032372381054615894, "w0" => 9.946365259194678e-7, "wp" => 0.0);1.816219051;2.8397272648061294
1.0;4.0;0.0;256.0;100.0;0.45;Dict("m" => 1.23993371091029e-9, "w0" => 0.02308565307043746, "wp" => 0.0);Dict("m" => 0.00044456851486098995, "w0" => 3.847269725021363e-10, "wp" => 0.0);1.518485001;3.396097190846551
0.9904615683916126;4.0;0.1;256.0;100.0;0.0;Dict("m" => 0.11649978725843829, "w0" => 0.0953898034544047, "wp" => 1.3500886656889895e-9);Dict("m" => 0.312245746162676, "w0" => 0.05487370530993241, "wp" => 0.001388337558188239);0.036158186;0.0
0.9900629661951854;4.0;0.1;256.0;100.0;0.05;Dict("m" => 0.050115913564244635, "w0" => 0.09938039330569265, "wp" => 2.1662668059514583e-18);Dict("m" => 0.8905289658855259, "w0" => 0.10055257546645602, "wp" => 2.1364496799901553e-12);1.642829669;0.2994821672331374
0.9901061548778828;4.0;0.1;256.0;100.0;0.1;Dict("m" => 0.0001609149351499695, "w0" => 0.09898052220525382, "wp" => 1.920298237118365e-17);Dict("m" => 0.6571524718817451, "w0" => 0.4207098408123833, "wp" => 1.901679087567115e-11);1.603304595;0.4184003390081277
0.9904624013038812;4.0;0.1;256.0;100.0;0.15;Dict("m" => 4.355874001610937e-5, "w0" => 0.09547566746232963, "wp" => 6.138993428480471e-13);Dict("m" => 0.4510085860652879, "w0" => 0.9968050114186888, "wp" => 6.307187876559574e-7);1.951862169;0.7075091125718003
0.9910164567521367;4.0;0.1;256.0;100.0;0.2;Dict("m" => 1.2571036943917345e-5, "w0" => 0.09001563996694523, "wp" => 1.4985395092909606e-12);Dict("m" => 0.23133915003287267, "w0" => 0.9019297188839204, "wp" => 1.6348138124069927e-6);2.895876439;1.04014902876445
0.9917951015582126;4.0;0.1;256.0;100.0;0.25;Dict("m" => 2.192737977352716e-6, "w0" => 0.0823162696905157, "wp" => 1.6701792529191226e-10);Dict("m" => 0.06464581007134658, "w0" => 0.6709279699082527, "wp" => 0.00019956289508307634);4.450016599;1.4160361417614484
0.9928248430905027;4.0;0.1;256.0;100.0;0.3;Dict("m" => 1.1158154917561679e-6, "w0" => 0.0721029079579834, "wp" => 4.057487790196913e-11);Dict("m" => 0.051282000877407724, "w0" => 0.8837931235637642, "wp" => 5.5464046111795713e-5);4.395419324;1.8358874531746494
0.9941324510125152;4.0;0.1;256.0;100.0;0.35;Dict("m" => 2.795565807731329e-7, "w0" => 0.059082927411986404, "wp" => 9.927432336182026e-11);Dict("m" => 0.02049812917607428, "w0" => 0.5166409139962386, "wp" => 0.00016604675654965305);5.824320702;2.3017633071009778
0.9957452496055716;4.0;0.1;256.0;100.0;0.4;Dict("m" => 7.595826423311637e-8, "w0" => 0.04294989543279894, "wp" => 4.6550690287571454e-11);Dict("m" => 0.009721410115072548, "w0" => 0.5130057692474127, "wp" => 0.00010745705787317724);6.184577974;2.8154601224484463
0.9976914355359775;4.0;0.1;256.0;100.0;0.45;Dict("m" => 2.0670097912449398e-8, "w0" => 0.02337311707756201, "wp" => 6.627855955260021e-11);Dict("m" => 0.006034855335777488, "w0" => 0.7297500325887176, "wp" => 0.00028225006255330054);4.374800641;3.3803435262162935
0.9815623115322643;4.0;0.2;256.0;100.0;0.0;Dict("m" => 0.13570570982891098, "w0" => 0.09219584527803427, "wp" => 2.549356055340011e-11);Dict("m" => 0.30597193697634584, "w0" => 0.0740293935561076, "wp" => 1.3315913574556561e-5);0.035750413;0.0
