t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;256.0;100.0;-0.08;Dict("m" => 0.00021635048918882085, "w0" => 0.09987214022473367, "wp" => 0.0);Dict("m" => 0.9711538282354778, "w0" => 0.00045337477966311823, "wp" => 1.917326914005916e-8);95.229320601
1.0;4.0;0.0;256.0;100.0;-0.07793103448275862;Dict("m" => 0.00023021967835780142, "w0" => 0.09995405542319712, "wp" => 0.0);Dict("m" => 0.9712264957497125, "w0" => 0.0004603456256468963, "wp" => 1.3648753434620438e-8);93.06506523
1.0;4.0;0.0;256.0;100.0;-0.07586206896551724;Dict("m" => 0.00022256806250204854, "w0" => 0.10003303566159054, "wp" => 0.0);Dict("m" => 0.8789028847003998, "w0" => 0.0003843858234486852, "wp" => 9.92947196534021e-9);96.629512968
1.0;4.0;0.0;256.0;100.0;-0.07379310344827586;Dict("m" => 0.0002559265839869354, "w0" => 0.10010933529579764, "wp" => 0.0);Dict("m" => 0.9418896625647439, "w0" => 0.0004523236259157404, "wp" => 5.214495788185498e-10);104.41699569
1.0;4.0;0.0;256.0;100.0;-0.07172413793103448;Dict("m" => 0.0002648834828419327, "w0" => 0.10018326042789863, "wp" => 0.0);Dict("m" => 0.9042153941137443, "w0" => 0.0004294801800308612, "wp" => 1.387329111826646e-10);109.392833687
1.0;4.0;0.0;256.0;100.0;-0.06965517241379311;Dict("m" => 0.0002963221125041572, "w0" => 0.10025471794317063, "wp" => 0.0);Dict("m" => 0.9329254486807423, "w0" => 0.0004739634154593553, "wp" => 7.614383513910666e-11);111.981511761
1.0;4.0;0.0;256.0;100.0;-0.06758620689655173;Dict("m" => 0.00033013800545153793, "w0" => 0.10032340984776118, "wp" => 0.0);Dict("m" => 0.9518300985415041, "w0" => 0.0005151557595783895, "wp" => 5.921205133037062e-12);118.385089545
1.0;4.0;0.0;256.0;100.0;-0.06551724137931035;Dict("m" => 0.0003457904576976517, "w0" => 0.10038929186324137, "wp" => 0.0);Dict("m" => 0.9051654579553242, "w0" => 0.0004906148290406698, "wp" => 2.3427911623103746e-13);124.897616568
1.0;4.0;0.0;256.0;100.0;-0.06344827586206897;Dict("m" => 0.00041089479832732387, "w0" => 0.10045264504117905, "wp" => 0.0);Dict("m" => 0.9668800491859612, "w0" => 0.0005955697200688004, "wp" => 2.1680384536685367e-13);129.270183121
1.0;4.0;0.0;256.0;100.0;-0.06137931034482759;Dict("m" => 0.0004703748844561959, "w0" => 0.10051374541754851, "wp" => 0.0);Dict("m" => 0.9831620264790967, "w0" => 0.0006633532616262539, "wp" => 2.9897458416156697e-12);119.870292103
1.0;4.0;0.0;256.0;100.0;-0.05931034482758621;Dict("m" => 0.0005421609553351688, "w0" => 0.1005724815862044, "wp" => 0.0);Dict("m" => 0.9911055183853084, "w0" => 0.0007376968755301583, "wp" => 3.062825926389672e-16);146.67173525
1.0;4.0;0.0;256.0;100.0;-0.05724137931034483;Dict("m" => 0.0006327568023486067, "w0" => 0.10062855706919648, "wp" => 0.0);Dict("m" => 0.9904339011413841, "w0" => 0.0008232315511225163, "wp" => 4.264644088264668e-18);166.985637136
1.0;4.0;0.0;256.0;100.0;-0.05517241379310345;Dict("m" => 0.0007633045773150749, "w0" => 0.10068188334537347, "wp" => 0.0);Dict("m" => 0.9933412580993057, "w0" => 0.0009525167074531105, "wp" => 6.323207227636981e-19);168.722429013
1.0;4.0;0.0;256.0;100.0;-0.053103448275862074;Dict("m" => 0.0009343467377698874, "w0" => 0.10073273319841372, "wp" => 0.0);Dict("m" => 0.9694997636554324, "w0" => 0.0010882004092271913, "wp" => 7.029731598839902e-23);208.047595787
1.0;4.0;0.0;256.0;100.0;-0.05103448275862069;Dict("m" => 0.0012569027374980469, "w0" => 0.10078123182712691, "wp" => 0.0);Dict("m" => 0.9744750527251227, "w0" => 0.001407533104375025, "wp" => 1.1424708939726744e-27);235.492246425
1.0;4.0;0.0;256.0;100.0;-0.04896551724137931;Dict("m" => 0.0031925237606389265, "w0" => 0.10082338696575766, "wp" => 2.2847085825687518e-31);Dict("m" => 1.6126440304677687, "w0" => 0.005522139344266153, "wp" => 4.569417165137503e-27);230.39461371
1.0;4.0;0.0;256.0;100.0;-0.04689655172413793;Dict("m" => 0.006599938623188259, "w0" => 0.1008505370885918, "wp" => 7.348554758141436e-31);Dict("m" => 1.797294125530013, "w0" => 0.012357201958079767, "wp" => 1.469710951628287e-26);238.65100073
1.0;4.0;0.0;256.0;100.0;-0.04482758620689656;Dict("m" => 0.013839649895581533, "w0" => 0.1008178252310322, "wp" => 4.230251562249542e-31);Dict("m" => 1.4958097177244707, "w0" => 0.021133895313218964, "wp" => 8.460503124499084e-27);229.593251737
1.0;4.0;0.0;256.0;100.0;-0.04275862068965518;Dict("m" => 0.02212840990599724, "w0" => 0.10071027129438545, "wp" => 0.0);Dict("m" => 0.9728262523554798, "w0" => 0.02186092691702779, "wp" => 5.973889971738317e-23);201.291655875
1.0;4.0;0.0;256.0;100.0;-0.0406896551724138;Dict("m" => 0.029524853232641333, "w0" => 0.10056289991704949, "wp" => 0.0);Dict("m" => 0.9849723256430409, "w0" => 0.029508538249428673, "wp" => 2.4540084510603193e-16);158.633795031
1.0;4.0;0.0;256.0;100.0;-0.038620689655172416;Dict("m" => 0.035516809792910865, "w0" => 0.10041433006257894, "wp" => 0.0);Dict("m" => 0.9476754301433049, "w0" => 0.03414250350802783, "wp" => 4.010519097982792e-15);136.656618889
1.0;4.0;0.0;256.0;100.0;-0.036551724137931035;Dict("m" => 0.040736495861237884, "w0" => 0.10026425034052121, "wp" => 0.0);Dict("m" => 0.9922009170779816, "w0" => 0.04099820120700981, "wp" => 3.920673844845747e-9);98.858386901
