t,U,V,Lx,β,δ,v,Q,ΔT,μ
1.0,4.0,0.0,256.0,100.0,0.0,"Dict(""m"" => 0.09410093849666647, ""w0"" => 0.09800054433105447, ""wp"" => 0.0)","Dict(""m"" => 0.795223442276588, ""w0"" => 0.07508819164156466, ""wp"" => 5.292461155684348e-5)",6.658108059,0.0
1.0,4.0,0.0,256.0,100.0,0.05,"Dict(""m"" => 0.0019147163055437638, ""w0"" => 0.10080375629674608, ""wp"" => 7.39996267962867e-31)","Dict(""m"" => 1.1970957744798782, ""w0"" => 0.0024963348352335935, ""wp"" => 1.4799925359257338e-26)",232.318386155,0.18042345868374
1.0,4.0,0.0,256.0,100.0,0.1,"Dict(""m"" => 0.0001266155101032242, ""w0"" => 0.09893855622253536, ""wp"" => 0.0)","Dict(""m"" => 0.9089851678669705, ""w0"" => 0.0004025878022617668, ""wp"" => 1.8687422611652507e-6)",74.34125832,0.42685087120943255
1.0,4.0,0.0,256.0,100.0,0.15,"Dict(""m"" => 4.9480187441914394e-5, ""w0"" => 0.09537605432798561, ""wp"" => 0.0)","Dict(""m"" => 0.7347658893857417, ""w0"" => 0.0001783045135150818, ""wp"" => 0.0002146277319060934)",57.021113217,0.7212731301332869
1.0,4.0,0.0,256.0,100.0,0.2,"Dict(""m"" => 3.2259470450009824e-5, ""w0"" => 0.08983548548817502, ""wp"" => 0.0)","Dict(""m"" => 0.7968614820013248, ""w0"" => 0.0028469944025888427, ""wp"" => 0.012222817652570389)",41.530292447,1.0591852529042978
1.0,4.0,0.0,256.0,100.0,0.25,"Dict(""m"" => 2.0069695094402833e-5, ""w0"" => 0.08204902720678096, ""wp"" => 0.0)","Dict(""m"" => 0.7676641225082953, ""w0"" => 0.0017953767185441283, ""wp"" => 0.06645129982487177)",37.302442028,1.4396859740161805
1.0,4.0,0.0,256.0,100.0,0.3,"Dict(""m"" => 1.6490203890647692e-5, ""w0"" => 0.07175160393874581, ""wp"" => 0.0)","Dict(""m"" => 0.9628951942815119, ""w0"" => 0.015432910590029714, ""wp"" => 0.033539099443878104)",35.15052602,1.8626617129512626
1.0,4.0,0.0,256.0,100.0,0.35,"Dict(""m"" => 9.14916726189342e-6, ""w0"" => 0.0586755147350069, ""wp"" => 0.0)","Dict(""m"" => 0.8400406885264328, ""w0"" => 0.12081829342612538, ""wp"" => 0.26943180705921876)",34.613764325,2.3291863433716853
1.0,4.0,0.0,256.0,100.0,0.4,"Dict(""m"" => 3.4414351985304834e-6, ""w0"" => 0.04254752085938549, ""wp"" => 0.0)","Dict(""m"" => 0.5455878447387935, ""w0"" => 0.0071184560063858315, ""wp"" => 0.6480544813507884)",30.418459178,2.8397272648061294
1.0,4.0,0.0,256.0,100.0,0.45,"Dict(""m"" => 4.5696785197009285e-8, ""w0"" => 0.023085653070398986, ""wp"" => 0.0)","Dict(""m"" => 0.016384224213145098, ""w0"" => 0.13295343223879846, ""wp"" => 0.5920270886652014)",31.660062158,3.396097190846552
1.0,4.0,0.1,256.0,100.0,0.0,"Dict(""m"" => 0.11653101183305456, ""w0"" => 0.09538431608387371, ""wp"" => 1.401838444845129e-7)","Dict(""m"" => 0.7726630094556652, ""w0"" => 0.087445924941143, ""wp"" => 0.14416384651982428)",4.418472513,0.0
1.0,4.0,0.1,256.0,100.0,0.05,"Dict(""m"" => 0.05002686066765608, ""w0"" => 0.099370338048146, ""wp"" => 2.15811234804967e-16)","Dict(""m"" => 0.9698649850533453, ""w0"" => 0.0593500064564878, ""wp"" => 2.128626308134653e-10)",108.983102825,0.30050316832547314
1.0,4.0,0.1,256.0,100.0,0.1,"Dict(""m"" => 0.000226630182338144, ""w0"" => 0.09893845122117258, ""wp"" => 1.9208820699382986e-15)","Dict(""m"" => 0.9459843003826898, ""w0"" => 0.0005303606655238102, ""wp"" => 1.9030743229658804e-9)",98.528293474,0.4226260794600155
1.0,4.0,0.1,256.0,100.0,0.15,"Dict(""m"" => 8.865959862263816e-5, ""w0"" => 0.09537598696118776, ""wp"" => 6.368577810844379e-11)","Dict(""m"" => 0.9318553953288773, ""w0"" => 0.0004882031040542856, ""wp"" => 6.549967305322354e-5)",63.040590403,0.7143911010470833
1.0,4.0,0.1,256.0,100.0,0.2,"Dict(""m"" => 5.28149325217199e-5, ""w0"" => 0.08983543247863278, ""wp"" => 3.2698974622903077e-10)","Dict(""m"" => 0.9854299784637366, ""w0"" => 0.003334502740454104, ""wp"" => 0.0003574477188109236)",45.776677218,1.0496719338472573
1.0,4.0,0.1,256.0,100.0,0.25,"Dict(""m"" => 2.2046978205209138e-5, ""w0"" => 0.08204898441787357, ""wp"" => 7.917354545196132e-8)","Dict(""m"" => 0.6587265972174762, ""w0"" => 0.05581824520220491, ""wp"" => 0.09491204357778903)",28.520730901,1.4278754805356542
1.0,4.0,0.1,256.0,100.0,0.3,"Dict(""m"" => 1.797710955507261e-5, ""w0"" => 0.07175156909497324, ""wp"" => 2.202682488929394e-8)","Dict(""m"" => 0.8374506825255223, ""w0"" => 0.029929717278026624, ""wp"" => 0.030258190477190677)",37.657056209,1.8492990857396325
1.0,4.0,0.1,256.0,100.0,0.35,"Dict(""m"" => 1.3263663746757645e-5, ""w0"" => 0.05867548987484777, ""wp"" => 1.3127710801625876e-7)","Dict(""m"" => 0.9861359658677024, ""w0"" => 0.17166527543105436, ""wp"" => 0.22110822289056262)",34.919841881,2.315516233105016
1.0,4.0,0.1,256.0,100.0,0.4,"Dict(""m"" => 6.797341555221425e-6, ""w0"" => 0.04254750394428337, ""wp"" => 8.523044836756423e-8)","Dict(""m"" => 0.8826213720636112, ""w0"" => 0.10666992348896953, ""wp"" => 0.19861350502570627)",32.706778052,2.827643539180971
1.0,4.0,0.1,256.0,100.0,0.45,"Dict(""m"" => 2.3391412549361956e-6, ""w0"" => 0.023085644640225427, ""wp"" => 1.126368080917225e-7)","Dict(""m"" => 0.6933420975489206, ""w0"" => 0.16867554040098792, ""wp"" => 0.4856548785326872)",31.616163777,3.388256780142174
1.0,4.0,0.2,256.0,100.0,0.0,"Dict(""m"" => 0.1357363070226086, ""w0"" => 0.09218844233867866, ""wp"" => 1.3570849180090563e-9)","Dict(""m"" => 0.8326799884952885, ""w0"" => 0.1615295114155979, ""wp"" => 0.0007088992129336194)",6.879059359,0.0
1.0,4.0,0.2,256.0,100.0,0.05,"Dict(""m"" => 0.08039441553293823, ""w0"" => 0.09673831917050857, ""wp"" => 3.3268050263049663e-12)","Dict(""m"" => 0.9487574286949629, ""w0"" => 0.10966093049930015, ""wp"" => 1.6529543512626533e-6)",77.354268697,0.4867720821743945
