t,U,V,Lx,β,δ,v,Q,ΔT,μ
1.0,0.0,0.0,128,100.0,0.2,"Dict(""m"" => 0.0, ""w0"" => 0.08983417489380356, ""wp"" => 0.0)","Dict(""m"" => 0.2613974991505471, ""w0"" => 0.29406315468896715, ""wp"" => 0.5917318892453606)",7.812621678,1.0579579596316204
1.0,0.0,0.1,128,100.0,0.2,"Dict(""m"" => 5.340171820649539e-6, ""w0"" => 0.08983412835061001, ""wp"" => 1.5847859070941616e-7)","Dict(""m"" => 0.8647747507070831, ""w0"" => 0.0006001707399116984, ""wp"" => 0.17324288364153612)",8.210786465,1.0484689857488796
1.0,0.0,0.2,128,100.0,0.2,"Dict(""m"" => 1.00603232448152e-5, ""w0"" => 0.08983408048358243, ""wp"" => 4.100314098845607e-7)","Dict(""m"" => 0.7564289003045935, ""w0"" => 0.0032888732577618374, ""wp"" => 0.220015342093407)",7.803400778,1.0389799239519633
1.0,0.0,0.3,128,100.0,0.2,"Dict(""m"" => 1.9761966521698978e-5, ""w0"" => 0.0898340309437671, ""wp"" => 5.587549634677574e-7)","Dict(""m"" => 0.9144491996750773, ""w0"" => 0.015450356375956709, ""wp"" => 0.19615342223070548)",9.399177332,1.029490772046394
1.0,0.0,0.4,128,100.0,0.2,"Dict(""m"" => 3.1315035909748896e-5, ""w0"" => 0.08983397954552706, ""wp"" => 6.173280047115848e-8)","Dict(""m"" => 0.9962925729467961, ""w0"" => 0.007811377377292539, ""wp"" => 0.015945029643694545)",9.716377473,1.0200015291149427
1.0,0.0,0.5,128,100.0,0.2,"Dict(""m"" => 2.2085120203459697e-5, ""w0"" => 0.08983392827304587, ""wp"" => 3.6260172505090886e-6)","Dict(""m"" => 0.5110195399112843, ""w0"" => 0.9774115450786325, ""wp"" => 0.7347114246909842)",8.150273853,1.0105121833225965
1.0,0.0,0.6,128,100.0,0.2,"Dict(""m"" => 5.098340591016512e-5, ""w0"" => 0.08983387174504451, ""wp"" => 2.9375059921560996e-7)","Dict(""m"" => 0.8849240602073329, ""w0"" => 0.007046757912743118, ""wp"" => 0.04862382186496888)",10.865000856,1.0010227664145779
1.0,0.0,0.7,128,100.0,0.2,"Dict(""m"" => 6.042038957568633e-5, ""w0"" => 0.08983381519916683, ""wp"" => 2.2941353982179572e-8)","Dict(""m"" => 0.799134586295622, ""w0"" => 0.00025485273807968056, ""wp"" => 0.003189394176872269)",14.349414991,0.991533247035559
1.0,0.0,0.8,128,100.0,0.2,"Dict(""m"" => 7.716206338601251e-5, ""w0"" => 0.08983375491249425, ""wp"" => 2.2043813365350334e-9)","Dict(""m"" => 0.7815041308880527, ""w0"" => 0.0007145928490603914, ""wp"" => 0.0002626430482673981)",16.711481383,0.9820436614238344
1.0,0.0,0.9,128,100.0,0.2,"Dict(""m"" => 0.0001036128101319077, ""w0"" => 0.08983368869666442, ""wp"" => 1.768990793213481e-10)","Dict(""m"" => 0.7997265396827452, ""w0"" => 0.0006419147760561295, ""wp"" => 1.834184398751575e-5)",18.618719951,0.9725540659359729
