t,U,V,Lx,β,δ,v,Q,ΔT,μ
1.0,4.0,0.0,128,100.0,0.0,"Dict(""m"" => 0.09405949445831044, ""w0"" => 0.09800229161631899, ""wp"" => 0.0)","Dict(""m"" => 0.8715753608495858, ""w0"" => 0.08210347855641675, ""wp"" => 0.00010909799915141323)",1.649969353,0.0
1.0,4.0,0.0,128,100.0,0.01,"Dict(""m"" => 0.08259643350320332, ""w0"" => 0.0985682706810937, ""wp"" => 0.0)","Dict(""m"" => 0.884217907356627, ""w0"" => 0.07216987462602131, ""wp"" => 0.0003558795868299903)",14.239337,0.32570295096223834
1.0,4.0,0.0,128,100.0,0.02,"Dict(""m"" => 0.06966819014936546, ""w0"" => 0.09916423473429024, ""wp"" => 0.0)","Dict(""m"" => 0.8882559851239313, ""w0"" => 0.06229128122495209, ""wp"" => 1.372981244400864e-5)",17.154386087,0.287275689757478
1.0,4.0,0.0,128,100.0,0.03,"Dict(""m"" => 0.05404815217331897, ""w0"" => 0.09980719974543359, ""wp"" => 0.0)","Dict(""m"" => 0.9400113223534401, ""w0"" => 0.051362760431217236, ""wp"" => 5.899576590021563e-9)",24.737308508,0.24053882169497098
1.0,4.0,0.0,128,100.0,0.04,"Dict(""m"" => 0.03139446124210685, ""w0"" => 0.10052302239203065, ""wp"" => 0.0)","Dict(""m"" => 0.9626585297298207, ""w0"" => 0.030683902463163326, ""wp"" => 3.3548385063692267e-16)",38.561144902,0.18741442729418947
1.0,4.0,0.0,128,100.0,0.05,"Dict(""m"" => 0.0020688918329349708, ""w0"" => 0.10080094238851633, ""wp"" => 3.0727889788116473e-31)","Dict(""m"" => 1.270683414628347, ""w0"" => 0.0028576219013309867, ""wp"" => 6.145577957623294e-27)",57.772625938,0.18129340150211615
1.0,4.0,0.0,128,100.0,0.06,"Dict(""m"" => 0.0005106224624198181, ""w0"" => 0.1005549375428477, ""wp"" => 0.0)","Dict(""m"" => 0.9813823531078301, ""w0"" => 0.0006990008613594334, ""wp"" => 9.089549140803546e-16)",34.328687868,0.2237681053507218
1.0,4.0,0.0,128,100.0,0.07,"Dict(""m"" => 0.00027824662891250476, ""w0"" => 0.10024113724001948, ""wp"" => 0.0)","Dict(""m"" => 0.8866279218249514, ""w0"" => 0.0004255758936921872, ""wp"" => 8.881539166535418e-11)",23.862216233,0.27408179795491294
1.0,4.0,0.0,128,100.0,0.08,"Dict(""m"" => 0.00021369929150595227, ""w0"" => 0.09987353552103707, ""wp"" => 0.0)","Dict(""m"" => 0.9601057566554143, ""w0"" => 0.00044304140814355186, ""wp"" => 3.596605971481732e-8)",22.59056834,0.32068904790398245
1.0,4.0,0.0,128,100.0,0.09,"Dict(""m"" => 0.00014638162442756573, ""w0"" => 0.09943644483265453, ""wp"" => 0.0)","Dict(""m"" => 0.8505066684806386, ""w0"" => 0.0003404773631088265, ""wp"" => 1.2284211899363986e-7)",20.871133115,0.3746394144932155
