t,U,V,Lx,β,δ,v,Q,ΔT,μ
1.0,4.0,0.0,256.0,100.0,0.0,"Dict(""m"" => 0.094105457438521, ""w0"" => 0.0980001187164221, ""wp"" => 0.0)","Dict(""m"" => 0.8323810375954199, ""w0"" => 0.0786126075262572, ""wp"" => 1.0488848767348807e-5)",7.061617425,0.0
1.0,4.0,0.0,256.0,100.0,0.05,"Dict(""m"" => 0.002038383583462488, ""w0"" => 0.10080349417661058, ""wp"" => 5.3651135583016265e-31)","Dict(""m"" => 1.274982758917545, ""w0"" => 0.0028305970140030112, ""wp"" => 1.0730227116603253e-26)",217.470245701,0.1520014980960609
1.0,4.0,0.0,256.0,100.0,0.1,"Dict(""m"" => 0.00013716171437222556, ""w0"" => 0.09893855383034245, ""wp"" => 0.0)","Dict(""m"" => 0.9846976354565189, ""w0"" => 0.0004787103774495094, ""wp"" => 6.911025782175382e-6)",67.536330286,0.3593104728453484
1.0,4.0,0.0,256.0,100.0,0.15,"Dict(""m"" => 6.402357072752719e-5, ""w0"" => 0.09537605227599313, ""wp"" => 0.0)","Dict(""m"" => 0.9507308354898772, ""w0"" => 0.05369794347453993, ""wp"" => 0.0396716022185539)",40.729858797,0.6070855540594267
1.0,4.0,0.0,256.0,100.0,0.2,"Dict(""m"" => 3.453382780620664e-5, ""w0"" => 0.08983548522452398, ""wp"" => 0.0)","Dict(""m"" => 0.8530418204945338, ""w0"" => 0.005211133048133032, ""wp"" => 0.003506660078181304)",39.118835592,0.8915227903898078
1.0,4.0,0.0,256.0,100.0,0.25,"Dict(""m"" => 5.540569439890314e-6, ""w0"" => 0.08204902810462952, ""wp"" => 0.0)","Dict(""m"" => 0.2119263035842483, ""w0"" => 0.12904622417181377, ""wp"" => 0.5077254984612772)",28.481989014,1.211743208915256
1.0,4.0,0.0,256.0,100.0,0.3,"Dict(""m"" => 1.1761489622054909e-5, ""w0"" => 0.0717516043956532, ""wp"" => 0.0)","Dict(""m"" => 0.6867763314325206, ""w0"" => 0.10860887877134351, ""wp"" => 0.44999094678456497)",29.228545469,1.5677125151585987
1.0,4.0,0.0,256.0,100.0,0.35,"Dict(""m"" => 6.216607063306527e-6, ""w0"" => 0.05867551496443227, ""wp"" => 0.0)","Dict(""m"" => 0.5707844991078583, ""w0"" => 0.031163426235034097, ""wp"" => 0.0020322296238218557)",34.508969828,1.960201483003445
1.0,4.0,0.0,256.0,100.0,0.4,"Dict(""m"" => 3.540905638729218e-6, ""w0"" => 0.0425475208535321, ""wp"" => 0.0)","Dict(""m"" => 0.5613573886198201, ""w0"" => 0.2506326710480927, ""wp"" => 0.4945620704546085)",28.044109962,2.389880732017378
1.0,4.0,0.0,256.0,100.0,0.45,"Dict(""m"" => 1.8452975808714985e-6, ""w0"" => 0.02308565300767944, ""wp"" => 0.0)","Dict(""m"" => 0.6616169881488669, ""w0"" => 0.8121514288216349, ""wp"" => 0.3235966113393573)",27.860697138,2.85812043183266
1.0,4.0,0.1,256.0,100.0,0.0,"Dict(""m"" => 0.11539825525532903, ""w0"" => 0.09554281221016087, ""wp"" => 2.1476758558973425e-9)","Dict(""m"" => 0.7718199257296388, ""w0"" => 0.10507731788969576, ""wp"" => 0.00222639077455615)",5.887212528,0.0
1.0,4.0,0.1,256.0,100.0,0.05,"Dict(""m"" => 0.04876030813832497, ""w0"" => 0.09946169787014544, ""wp"" => 1.9969981736182685e-16)","Dict(""m"" => 0.9741126237351044, ""w0"" => 0.05754368692045819, ""wp"" => 1.9878362556211193e-10)",103.490717412,0.28101654116908986
1.0,4.0,0.1,256.0,100.0,0.1,"Dict(""m"" => 0.00021016811882866807, ""w0"" => 0.09898019788726928, ""wp"" => 3.867789257503125e-15)","Dict(""m"" => 0.8880864390744172, ""w0"" => 0.0004617615922963836, ""wp"" => 3.8689615545679535e-9)",94.275913723,0.3593114725435738
1.0,4.0,0.1,256.0,100.0,0.15,"Dict(""m"" => 8.087965172517527e-5, ""w0"" => 0.09547492287784837, ""wp"" => 6.768795341266635e-11)","Dict(""m"" => 0.8533941604597772, ""w0"" => 0.0005383577617035229, ""wp"" => 7.02191750238506e-5)",60.433923244,0.6070856242272298
1.0,4.0,0.1,256.0,100.0,0.2,"Dict(""m"" => 4.8705290956449704e-5, ""w0"" => 0.09001437193408832, ""wp"" => 8.915982313742697e-9)","Dict(""m"" => 0.9089370496356217, ""w0"" => 0.0012998665926966524, ""wp"" => 0.009815905470515114)",40.770092607,0.8915228103535443
