x;y;zs;zS
-5.0;-5.0;4.775649094173169;-8.035296290618817
-5.0;-4.5;4.7469816611750595;-7.986566544034609
-5.0;-4.0;4.712617677008893;-7.928103520331061
-5.0;-3.5;4.670999140431901;-7.857231737933624
-5.0;-3.0;4.620022850298314;-7.770334965981568
-5.0;-2.5;4.556809922000007;-7.662456793166363
-5.0;-2.0;4.477364811437249;-7.526709071034223
-5.0;-1.5;4.376070053512162;-7.35339464643559
-5.0;-1.0;4.244945096969788;-7.12872030577933
-5.0;-0.5;4.072595359190966;-6.832974088434051
-5.0;0.0;3.8428470489939515;-6.438169165929324
-5.0;0.5;3.5333596609925664;-5.9056927029403115
-5.0;1.0;3.1153643943862246;-5.186034068769008
-5.0;1.5;2.5574468496193843;-4.225800223525956
-5.0;2.0;1.8379994860733135;-2.9900762402352257
-5.0;2.5;0.967300067442656;-1.5010834468800882
-5.0;3.0;0.005025468194852879;0.13321231160883032
-5.0;3.5;-0.9520550242067491;1.7444832729511006
-5.0;4.0;-1.8121697618789379;3.1790890189283987
-5.0;4.5;-2.52401705153218;4.3565048695300135
-5.0;5.0;-3.0805352078118355;5.271124934709643
-4.5;-5.0;4.759150754788787;-8.00766182308519
-4.5;-4.5;4.727264851252871;-7.953512067841223
-4.5;-4.0;4.6888181457906555;-7.888165888053215
-4.5;-3.5;4.64195543028719;-7.8084420723304575
-4.5;-3.0;4.584152497261946;-7.710007011310424
-4.5;-2.5;4.5119267749068825;-7.586874217121094
-4.5;-2.0;4.420408427850405;-7.430661804045373
-4.5;-1.5;4.302707132887146;-7.229495639765011
-4.5;-1.0;4.148996749664569;-6.966424389603228
-4.5;-0.5;3.9452664373112887;-6.617262298891079
-4.5;0.0;3.671854556785481;-6.148078957003017
-4.5;0.5;3.3024419184247753;-5.51355883616335
-4.5;1.0;2.8055515807762923;-4.659887308230944
-4.5;1.5;2.1527235673892937;-3.5395019700801673
-4.5;2.0;1.3373275974328012;-2.14431191042016
-4.5;2.5;0.3977528349057943;-0.5452415566212769
-4.5;3.0;-0.5791857256549026;1.1050401294003989
-4.5;3.5;-1.4917070956001968;2.6334170533316925
-4.5;4.0;-2.2682559631499832;3.9235164878415034
-4.5;4.5;-2.8855147073574052;4.94227187524101
-4.5;5.0;-3.3561190958951066;5.715502232434844
-4.0;-5.0;4.740801377861139;-7.976959260925747
-4.0;-4.5;4.705208893326988;-7.916575980384662
-4.0;-4.0;4.6620264026129385;-7.843256728443732
-4.0;-3.5;4.609033819437314;-7.753200601616893
-4.0;-3.0;4.5431863756461635;-7.641188726826175
-4.0;-2.5;4.460250531353171;-7.4999558736780925
-4.0;-2.0;4.354264745902721;-7.3192590582434995
-4.0;-1.5;4.216750442667431;-7.08451433370956
-4.0;-1.0;4.035600386754312;-6.7748782013757065
-4.0;-0.5;3.7936578389898825;-6.3608059605849725
-4.0;0.0;3.4673460555592595;-5.801737995303993
-4.0;0.5;3.026680396357297;-5.046291536737158
-4.0;1.0;2.439936667155314;-4.040740699521787
-4.0;1.5;1.6878760689755026;-2.7542442649862804
-4.0;2.0;0.7875673654829165;-1.2201504217144572
-4.0;2.5;-0.19146768235167116;0.4380340049279297
-4.0;3.0;-1.1457164532922015;2.042168828712277
-4.0;3.5;-1.9851529177335683;3.442536939391595
-4.0;4.0;-2.666776043114644;4.572213289974765
-4.0;4.5;-3.1921407452988775;5.4388007021985025
-4.0;5.0;-3.586276879256963;6.087056416479895
-3.5;-5.0;4.720319858262859;-7.942728037532971
-3.5;-4.5;4.680439320013795;-7.87514389269886
-3.5;-4.0;4.631736907027323;-7.792545367192556
-3.5;-3.5;4.57154240528216;-7.690368649957597
-3.5;-3.0;4.496164591306392;-7.562297839232768
-3.5;-2.5;4.400432711771686;-7.399475363559538
-3.5;-2.0;4.277020623444866;-7.189337433062222
-3.5;-1.5;4.115474413406293;-6.913938788176287
-3.5;-1.0;3.900900867240166;-6.5476975729979365
-3.5;-0.5;3.612475559631929;-6.054849928071487
-3.5;0.0;3.2225770497450714;-5.38805064120386
-3.5;0.5;2.6988896490202747;-4.49225658371669
-3.5;1.0;2.014040604504759;-3.321855834918967
-3.5;1.5;1.166494668646504;-1.8771645688767233
-3.5;2.0;0.20407742525389128;-0.2441865042961985
-3.5;2.5;-0.7773174279088345;1.4105898472535445
-3.5;3.0;-1.6742971962269737;2.9126017950878094
-3.5;3.5;-2.422254240029583;4.157181033048618
-3.5;4.0;-3.0074169733769462;5.12616034832417
-3.5;4.5;-3.4490501872178587;5.855162192147217
-3.5;5.0;-3.777653538758135;6.396664747894381
-3.0;-5.0;4.697371116369744;-7.904420275021485
-3.0;-4.5;4.652506227498626;-7.828479193527991
-3.0;-4.0;4.597337332076029;-7.735027830474065
-3.0;-3.5;4.528636333730862;-7.618558913287856
-3.0;-3.0;4.441906124161889;-7.471392063337402
-3.0;-2.5;4.330803761822889;-7.2826828659569856
-3.0;-2.0;4.1862992738104685;-7.036977162190463
-3.0;-1.5;3.9955005047956305;-6.71219257792428
-3.0;-1.0;3.740182549577206;-6.277101167570348
-3.0;-0.5;3.3954691862956823;-5.689107935623616
-3.0;0.0;2.9302251582510257;-4.895070948634632
-3.0;0.5;2.312835630433954;-3.8415893306144278
-3.0;1.0;1.5274596065185075;-2.5034681310783697
-3.0;1.5;0.5993777178614764;-0.9272734943074992
-3.0;2.0;-0.3915087746389403;0.7473292004508507
-3.0;2.5;-1.3365749514371976;2.335032903041519
-3.0;3.0;-2.150328424328775;3.69415776579801
-3.0;3.5;-2.7996065967607575;4.773388129373628
-3.0;4.0;-3.2941695083877165;5.592715752381378
-3.0;4.5;-3.66291735257788;6.2024098916441694
-3.0;5.0;-3.936744094758269;6.654737595176206
-2.5;-5.0;4.6715536027977915;-7.861380852845825
-2.5;-4.5;4.620866094045585;-7.7756939990243135
-2.5;-4.0;4.558081872419606;-7.6694841268264815
-2.5;-3.5;4.479278433246558;-7.536072364910487
-2.5;-3.0;4.378950986213002;-7.366076299620133
-2.5;-2.5;4.249289750442599;-7.1461714866056045
-2.5;-2.0;4.079146663324484;-6.857320295439658
-2.5;-1.5;3.852662629515266;-6.472421524507315
-2.5;-1.0;3.5477711838177455;-5.953763271166151
-2.5;-0.5;3.1355496368687015;-5.251981859393285
-2.5;0.0;2.583109929778313;-4.311224896422848
-2.5;0.5;1.8649844876390234;-3.089083394224463
-2.5;1.0;0.986149580806311;-1.5963942402345275
-2.5;1.5;0.004949288633889075;0.06426413981589542
-2.5;2.0;-0.9745508631164026;1.7141476884945979
-2.5;2.5;-1.8501676362011925;3.1814989836055507
-2.5;3.0;-2.566478732439266;4.3764586559759495
-2.5;3.5;-3.1193373655448555;5.295637016717299
-2.5;4.0;-3.533415650128216;5.98259613768322
-2.5;4.5;-3.840635043427205;6.491677027260721
-2.5;5.0;-4.069346362148753;6.870478256569026
-2.0;-5.0;4.64238345442048;-7.812822216192642
-2.0;-4.5;4.584858595432206;-7.715712230869926
-2.0;-4.0;4.513057094315927;-7.5944237791896265
-2.0;-3.5;4.422188904229169;-7.4408179073170615
-2.0;-3.0;4.305487002323746;-7.2433856149747164
-2.0;-2.5;4.153309721480296;-6.985713314672202
-2.0;-2.0;3.951900677447879;-6.644362672901959
-2.0;-1.5;3.6818804056228616;-6.186296147820802
-2.0;-1.0;3.3170318299986623;-5.566827599408474
-2.0;-0.5;2.8252163889289754;-4.73128918955344
-2.0;0.0;2.17553645620492;-3.6275348893367654
-2.0;0.5;1.3568317419311902;-2.23794160628903
-2.0;1.0;0.4040223099369047;-0.6243554681048796
-2.0;1.5;-0.592712402746531;1.0577284889624585
-2.0;2.0;-1.5221427422041443;2.619681716211696
-2.0;2.5;-2.30615236956235;3.9319408798819206
-2.0;3.0;-2.9221633300432996;4.959662595146074
-2.0;3.5;-3.3870657954742245;5.7335391500252495
-2.0;4.0;-3.732296882874;6.307427173231829
-2.0;4.5;-3.9885454026170057;6.733093554870052
-2.0;5.0;-4.180367242415875;7.051648106346123
-1.5;-5.0;4.609274309331472;-7.757792391125637
-1.5;-4.5;4.543676938377383;-7.6472225354833565
-1.5;-4.0;4.461138198534514;-7.508016313899186
-1.5;-3.5;4.355781251693005;-7.33021043177894
-1.5;-3.0;4.219258307254051;-7.099639584984629
-1.5;-2.5;4.0396533630926825;-6.796064984320709
-1.5;-2.0;3.800053762175226;-6.3907373279113635
-1.5;-1.5;3.4770836678262858;-5.843900021227199
-1.5;-1.0;3.0405790038941136;-5.104267952820985
-1.5;-0.5;2.4575011993802236;-4.115822584175954
-1.5;0.0;1.7053651100470943;-2.840976101078803
-1.5;0.5;0.7972182841047104;-1.303378593174
-1.5;1.0;-0.19743833006725273;0.3769943582884483
-1.5;1.5;-1.1682420948772767;2.012068325650382
-1.5;2.0;-2.0174278714314102;3.4375942326421907
-1.5;2.5;-2.700301778617077;4.580589378009151
-1.5;3.0;-3.2215926343267203;5.4512014911870965
-1.5;3.5;-3.6099284510927205;6.098806110213753
-1.5;4.0;-3.897661468901922;6.57821326868371
-1.5;4.5;-4.11211229916434;6.935349491885352
-1.5;5.0;-4.273834173861716;7.204616511133643
-1.0;-5.0;4.571511486663778;-7.695134215932966
-1.0;-4.5;4.496329819595715;-7.568618129938969
-1.0;-4.0;4.400933093838831;-7.408002699354521
-1.0;-3.5;4.278081413871561;-7.201042614167327
-1.0;-3.0;4.117453703842156;-6.93026526894117
-1.0;-2.5;3.9043440472204076;-6.570751040106119
-1.0;-2.0;3.6181368845675093;-6.087533866537839
-1.0;-1.5;3.231273250547819;-5.433839088324382
-1.0;-1.0;2.7108812171098244;-4.553882056011961
-1.0;-0.5;2.0276293645797407;-3.39804316796674
-1.0;0.0;1.1765527337071748;-1.9585117346379715
-1.0;0.5;0.20340919395375323;-0.3141164052843043
-1.0;1.0;-0.7923788848264813;1.3654807768528652
-1.0;1.5;-1.7001975785144343;2.8931128853391113
-1.0;2.0;-2.4516700615901876;4.154664579422728
-1.0;2.5;-3.0345913757370697;5.131302818224421
-1.0;3.0;-3.4715038661042925;5.862225708586033
-1.0;3.5;-3.7951802967281028;6.403162409780171
-1.0;4.0;-4.035551018471398;6.804614386886037
-1.0;4.5;-4.2158677933082735;7.105648978630229
-1.0;5.0;-4.352998537336338;7.334534437514035
-0.5;-5.0;4.528218860150216;-7.623433227880554
-0.5;-4.5;4.441592647908282;-7.477919949872026
-0.5;-4.0;4.330711294857597;-7.291583153005208
-0.5;-3.5;4.186627438754076;-7.049326414527497
-0.5;-3.0;3.996576354075454;-6.72959126237129
-0.5;-2.5;3.7425041423647394;-6.301851791441628
-0.5;-2.0;3.399684418027908;-5.724247554905136
-0.5;-1.5;2.936864851882733;-4.943801867250782
-0.5;-1.0;2.32148843552909;-3.905270792448712
-0.5;-0.5;1.5354036889609084;-2.5778870382487136
-0.5;0.0;0.6012563891631428;-1.000337144448023
-0.5;0.5;-0.4004461949706059;0.6903191291928137
-0.5;1.0;-1.355882685475481;2.3009232096499126
-0.5;1.5;-2.174760721245732;3.6791483119896924
-0.5;2.0;-2.8236468931934944;4.769532341208897
-0.5;2.5;-3.3147889629421834;5.593719434677667
-0.5;3.0;-3.679368060882986;6.204871078725471
-0.5;3.5;-3.949431366897108;6.657229445224591
-0.5;4.0;-4.151047991630636;6.99474967745642
-0.5;4.5;-4.303492752671921;7.249851758532378
