t;U;V;Lx;β;δ;v;Q;ΔT;μ
1.0;1.0;0.0;128.0;100.0;0.0;Dict("m" => 0.0002725711137380573, "w0" => 0.1013076400771393, "wp" => 0.0);Dict("m" => 0.9865579518289761, "w0" => 8.074187277107292e-5, "wp" => 3.642309397357255e-8);0.482134071;0.0
1.0;1.0;0.0;128.0;100.0;0.05;Dict("m" => 1.9181617534157956e-5, "w0" => 0.10080323299545649, "wp" => 0.0);Dict("m" => 0.6238634297464106, "w0" => 0.3740115096564911, "wp" => 0.6398313419179156);4.700260225;0.18110403665228025
1.0;1.0;0.0;128.0;100.0;0.1;Dict("m" => 1.4930618234283287e-5, "w0" => 0.09894029227255818, "wp" => 0.0);Dict("m" => 0.8769354916814577, "w0" => 0.10595515998856886, "wp" => 0.008932537475236963);6.402984145;0.4268418150747241
1.0;1.0;0.0;128.0;100.0;0.15;Dict("m" => 6.416805771095205e-6, "w0" => 0.09537685180572684, "wp" => 0.0);Dict("m" => 0.573693646678322, "w0" => 0.412800207480607, "wp" => 0.5962745937898554);5.279980664;0.7214976107143627
1.0;1.0;0.0;128.0;100.0;0.2;Dict("m" => 1.3074482088172288e-6, "w0" => 0.089834174890837, "wp" => 0.0);Dict("m" => 0.16839578769743552, "w0" => 0.3795904585182641, "wp" => 0.5743669411374027);4.817787491;1.0579579597875401
1.0;1.0;0.0;128.0;100.0;0.25;Dict("m" => 4.274333260072788e-7, "w0" => 0.08204882799131039, "wp" => 0.0);Dict("m" => 0.07821942227281309, "w0" => 0.6367547158239728, "wp" => 0.6652814061654032);4.140855338;1.437321834385795
1.0;1.0;0.0;128.0;100.0;0.3;Dict("m" => 1.8775239755763052e-6, "w0" => 0.0717510874682287, "wp" => 0.0);Dict("m" => 0.49484694312096333, "w0" => 0.04077225883414304, "wp" => 0.52007208686075);4.478681802;1.8650972472063092
1.0;1.0;0.0;128.0;100.0;0.35;Dict("m" => 2.1648603988448463e-6, "w0" => 0.0586766975990908, "wp" => 0.0);Dict("m" => 0.8600530649184469, "w0" => 0.04608919382462218, "wp" => 0.0699075546130152);4.227532772;2.3290088359810275
1.0;1.0;0.0;128.0;100.0;0.4;Dict("m" => 2.395155465072359e-7, "w0" => 0.042546950845522, "wp" => 0.0);Dict("m" => 0.15906873988306217, "w0" => 0.5010759988104824, "wp" => 0.3829657002032917);5.121940767;2.8392649978154036
1.0;1.0;0.0;128.0;100.0;0.45;Dict("m" => 8.252475847400835e-8, "w0" => 0.02308548384806515, "wp" => 0.0);Dict("m" => 0.12082913101391193, "w0" => 0.7330950611497689, "wp" => 0.38534208263825137);4.689052515;3.396792871035844
1.0;2.0;0.0;128.0;100.0;0.0;Dict("m" => 0.030137682353928066, "w0" => 0.10113178408112611, "wp" => 0.0);Dict("m" => 0.9570835828959234, "w0" => 0.014418597039794756, "wp" => 1.3925354961437835e-5);0.208447637;0.0
1.0;2.0;0.0;128.0;100.0;0.05;Dict("m" => 6.626808299823945e-5, "w0" => 0.10080323084669633, "wp" => 0.0);Dict("m" => 0.7463123661313564, "w0" => 3.833740644387795e-5, "wp" => 5.154640229614204e-5);8.509269874;0.18110423795189268
1.0;2.0;0.0;128.0;100.0;0.1;Dict("m" => 3.18083547051472e-5, "w0" => 0.09894029159398329, "wp" => 0.0);Dict("m" => 0.7750748064713552, "w0" => 0.0005828561730480963, "wp" => 0.008462445591215688);7.021927381;0.42684185873770475
1.0;2.0;0.0;128.0;100.0;0.15;Dict("m" => 2.4171777223100907e-5, "w0" => 0.09537685113056976, "wp" => 0.0);Dict("m" => 0.9596783607636105, "w0" => 0.017778119527633862, "wp" => 0.004046645316695066);5.998542966;0.7214976478835647
1.0;2.0;0.0;128.0;100.0;0.2;Dict("m" => 1.0671626293658607e-5, "w0" => 0.08983417469616928, "wp" => 0.0);Dict("m" => 0.6338801510381269, "w0" => 0.11522048996501222, "wp" => 0.12441644067408038);4.877717954;1.0579579700191948
1.0;2.0;0.0;128.0;100.0;0.25;Dict("m" => 1.0949275437814781e-5, "w0" => 0.08204882770247232, "wp" => 0.0);Dict("m" => 0.9471011056511643, "w0" => 0.2494151212081852, "wp" => 0.22407960590008502);4.520281772;1.4373218499329177
1.0;2.0;0.0;128.0;100.0;0.3;Dict("m" => 7.2555118042466554e-6, "w0" => 0.07175108730024675, "wp" => 0.0);Dict("m" => 0.919866781705933, "w0" => 0.2774262850767373, "wp" => 0.8950307352820744);4.821774134;1.8650972570504782
1.0;2.0;0.0;128.0;100.0;0.35;Dict("m" => 1.8158766446515784e-6, "w0" => 0.058676697606164334, "wp" => 0.0);Dict("m" => 0.3516252318104242, "w0" => 0.5504625570067895, "wp" => 0.41656947748548256);5.430694315;2.3290088354865452
1.0;2.0;0.0;128.0;100.0;0.4;Dict("m" => 1.991858411618026e-6, "w0" => 0.042546950812568846, "wp" => 0.0);Dict("m" => 0.6514641780274236, "w0" => 0.49041329885639307, "wp" => 0.5655023053913848);5.497490866;2.839265000945986
1.0;2.0;0.0;128.0;100.0;0.45;Dict("m" => 4.90848597809148e-7, "w0" => 0.023085483843750206, "wp" => 0.0);Dict("m" => 0.35688524882306144, "w0" => 0.540797758763617, "wp" => 0.4873247828364608);4.672781983;3.396792871784527
1.0;3.0;0.0;128.0;100.0;0.0;Dict("m" => 0.06321190705628356, "w0" => 0.10014205411061003, "wp" => 0.0);Dict("m" => 0.8540445998034274, "w0" => 0.040657762887530424, "wp" => 1.8529751765034767e-5);0.19899009;0.0
1.0;3.0;0.0;128.0;100.0;0.05;Dict("m" => 0.00021708936806443942, "w0" => 0.10080320802335516, "wp" => 0.0);Dict("m" => 0.9062865189315188, "w0" => 0.000299989512259069, "wp" => 1.1111714364945887e-6);12.867598527;0.18110637607814453
1.0;3.0;0.0;128.0;100.0;0.1;Dict("m" => 7.132214422221247e-5, "w0" => 0.09894028808856126, "wp" => 0.0);Dict("m" => 0.9208651516440988, "w0" => 0.0005224322255359404, "wp" => 0.00023465816808385586);10.478428383;0.4268420842944532
1.0;3.0;0.0;128.0;100.0;0.15;Dict("m" => 2.9063590509596505e-5, "w0" => 0.09537685080683032, "wp" => 0.0);Dict("m" => 0.6723848721477697, "w0" => 0.003104580525020717, "wp" => 0.009283182502677326);8.376693638;0.7214976657062872
1.0;3.0;0.0;128.0;100.0;0.2;Dict("m" => 1.752609211692786e-5, "w0" => 0.0898341743607494, "wp" => 0.0);Dict("m" => 0.635597124229903, "w0" => 0.0279564701929913, "wp" => 0.010409577311880462);5.478127262;1.0579579876487157
1.0;3.0;0.0;128.0;100.0;0.25;Dict("m" => 1.1347715143308919e-5, "w0" => 0.08204882768103593, "wp" => 0.0);Dict("m" => 0.6165514377184431, "w0" => 0.011445807894944204, "wp" => 0.05452522340121273);6.544894421;1.4373218510867711
1.0;3.0;0.0;128.0;100.0;0.3;Dict("m" => 7.308692203603223e-6, "w0" => 0.0717510872975978, "wp" => 0.0);Dict("m" => 0.5933770846753424, "w0" => 0.11111088039472694, "wp" => 0.2573603009328246);4.679061069;1.8650972572057096
1.0;3.0;0.0;128.0;100.0;0.35;Dict("m" => 4.672333275843557e-6, "w0" => 0.058676697511798936, "wp" => 0.0);Dict("m" => 0.5875907098381962, "w0" => 0.2771469047569558, "wp" => 0.24182388427864468);4.741513288;2.3290088420833635
