t;U;V;Lx;β;δ;v;Q;ΔT;μ
0.5;0.5;0.0;128.0;100.0;0.0;Dict("m" => 0.00011712906021869778, "w0" => 0.1012933937478149, "wp" => 0.0);Dict("m" => 0.8291781698149518, "w0" => 5.1114465993151725e-5, "wp" => 9.313225746154785e-6);0.404991914;0.0
0.5;0.5;0.0;128.0;100.0;0.05;Dict("m" => 6.571307109720227e-6, "w0" => 0.10079038241828507, "wp" => 0.0);Dict("m" => 0.2114682389464036, "w0" => 0.6287631413198769, "wp" => 0.0);1.463447896;0.09045533200410484
0.5;0.5;0.0;128.0;100.0;0.1;Dict("m" => 5.910488938065461e-8, "w0" => 0.09892809000899169, "wp" => 0.0);Dict("m" => 0.0034638113708160435, "w0" => 0.5819663772937966, "wp" => 0.0);1.941945756;0.21345991614777657
0.5;0.5;0.0;128.0;100.0;0.15;Dict("m" => 1.6532038500257112e-10, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 1.4767827501128913e-5, "w0" => 0.5564372384393723, "wp" => 0.0);2.490191484;0.3606833854002625
0.5;0.5;0.0;128.0;100.0;0.2;Dict("m" => 2.826734379614024e-13, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 3.6392425004556606e-8, "w0" => 0.8657027183971155, "wp" => 0.0);2.296577578;0.5295444553919667
0.5;0.5;0.0;128.0;100.0;0.25;Dict("m" => 1.6302710321345102e-16, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 2.982475008160871e-11, "w0" => 0.6082135368894181, "wp" => 0.0);2.762595807;0.719656988429775
0.5;0.5;0.0;128.0;100.0;0.3;Dict("m" => 5.987561637253346e-20, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 1.5777607223382726e-14, "w0" => 0.8044371173013265, "wp" => 0.0);3.089214132;0.931753603171998
0.5;0.5;0.0;128.0;100.0;0.35;Dict("m" => 6.974326476549857e-24, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 2.770159856599194e-18, "w0" => 0.5107304963469089, "wp" => 0.0);3.384266209;1.1644958955376412
0.5;0.5;0.0;128.0;100.0;0.4;Dict("m" => 4.547465246498309e-28, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 3.0195337577974843e-22, "w0" => 0.6300110766583461, "wp" => 0.0);2.848719865;1.4198559073458672
0.5;0.5;0.0;128.0;100.0;0.45;Dict("m" => 1.272321273917633e-32, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 1.8623771728182034e-26, "w0" => 0.7602034324842577, "wp" => 0.0);3.119463684;1.6981185303004134
0.5;1.0;0.0;128.0;100.0;0.0;Dict("m" => 2.3933143626053496e-32, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 2.3444130152286972e-29, "w0" => 0.7638000194512551, "wp" => 0.0);0.083453995;0.0
0.5;1.0;0.0;128.0;100.0;0.05;Dict("m" => 4.542449681207892e-33, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 5.0395469649869265e-29, "w0" => 0.6287666515604473, "wp" => 0.0);1.345824879;0.09045533088324931
0.5;1.0;0.0;128.0;100.0;0.1;Dict("m" => 1.4870777348795336e-34, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 3.613932087960075e-30, "w0" => 0.5819663851985846, "wp" => 0.0);2.027293805;0.21345991614767917
0.5;1.0;0.0;128.0;100.0;0.15;Dict("m" => 1.4064728426619258e-36, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 5.578671380036256e-32, "w0" => 0.5564372384399274, "wp" => 0.0);2.487914304;0.3606833854002625
0.5;1.0;0.0;128.0;100.0;0.2;Dict("m" => 7.106691223266472e-39, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 4.219374142251899e-34, "w0" => 0.8657027183971155, "wp" => 0.0);2.309048955;0.5295444553919667
0.5;1.0;0.0;128.0;100.0;0.25;Dict("m" => 1.1478811949472634e-41, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 9.925930003139444e-37, "w0" => 0.6082135368894181, "wp" => 0.0);2.80259159;0.719656988429775
0.5;1.0;0.0;128.0;100.0;0.3;Dict("m" => 1.0747317668757709e-44, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 1.3622568256327012e-39, "w0" => 0.8044371173013265, "wp" => 0.0);2.914430381;0.931753603171998
0.5;1.0;0.0;128.0;100.0;0.35;Dict("m" => 3.026070927778298e-48, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 5.858380855064699e-43, "w0" => 0.5107304963469089, "wp" => 0.0);2.810909534;1.1644958955376412
0.5;1.0;0.0;128.0;100.0;0.4;Dict("m" => 4.432032058407806e-52, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 1.4492826865013595e-46, "w0" => 0.6300110766583461, "wp" => 0.0);2.86526303;1.4198559073458672
0.5;1.0;0.0;128.0;100.0;0.45;Dict("m" => 2.616962933103999e-56, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 1.9022223206609654e-50, "w0" => 0.7602034324842577, "wp" => 0.0);2.66134367;1.6981185303004134
0.5;1.5;0.0;128.0;100.0;0.0;Dict("m" => 7.618967792882997e-55, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 3.0372088234499027e-51, "w0" => 0.7638000194512551, "wp" => 0.0);0.076659888;0.0
0.5;1.5;0.0;128.0;100.0;0.05;Dict("m" => 3.392743876998679e-55, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 1.3784350730276453e-51, "w0" => 0.6287666515604473, "wp" => 0.0);1.329373187;0.09045533088324931
0.5;1.5;0.0;128.0;100.0;0.1;Dict("m" => 2.8437453748342943e-56, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 3.65937715890895e-52, "w0" => 0.5819663851985846, "wp" => 0.0);2.028783068;0.21345991614767917
0.5;1.5;0.0;128.0;100.0;0.15;Dict("m" => 6.538527349538854e-58, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 1.511021701542844e-53, "w0" => 0.5564372384399274, "wp" => 0.0);2.48503034;0.3606833854002625
0.5;1.5;0.0;128.0;100.0;0.2;Dict("m" => 7.149796981427817e-60, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 2.591651319865688e-55, "w0" => 0.8657027183971155, "wp" => 0.0);2.372842995;0.5295444553919667
0.5;1.5;0.0;128.0;100.0;0.25;Dict("m" => 2.3885121092641877e-62, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 1.297308469405347e-57, "w0" => 0.6082135368894181, "wp" => 0.0);2.679963009;0.719656988429775
0.5;1.5;0.0;128.0;100.0;0.3;Dict("m" => 4.241053987581735e-65, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 3.4424124178245663e-60, "w0" => 0.8044371173013265, "wp" => 0.0);2.795484536;0.931753603171998
0.5;1.5;0.0;128.0;100.0;0.35;Dict("m" => 2.1554427298182457e-68, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 2.710066086152476e-63, "w0" => 0.5107304963469089, "wp" => 0.0);2.897593717;1.1644958955376412
0.5;1.5;0.0;128.0;100.0;0.4;Dict("m" => 5.309538611404044e-72, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 1.1397875069876364e-66, "w0" => 0.6300110766583461, "wp" => 0.0);3.003695968;1.4198559073458672
0.5;1.5;0.0;128.0;100.0;0.45;Dict("m" => 4.960486722221914e-76, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 2.3872562086888936e-70, "w0" => 0.7602034324842577, "wp" => 0.0);2.791806399;1.6981185303004134
0.5;2.0;0.0;128.0;100.0;0.0;Dict("m" => 1.275828127384499e-73, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 7.004020534392175e-70, "w0" => 0.7638000194512551, "wp" => 0.0);0.074519703;0.0
0.5;2.0;0.0;128.0;100.0;0.05;Dict("m" => 1.1179299015678649e-73, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 6.116962834214078e-71, "w0" => 0.6287666515604473, "wp" => 0.0);1.331976545;0.09045533088324931
0.5;2.0;0.0;128.0;100.0;0.1;Dict("m" => 2.0251090101897505e-74, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 1.4481798135904536e-70, "w0" => 0.5819663851985846, "wp" => 0.0);1.970125268;0.21345991614767917
0.5;2.0;0.0;128.0;100.0;0.15;Dict("m" => 9.706231781516055e-76, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 1.4396412363573687e-71, "w0" => 0.5564372384399274, "wp" => 0.0);2.436464262;0.3606833854002625
0.5;2.0;0.0;128.0;100.0;0.2;Dict("m" => 1.99904336002124e-77, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 4.9348235711941414e-73, "w0" => 0.8657027183971155, "wp" => 0.0);2.348770783;0.5295444553919667
0.5;2.0;0.0;128.0;100.0;0.25;Dict("m" => 1.210556754350743e-79, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 4.628669901359313e-75, "w0" => 0.6082135368894181, "wp" => 0.0);2.693402076;0.719656988429775
0.5;2.0;0.0;128.0;100.0;0.3;Dict("m" => 3.5960038961803846e-82, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 2.0992246761194322e-77, "w0" => 0.8044371173013265, "wp" => 0.0);2.802444828;0.931753603171998
0.5;2.0;0.0;128.0;100.0;0.35;Dict("m" => 2.9200870355338134e-85, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 2.6805952872234508e-80, "w0" => 0.5107304963469089, "wp" => 0.0);2.739143926;1.1644958955376412
0.5;2.0;0.0;128.0;100.0;0.4;Dict("m" => 1.0736407658798989e-88, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 1.7017305501144773e-83, "w0" => 0.6300110766583461, "wp" => 0.0);2.756684384;1.4198559073458672
0.5;2.0;0.0;128.0;100.0;0.45;Dict("m" => 1.410240430845916e-92, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 5.054877396701763e-87, "w0" => 0.7602034324842577, "wp" => 0.0);2.649440506;1.6981185303004134
0.5;2.5;0.0;128.0;100.0;0.0;Dict("m" => 2.222442610292106e-89, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 1.4205468700370024e-85, "w0" => 0.7638000194512551, "wp" => 0.0);0.068829701;0.0
0.5;2.5;0.0;128.0;100.0;0.05;Dict("m" => 3.435261088748705e-89, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 5.36678822235569e-86, "w0" => 0.6287666515604473, "wp" => 0.0);1.302407955;0.09045533088324931
0.5;2.5;0.0;128.0;100.0;0.1;Dict("m" => 1.2082877176032199e-89, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 4.4959132173557316e-86, "w0" => 0.5819663851985846, "wp" => 0.0);2.017185017;0.21345991614767917
0.5;2.5;0.0;128.0;100.0;0.15;Dict("m" => 1.0972334293807607e-90, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 1.0824983130920275e-86, "w0" => 0.5564372384399274, "wp" => 0.0);2.444162752;0.3606833854002625
0.5;2.5;0.0;128.0;100.0;0.2;Dict("m" => 3.915893961046865e-92, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 6.950218574845418e-88, "w0" => 0.8657027183971155, "wp" => 0.0);2.295270925;0.5295444553919667
0.5;2.5;0.0;128.0;100.0;0.25;Dict("m" => 3.978200657792912e-94, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 1.1373159112336231e-89, "w0" => 0.6082135368894181, "wp" => 0.0);2.656529399;0.719656988429775
0.5;2.5;0.0;128.0;100.0;0.3;Dict("m" => 1.840292944989788e-96, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 8.226344471609333e-92, "w0" => 0.8044371173013265, "wp" => 0.0);2.814322368;0.931753603171998
0.5;2.5;0.0;128.0;100.0;0.35;Dict("m" => 2.2295081791370136e-99, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 1.592733394268894e-94, "w0" => 0.5107304963469089, "wp" => 0.0);2.759623414;1.1644958955376412
0.5;2.5;0.0;128.0;100.0;0.4;Dict("m" => 1.1452620410746132e-102, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 1.4292955064822084e-97, "w0" => 0.6300110766583461, "wp" => 0.0);2.773895707;1.4198559073458672
0.5;2.5;0.0;128.0;100.0;0.45;Dict("m" => 1.982099023287065e-106, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 5.6440796497975475e-101, "w0" => 0.7602034324842577, "wp" => 0.0);2.737594854;1.6981185303004134
0.5;3.0;0.0;128.0;100.0;0.0;Dict("m" => 1.4769523035301716e-102, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 1.0328606858673805e-98, "w0" => 0.7638000194512551, "wp" => 0.0);0.073489324;0.0
0.5;3.0;0.0;128.0;100.0;0.05;Dict("m" => 3.731234090702701e-102, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 1.1076370558847016e-98, "w0" => 0.6287666515604473, "wp" => 0.0);1.349491077;0.09045533088324931
0.5;3.0;0.0;128.0;100.0;0.1;Dict("m" => 2.360583523597341e-102, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 3.3852660787555797e-99, "w0" => 0.5819663851985846, "wp" => 0.0);2.070866599;0.21345991614767917
0.5;3.0;0.0;128.0;100.0;0.15;Dict("m" => 3.7951927714979175e-103, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 2.487656082206481e-99, "w0" => 0.5564372384399274, "wp" => 0.0);2.412092237;0.3606833854002625
0.5;3.0;0.0;128.0;100.0;0.2;Dict("m" => 2.215503370317175e-104, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 2.9076156383921474e-100, "w0" => 0.8657027183971155, "wp" => 0.0);2.259723371;0.5295444553919667
0.5;3.0;0.0;128.0;100.0;0.25;Dict("m" => 3.5820949812215516e-106, "w0" => 0.08204126101305405, "wp" => 0.0);Dict("m" => 7.936937850825651e-102, "w0" => 0.6082135368894181, "wp" => 0.0);2.814644125;0.719656988429775
0.5;3.0;0.0;128.0;100.0;0.3;Dict("m" => 2.4607511298469207e-108, "w0" => 0.07174446591159778, "wp" => 0.0);Dict("m" => 8.756434637640158e-104, "w0" => 0.8044371173013265, "wp" => 0.0);2.91817542;0.931753603171998
0.5;3.0;0.0;128.0;100.0;0.35;Dict("m" => 4.253485346787271e-111, "w0" => 0.05866976520511518, "wp" => 0.0);Dict("m" => 2.4613068658190034e-106, "w0" => 0.5107304963469089, "wp" => 0.0);2.869075236;1.1644958955376412
0.5;3.0;0.0;128.0;100.0;0.4;Dict("m" => 2.926049652230472e-114, "w0" => 0.0425414816426628, "wp" => 0.0);Dict("m" => 2.99434219720547e-109, "w0" => 0.6300110766583461, "wp" => 0.0);2.871261367;1.4198559073458672
0.5;3.0;0.0;128.0;100.0;0.45;Dict("m" => 6.403391832474737e-118, "w0" => 0.023080273771066036, "wp" => 0.0);Dict("m" => 1.5088133831770855e-112, "w0" => 0.7602034324842577, "wp" => 0.0);2.79124072;1.6981185303004134
0.5;3.5;0.0;128.0;100.0;0.0;Dict("m" => 1.858746888581144e-113, "w0" => 0.10129339576287813, "wp" => 0.0);Dict("m" => 1.3796982941385577e-109, "w0" => 0.7638000194512551, "wp" => 0.0);0.077141454;0.0
0.5;3.5;0.0;128.0;100.0;0.05;Dict("m" => 7.24922906274754e-113, "w0" => 0.10079038244162974, "wp" => 0.0);Dict("m" => 2.880152372437882e-109, "w0" => 0.6287666515604473, "wp" => 0.0);1.367624762;0.09045533088324931
0.5;3.5;0.0;128.0;100.0;0.1;Dict("m" => 7.78056860743395e-113, "w0" => 0.09892809000899447, "wp" => 0.0);Dict("m" => 1.5511328601589857e-110, "w0" => 0.5819663851985846, "wp" => 0.0);2.109194104;0.21345991614767917
0.5;3.5;0.0;128.0;100.0;0.15;Dict("m" => 2.1027717074283037e-113, "w0" => 0.09536689168297956, "wp" => 0.0);Dict("m" => 8.81017283476841e-110, "w0" => 0.5564372384399274, "wp" => 0.0);2.555021882;0.3606833854002625
0.5;3.5;0.0;128.0;100.0;0.2;Dict("m" => 1.922638018188055e-114, "w0" => 0.08982639428523835, "wp" => 0.0);Dict("m" => 1.8881322279703518e-110, "w0" => 0.8657027183971155, "wp" => 0.0);2.402450785;0.5295444553919667
