x;t;U;Lx;β;δ;v;Q;ΔT;μ
0.5;20.0;10.0;128.0;100.0;0.0;Dict("m" => 0.005602088494051994);Dict("m" => 0.7396723007106754);0.021513498;0.0
0.5;20.0;10.0;128.0;100.0;0.05;Dict("m" => 9.189786268056066e-6);Dict("m" => 0.6916936709630472);1.161427979;3.652360541930676
0.5;20.0;10.0;128.0;100.0;0.1;Dict("m" => 4.499441676640371e-6);Dict("m" => 0.5738567844087189);1.135473167;8.629146505164602
0.5;20.0;10.0;128.0;100.0;0.15;Dict("m" => 3.3378171486330627e-6);Dict("m" => 0.6303528180598895);1.09154155;14.430985202071367
0.5;20.0;10.0;128.0;100.0;0.2;Dict("m" => 1.9612249664985976e-6);Dict("m" => 0.5248887249340187);1.256197712;21.15885411055261
0.5;20.0;10.0;128.0;100.0;0.25;Dict("m" => 2.3336835721421917e-6);Dict("m" => 0.8775439427870052);1.350651418;28.718629496124628
0.5;20.0;10.0;128.0;100.0;0.3;Dict("m" => 1.6889406064742111e-6);Dict("m" => 0.9072413513972125);1.506734031;37.287447009516
0.5;20.0;10.0;128.0;100.0;0.35;Dict("m" => 8.042138575239788e-7);Dict("m" => 0.6470695956850776);1.437591888;46.67130300184136
0.5;20.0;10.0;128.0;100.0;0.4;Dict("m" => 4.732946811732981e-7);Dict("m" => 0.6334317755531488);1.964750626;56.71676113288546
0.5;20.0;10.0;128.0;100.0;0.45;Dict("m" => 2.842429942537108e-7);Dict("m" => 0.8352663870755515);1.28362718;67.90596547867516
1.0;10.0;10.0;128.0;100.0;0.0;Dict("m" => 0.009184098662632588);Dict("m" => 0.8108816024429872);0.047800784;0.0
1.0;10.0;10.0;128.0;100.0;0.05;Dict("m" => 2.5303735402988185e-5);Dict("m" => 0.8257287729307821);1.278418433;1.8282525086479602
1.0;10.0;10.0;128.0;100.0;0.1;Dict("m" => 1.1000941543351507e-5);Dict("m" => 0.6465217568272217);1.048332955;4.306517642444685
1.0;10.0;10.0;128.0;100.0;0.15;Dict("m" => 1.0171545861036754e-5);Dict("m" => 0.9095977112437672);1.167092793;7.216810130754595
1.0;10.0;10.0;128.0;100.0;0.2;Dict("m" => 5.453067894321791e-6);Dict("m" => 0.7024441799149792);1.166555376;10.57502511339614
1.0;10.0;10.0;128.0;100.0;0.25;Dict("m" => 4.707127495828295e-6);Dict("m" => 0.8614835642930481);1.081485074;14.360005219355742
1.0;10.0;10.0;128.0;100.0;0.3;Dict("m" => 2.30491754082237e-6);Dict("m" => 0.6075364801852793);1.233682031;18.645464238472677
1.0;10.0;10.0;128.0;100.0;0.35;Dict("m" => 2.344286793139483e-6);Dict("m" => 0.9313833149368459);1.179637941;23.33352423875122
1.0;10.0;10.0;128.0;100.0;0.4;Dict("m" => 1.0130594263766617e-6);Dict("m" => 0.6728461305646125);1.44089484;28.358261145967198
1.0;10.0;10.0;128.0;100.0;0.45;Dict("m" => 6.515373505896949e-7);Dict("m" => 0.9540335004092468);1.546005645;33.95494181223415
1.5;6.666666666666667;10.0;128.0;100.0;0.0;Dict("m" => 0.016845876161621795);Dict("m" => 0.9795371226727773);0.057547293;0.0
1.5;6.666666666666667;10.0;128.0;100.0;0.05;Dict("m" => 3.884000753252728e-5);Dict("m" => 0.7154622587169565);1.440714733;1.2190077909900872
1.5;6.666666666666667;10.0;128.0;100.0;0.1;Dict("m" => 2.6573352727458218e-5);Dict("m" => 0.9525545861499581);1.054190999;2.8662074095464316
1.5;6.666666666666667;10.0;128.0;100.0;0.15;Dict("m" => 1.4272428724316727e-5);Dict("m" => 0.8033049314518221);1.262802785;4.8123416201617495
1.5;6.666666666666667;10.0;128.0;100.0;0.2;Dict("m" => 9.870934827896483e-6);Dict("m" => 0.8147863930806045);1.209794185;7.048179438108576
1.5;6.666666666666667;10.0;128.0;100.0;0.25;Dict("m" => 5.197089084251452e-6);Dict("m" => 0.6167789386784452);1.172417451;9.571901515375515
1.5;6.666666666666667;10.0;128.0;100.0;0.3;Dict("m" => 3.4212766758231724e-6);Dict("m" => 0.5897882558158848);1.306980252;12.432321384354516
1.5;6.666666666666667;10.0;128.0;100.0;0.35;Dict("m" => 3.4838014973413266e-6);Dict("m" => 0.9111273750338392);1.290361977;15.554102137639504
1.5;6.666666666666667;10.0;128.0;100.0;0.4;Dict("m" => 1.5441110682436633e-6);Dict("m" => 0.6785566011769982);1.354956872;18.907088942973612
1.5;6.666666666666667;10.0;128.0;100.0;0.45;Dict("m" => 8.287265446419239e-7);Dict("m" => 0.8062290278329588);1.314922605;22.639251109946457
2.0;5.0;10.0;128.0;100.0;0.0;Dict("m" => 0.03021392226408841);Dict("m" => 0.8960868167945043);0.073671081;0.0
2.0;5.0;10.0;128.0;100.0;0.05;Dict("m" => 7.093942160748507e-5);Dict("m" => 0.8026442240276987);1.943494012;0.9140578384905053
2.0;5.0;10.0;128.0;100.0;0.1;Dict("m" => 3.337095887324873e-5);Dict("m" => 0.8137308976555659);1.260730212;2.1470221802672356
2.0;5.0;10.0;128.0;100.0;0.15;Dict("m" => 1.8616658124485023e-5);Dict("m" => 0.7393166577374717);1.275358601;3.610116319223163
2.0;5.0;10.0;128.0;100.0;0.2;Dict("m" => 1.3551595765353595e-5);Dict("m" => 0.8050700991624062);1.19689103;5.285287514654309
2.0;5.0;10.0;128.0;100.0;0.25;Dict("m" => 7.10738981627661e-6);Dict("m" => 0.6148473727549012);1.220507589;7.177708246942746
2.0;5.0;10.0;128.0;100.0;0.3;Dict("m" => 6.13813321877109e-6);Dict("m" => 0.7782608546145772);1.192539456;9.325839261471925
2.0;5.0;10.0;128.0;100.0;0.35;Dict("m" => 3.3943076106329336e-6);Dict("m" => 0.6573048426863645);1.083937242;11.664334925796172
2.0;5.0;10.0;128.0;100.0;0.4;Dict("m" => 2.331855117946258e-6);Dict("m" => 0.7627166675415276);1.646529296;14.181983358111507
2.0;5.0;10.0;128.0;100.0;0.45;Dict("m" => 1.2222845710022484e-6);Dict("m" => 0.8887708081404904);1.121198954;16.981491291722385
2.5;4.0;10.0;128.0;100.0;0.0;Dict("m" => 0.04654858926237072);Dict("m" => 0.8256952514628518);0.07190752;0.0
2.5;4.0;10.0;128.0;100.0;0.05;Dict("m" => 0.0001315230413894143);Dict("m" => 0.9272987471567448);2.521789813;0.7309040122693433
2.5;4.0;10.0;128.0;100.0;0.1;Dict("m" => 4.492874408260847e-5);Dict("m" => 0.7865785066288625);1.678448853;1.7159797148549538
2.5;4.0;10.0;128.0;100.0;0.15;Dict("m" => 2.397441542895337e-5);Dict("m" => 0.7137175525100479);1.379614864;2.8886444947615884
2.5;4.0;10.0;128.0;100.0;0.2;Dict("m" => 1.604170435402588e-5);Dict("m" => 0.730314516058851);0.999722644;4.227848927584528
2.5;4.0;10.0;128.0;100.0;0.25;Dict("m" => 1.4354840896071894e-5);Dict("m" => 0.9647369120682079);0.985712583;5.741546512644915
2.5;4.0;10.0;128.0;100.0;0.3;Dict("m" => 7.031251410619727e-6);Dict("m" => 0.6991366872582152);1.188030584;7.461752053661911
2.5;4.0;10.0;128.0;100.0;0.35;Dict("m" => 6.046946945479582e-6);Dict("m" => 0.9246941549655333);0.950158018;9.330382436359578
2.5;4.0;10.0;128.0;100.0;0.4;Dict("m" => 2.3216907168236052e-6);Dict("m" => 0.6028694906596164);1.112361271;11.347082672697638
2.5;4.0;10.0;128.0;100.0;0.45;Dict("m" => 1.63840355521137e-6);Dict("m" => 0.9497996699160918);1.091504137;13.586608016382044
3.0;3.3333333333333335;10.0;128.0;100.0;0.0;Dict("m" => 0.06321095047162911);Dict("m" => 0.84789841884092);0.065425582;0.0
3.0;3.3333333333333335;10.0;128.0;100.0;0.05;Dict("m" => 0.0002153186411089498);Dict("m" => 0.9059639757618952);3.138520384;0.6086993840938411
3.0;3.3333333333333335;10.0;128.0;100.0;0.1;Dict("m" => 7.39277441372244e-5);Dict("m" => 0.9553255818341831);1.398450599;1.4288776789557733
3.0;3.3333333333333335;10.0;128.0;100.0;0.15;Dict("m" => 3.148676642331633e-5);Dict("m" => 0.7286502611294791);1.441669051;2.407497303219765
