t;U;V;Lx;β;δ;v;Q;ΔT
1.0;0.0;0.0;128.0;100.0;0.2;Dict("m" => 0.0, "w0" => 0.17966834978760363, "wp" => 0.0);Dict("m" => 0.5680817933397418, "w0" => 0.4830912768169493, "wp" => 0.04847925092297765);6.203269775
1.0;0.0;0.1;128.0;100.0;0.2;Dict("m" => 5.2705886791786885e-6, "w0" => 0.18049385467865423, "wp" => 5.578838571161907e-7);Dict("m" => 0.8430645024974474, "w0" => 0.11125294789665618, "wp" => 0.3035086138018992);6.184949743
1.0;0.0;0.2;128.0;100.0;0.2;Dict("m" => 1.3333596924934823e-5, "w0" => 0.18119331525155538, "wp" => 3.432263736115378e-6);Dict("m" => 0.9798726555270781, "w0" => 0.48353740366741116, "wp" => 0.9128049460572207);6.046718519
1.0;0.0;0.3;128.0;100.0;0.2;Dict("m" => 2.1986283832239503e-5, "w0" => 0.18176302111598813, "wp" => 1.2695874881221198e-7);Dict("m" => 0.9859061830163524, "w0" => 0.044332864818641404, "wp" => 0.022013246763625077);7.514423421
1.0;0.0;0.4;128.0;100.0;0.2;Dict("m" => 2.2040283560037205e-5, "w0" => 0.18238666861376296, "wp" => 3.509085108376472e-7);Dict("m" => 0.6711308808740853, "w0" => 0.026873612566646887, "wp" => 0.04459044342415556);8.975136606
1.0;0.0;0.5;128.0;100.0;0.2;Dict("m" => 3.129329743165505e-5, "w0" => 0.18316294953605647, "wp" => 4.037078509304543e-7);Dict("m" => 0.6784697223800689, "w0" => 0.03135833826412027, "wp" => 0.0400447461122174);8.847611409
1.0;0.0;0.6;128.0;100.0;0.2;Dict("m" => 5.307285287565542e-5, "w0" => 0.18394683761274544, "wp" => 3.7056153715673707e-6);Dict("m" => 0.8404597126687867, "w0" => 0.02238387617786719, "wp" => 0.29869441962557797);8.633918928
1.0;0.0;0.7;128.0;100.0;0.2;Dict("m" => 6.531130973729198e-5, "w0" => 0.18456313843118158, "wp" => 3.275356962131806e-8);Dict("m" => 0.7683288425293869, "w0" => 0.001597222665516984, "wp" => 0.0022076841826028488);12.305240626
1.0;0.0;0.8;128.0;100.0;0.2;Dict("m" => 8.840358049011545e-5, "w0" => 0.18512662620500114, "wp" => 7.881493755651961e-6);Dict("m" => 0.7720080638755127, "w0" => 0.015748484418764974, "wp" => 0.4533541726640464);8.450192118
1.0;0.0;0.9;128.0;100.0;0.2;Dict("m" => 0.00015288567997513329, "w0" => 0.18578625026997633, "wp" => 2.054998385516722e-9);Dict("m" => 0.9668306891437699, "w0" => 0.0018023729403404687, "wp" => 0.00010235101318551702);14.827468879
1.0;0.0;1.0;128.0;100.0;0.2;Dict("m" => 0.0002232595704235058, "w0" => 0.18656228735970207, "wp" => 3.567698707612043e-11);Dict("m" => 0.9702890030753998, "w0" => 0.002006864927295293, "wp" => 1.555566624520578e-6);18.734555307
1.0;0.0;1.1;128.0;100.0;0.2;Dict("m" => 0.0003333911308672089, "w0" => 0.1872332365076334, "wp" => 4.351806035881532e-12);Dict("m" => 0.9241110094552796, "w0" => 0.0023129963142021204, "wp" => 1.6777921672401332e-7);22.579506122
1.0;0.0;1.2;128.0;100.0;0.2;Dict("m" => 0.0006568492584487275, "w0" => 0.18779643249240077, "wp" => 2.5428981980900795e-17);Dict("m" => 0.982708025596251, "w0" => 0.004206337946011107, "wp" => 8.741031978951311e-13);31.982312074
1.0;0.0;1.3;128.0;100.0;0.2;Dict("m" => 0.005055202561386271, "w0" => 0.18832659245613786, "wp" => 1.5544144319980245e-21);Dict("m" => 2.0267357513558366, "w0" => 0.058697679554686744, "wp" => 1.8859622254473126e-17);43.801187091
1.0;0.0;1.4;128.0;100.0;0.2;Dict("m" => 0.04070529728741362, "w0" => 0.1842956186883712, "wp" => 8.68985942038191e-9);Dict("m" => 0.9618367584317972, "w0" => 0.23478000220289452, "wp" => 0.00024989956124368113);16.009837039
1.0;0.0;1.5;128.0;100.0;0.2;Dict("m" => 0.06405214044204424, "w0" => 0.17755278336112681, "wp" => 1.1494410094614666e-8);Dict("m" => 0.9189241354647104, "w0" => 0.3923352642751232, "wp" => 0.0003166424908275619);14.344483192
