t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;128.0;100.0;0.0;Dict("m" => 0.09406699855566311, "w0" => 0.09800158507938124, "wp" => 0.0);Dict("m" => 0.933250054707957, "w0" => 0.08815112781931922, "wp" => 5.4149484244746975e-5);1.82416672
1.0;4.0;0.0;128.0;100.0;0.01;Dict("m" => 0.08261276233688988, "w0" => 0.09856691841917026, "wp" => 0.0);Dict("m" => 0.9958048649999496, "w0" => 0.08271200535370227, "wp" => 4.614197449481441e-6);18.513425983
1.0;4.0;0.0;128.0;100.0;0.02;Dict("m" => 0.06933651951112145, "w0" => 0.09918736963880614, "wp" => 0.0);Dict("m" => 0.8539602435260474, "w0" => 0.059221750057097955, "wp" => 1.6274183799679904e-8);22.151090041
1.0;4.0;0.0;128.0;100.0;0.03;Dict("m" => 0.054035458144554016, "w0" => 0.09980789165897869, "wp" => 0.0);Dict("m" => 0.8959019854713757, "w0" => 0.04893196199201588, "wp" => 3.5766921707699425e-9);25.121779913
1.0;4.0;0.0;128.0;100.0;0.04;Dict("m" => 0.031398651941742406, "w0" => 0.10052288918433872, "wp" => 0.0);Dict("m" => 0.96803034257055, "w0" => 0.030860231835794227, "wp" => 4.051057834765616e-16);39.303662609
1.0;4.0;0.0;128.0;100.0;0.05;Dict("m" => 0.0021406746224378534, "w0" => 0.10080078064007375, "wp" => 2.9669383712237398e-31);Dict("m" => 1.3151457391965018, "w0" => 0.0030603110856564086, "wp" => 5.933876742447479e-27);58.092996601
1.0;4.0;0.0;128.0;100.0;0.06;Dict("m" => 0.00048789462674573913, "w0" => 0.1005549511209887, "wp" => 0.0);Dict("m" => 0.9376942145638888, "w0" => 0.0006381537601130027, "wp" => 3.3491740690242643e-15);34.845720622
1.0;4.0;0.0;128.0;100.0;0.07;Dict("m" => 0.00030977933386369097, "w0" => 0.10024112498713786, "wp" => 0.0);Dict("m" => 0.9871097585733347, "w0" => 0.0005275084205558223, "wp" => 9.177976029798737e-11);26.930539151
1.0;4.0;0.0;128.0;100.0;0.08;Dict("m" => 0.0002220651176079553, "w0" => 0.09987353287408861, "wp" => 0.0);Dict("m" => 0.9976921229418639, "w0" => 0.14467871596424153, "wp" => 0.024286979010148358);8.913245684
1.0;4.0;0.0;128.0;100.0;0.09;Dict("m" => 0.00014762888824795342, "w0" => 0.09943644454237656, "wp" => 0.0);Dict("m" => 0.8577535544046825, "w0" => 0.0003459187286614096, "wp" => 1.9413583478675534e-8);20.736691145
1.0;4.0;0.0;128.0;100.0;0.1;Dict("m" => 0.00011625453779537304, "w0" => 0.09894028083847833, "wp" => 0.0);Dict("m" => 0.835116502926582, "w0" => 0.0003459911909753366, "wp" => 3.4226830083985045e-6);18.759943411
1.0;4.0;0.0;128.0;100.0;0.11;Dict("m" => 0.00011375399583688602, "w0" => 0.09836982279414302, "wp" => 0.0);Dict("m" => 0.9768107311711471, "w0" => 0.0004941636599919974, "wp" => 6.298774059422764e-5);16.548853254
1.0;4.0;0.0;128.0;100.0;0.12;Dict("m" => 7.89929306079637e-5, "w0" => 0.09773467065032636, "wp" => 0.0);Dict("m" => 0.7945190015533732, "w0" => 0.0003991265333513905, "wp" => 0.0002960021289567155);15.293768056
1.0;4.0;0.0;128.0;100.0;0.13;Dict("m" => 6.794431390324708e-5, "w0" => 0.09702303814103257, "wp" => 0.0);Dict("m" => 0.7868672231370538, "w0" => 0.0005070374595184113, "wp" => 0.00011060054919443401);15.746691803
1.0;4.0;0.0;128.0;100.0;0.14;Dict("m" => 6.51774566295469e-5, "w0" => 0.09623711687902776, "wp" => 0.0);Dict("m" => 0.8587274359607411, "w0" => 0.00059397008853046, "wp" => 0.001666864814907369);13.868915489
1.0;4.0;0.0;128.0;100.0;0.15;Dict("m" => 5.1989370667331166e-5, "w0" => 0.09537684849679634, "wp" => 0.0);Dict("m" => 0.772105479661018, "w0" => 0.0004791351973509883, "wp" => 0.00045992390249991664);13.935036463
1.0;4.0;0.0;128.0;100.0;0.16;Dict("m" => 4.8476588182860715e-5, "w0" => 0.09443411882181506, "wp" => 0.0);Dict("m" => 0.8050340930468104, "w0" => 0.0017101806429331567, "wp" => 0.01571243710893988);11.803830985
1.0;4.0;0.0;128.0;100.0;0.17;Dict("m" => 4.558699939255181e-5, "w0" => 0.09341187545778484, "wp" => 0.0);Dict("m" => 0.8415786651617355, "w0" => 0.001476841192393774, "wp" => 3.3104316565236664e-5);12.891002492
1.0;4.0;0.0;128.0;100.0;0.18;Dict("m" => 2.0898190174820646e-5, "w0" => 0.09230801997734929, "wp" => 0.0);Dict("m" => 0.42681436625699903, "w0" => 0.7911477146543833, "wp" => 0.7024697087895354);7.925630238
1.0;4.0;0.0;128.0;100.0;0.19;Dict("m" => 2.9566898912232134e-5, "w0" => 0.09111526925553809, "wp" => 0.0);Dict("m" => 0.6651678441028822, "w0" => 0.03240700300416455, "wp" => 0.02962140399321036);10.748442743
1.0;4.0;0.0;128.0;100.0;0.2;Dict("m" => 3.795373367759981e-5, "w0" => 0.0898341723939755, "wp" => 0.0);Dict("m" => 0.9374315829678775, "w0" => 0.0001025786521002825, "wp" => 0.030621031726409943);9.531387663
1.0;4.0;0.0;128.0;100.0;0.21;Dict("m" => 2.6702215908516163e-5, "w0" => 0.08846529563613108, "wp" => 0.0);Dict("m" => 0.7222712114796597, "w0" => 0.015436189069184536, "wp" => 0.0220816569490518);9.470029347
1.0;4.0;0.0;128.0;100.0;0.22;Dict("m" => 3.10977914205143e-5, "w0" => 0.08700569080230056, "wp" => 0.0);Dict("m" => 0.9192850416754935, "w0" => 0.02351930745991826, "wp" => 0.03311059641392005);9.452892655
