t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;128.0;100.0;0.0;Dict("m" => 0.09411784848643684, "w0" => 0.1959993404036809, "wp" => 0.0);Dict("m" => 0.7952453730444842, "w0" => 0.15021812675042323, "wp" => 3.5248553045313855e-5);1.97523653
1.0;4.0;0.0;128.0;100.0;0.01;Dict("m" => 0.08265596213958497, "w0" => 0.197129789814941, "wp" => 0.0);Dict("m" => 0.9750608533377891, "w0" => 0.16204337678515923, "wp" => 5.7975826029076945e-6);16.810093623
1.0;4.0;0.0;128.0;100.0;0.02;Dict("m" => 0.06968473716255434, "w0" => 0.19832742400925824, "wp" => 0.0);Dict("m" => 0.8369094125772192, "w0" => 0.11743407614756007, "wp" => 8.523068029558074e-7);19.486128975
1.0;4.0;0.0;128.0;100.0;0.03;Dict("m" => 0.05405216757580517, "w0" => 0.19961423051262023, "wp" => 0.0);Dict("m" => 0.9207422125932785, "w0" => 0.10060924058724607, "wp" => 1.7790041796761978e-8);21.915969897
1.0;4.0;0.0;128.0;100.0;0.04;Dict("m" => 0.03138643378324621, "w0" => 0.20104655903798302, "wp" => 0.0);Dict("m" => 0.9516577653294334, "w0" => 0.06064648203019107, "wp" => 9.730045196608287e-16);32.803080657
1.0;4.0;0.0;128.0;100.0;0.05;Dict("m" => 0.001844452033535659, "w0" => 0.20160282502458357, "wp" => 6.681199811982392e-32);Dict("m" => 1.1318979953553399, "w0" => 0.004538382524232887, "wp" => 1.3362399623964785e-27);52.747491433
1.0;4.0;0.0;128.0;100.0;0.06;Dict("m" => 0.0005001308591333313, "w0" => 0.20110988777517655, "wp" => 0.0);Dict("m" => 0.961214956089971, "w0" => 0.001341136623422834, "wp" => 1.882949480383509e-15);32.632630563
1.0;4.0;0.0;128.0;100.0;0.07;Dict("m" => 0.00028959134318448204, "w0" => 0.2004822659661416, "wp" => 0.0);Dict("m" => 0.9227787670921839, "w0" => 0.0009219839275376174, "wp" => 5.0055973242026955e-11);26.262163524
1.0;4.0;0.0;128.0;100.0;0.08;Dict("m" => 0.00021267879684974312, "w0" => 0.19974707167393208, "wp" => 0.0);Dict("m" => 0.9555208352353777, "w0" => 0.0008777050267139153, "wp" => 1.7703057963972365e-8);22.609396043
1.0;4.0;0.0;128.0;100.0;0.09;Dict("m" => 0.0001678919701595494, "w0" => 0.1988728789629873, "wp" => 0.0);Dict("m" => 0.9754867803546299, "w0" => 0.0008956743588472982, "wp" => 1.9490267803801006e-10);19.848900138
1.0;4.0;0.0;128.0;100.0;0.1;Dict("m" => 0.0001211179318486384, "w0" => 0.19788055969084012, "wp" => 0.0);Dict("m" => 0.8700528641132454, "w0" => 0.0007392123108074244, "wp" => 6.974888629350687e-6);17.081832152
1.0;4.0;0.0;128.0;100.0;0.11;Dict("m" => 0.00011543481379805232, "w0" => 0.19673964487160947, "wp" => 0.0);Dict("m" => 0.9912440194011379, "w0" => 0.0011035865749020601, "wp" => 4.420636623114361e-5);15.867179247
1.0;4.0;0.0;128.0;100.0;0.12;Dict("m" => 8.014176502843987e-5, "w0" => 0.1954693409336561, "wp" => 0.0);Dict("m" => 0.8060741056373446, "w0" => 0.0008415713842468975, "wp" => 5.4024695033837134e-5);15.770905636
1.0;4.0;0.0;128.0;100.0;0.13;Dict("m" => 7.540911959142476e-5, "w0" => 0.19404607397111934, "wp" => 0.0);Dict("m" => 0.8733176464971242, "w0" => 0.0010984041365347252, "wp" => 0.000177993222670378);14.706562514
1.0;4.0;0.0;128.0;100.0;0.14;Dict("m" => 5.9504894939383124e-5, "w0" => 0.19247423539805236, "wp" => 0.0);Dict("m" => 0.783990147824143, "w0" => 0.0037368789418401605, "wp" => 0.004102647855508723);11.26900531
1.0;4.0;0.0;128.0;100.0;0.15;Dict("m" => 4.9502190907148666e-5, "w0" => 0.1907536976212059, "wp" => 0.0);Dict("m" => 0.7351678210346617, "w0" => 0.00175559680487547, "wp" => 0.0007534555045656949);13.382020211
1.0;4.0;0.0;128.0;100.0;0.16;Dict("m" => 4.862560299279621e-5, "w0" => 0.18886823760511545, "wp" => 0.0);Dict("m" => 0.8075087315319206, "w0" => 0.004277484420556199, "wp" => 0.009614758170291563);11.365006477
1.0;4.0;0.0;128.0;100.0;0.17;Dict("m" => 5.214747182339217e-5, "w0" => 0.1868237490900224, "wp" => 0.0);Dict("m" => 0.9626911549260195, "w0" => 0.0013923363675893974, "wp" => 0.003148460435965621);11.638472146
1.0;4.0;0.0;128.0;100.0;0.18;Dict("m" => 3.8908279707542055e-5, "w0" => 0.1846160366764838, "wp" => 0.0);Dict("m" => 0.7946436249541654, "w0" => 0.01633929896438513, "wp" => 0.01654542911305103);9.083252689
1.0;4.0;0.0;128.0;100.0;0.19;Dict("m" => 3.7214635489225946e-5, "w0" => 0.18223053685082763, "wp" => 0.0);Dict("m" => 0.8372193352188857, "w0" => 0.004230384025305511, "wp" => 0.0036012361571589025);11.134983938
1.0;4.0;0.0;128.0;100.0;0.2;Dict("m" => 2.621197393593674e-5, "w0" => 0.1796683474029254, "wp" => 0.0);Dict("m" => 0.6474180263719738, "w0" => 0.000982424697704154, "wp" => 0.0043652042509736136);10.092379346
1.0;4.0;0.0;128.0;100.0;0.21;Dict("m" => 3.508224157524399e-5, "w0" => 0.17693058935357472, "wp" => 0.0);Dict("m" => 0.9489434820471239, "w0" => 0.01899478671213428, "wp" => 0.06276447229593834);8.714665772
1.0;4.0;0.0;128.0;100.0;0.22;Dict("m" => 1.6327311384710044e-5, "w0" => 0.1740113843764799, "wp" => 0.0);Dict("m" => 0.48265333128745125, "w0" => 0.15462225669365948, "wp" => 0.6791382248159827);6.808072808
1.0;4.0;0.0;128.0;100.0;0.23;Dict("m" => 2.7248296010262757e-5, "w0" => 0.17090248291064997, "wp" => 0.0);Dict("m" => 0.8787706719831105, "w0" => 0.03153158977586834, "wp" => 0.05827511599685979);8.649518318
1.0;4.0;0.0;128.0;100.0;0.24;Dict("m" => 1.8641203265616083e-5, "w0" => 0.16759874083327872, "wp" => 0.0);Dict("m" => 0.655012732764175, "w0" => 0.014191929473550413, "wp" => 0.002892161018876638);8.65570485
1.0;4.0;0.0;128.0;100.0;0.25;Dict("m" => 2.217017208367197e-5, "w0" => 0.16409765361150602, "wp" => 0.0);Dict("m" => 0.8479977396145996, "w0" => 0.022561662820219652, "wp" => 0.04123229488860678);8.308607018
1.0;4.0;0.0;128.0;100.0;0.26;Dict("m" => 1.8144893360096285e-5, "w0" => 0.16039529556851065, "wp" => 0.0);Dict("m" => 0.7550854620254595, "w0" => 0.02315046297191037, "wp" => 0.0030942233220364796);8.901672182
1.0;4.0;0.0;128.0;100.0;0.27;Dict("m" => 1.9822555210849624e-5, "w0" => 0.1564893743866975, "wp" => 0.0);Dict("m" => 0.8973179398842538, "w0" => 0.05876833196361009, "wp" => 0.3494306998932345);7.512719822
1.0;4.0;0.0;128.0;100.0;0.28;Dict("m" => 1.5248046678377525e-5, "w0" => 0.15237545120796386, "wp" => 0.0);Dict("m" => 0.7509512374652536, "w0" => 0.01241392565243249, "wp" => 0.06535060230043374);8.631876127
1.0;4.0;0.0;128.0;100.0;0.29;Dict("m" => 3.4505804995059045e-6, "w0" => 0.14804792612359308, "wp" => 0.0);Dict("m" => 0.18496734747467303, "w0" => 0.4461881588074812, "wp" => 0.5016411414546572);7.383037453
1.0;4.0;0.0;128.0;100.0;0.3;Dict("m" => 1.2391866436685127e-5, "w0" => 0.14350217391022607, "wp" => 0.0);Dict("m" => 0.7235721835439552, "w0" => 0.3948215820642753, "wp" => 0.5657962989311085);7.398113914
1.0;4.0;0.0;128.0;100.0;0.31;Dict("m" => 9.230278461261648e-6, "w0" => 0.13873403875234072, "wp" => 0.0);Dict("m" => 0.5877491879071106, "w0" => 0.01765438363582339, "wp" => 0.14346460762506608);8.414084629
1.0;4.0;0.0;128.0;100.0;0.32;Dict("m" => 1.0320923971549543e-5, "w0" => 0.13373929457109088, "wp" => 0.0);Dict("m" => 0.7177627998770599, "w0" => 0.42368921007868154, "wp" => 0.5380020308894792);7.319433435
1.0;4.0;0.0;128.0;100.0;0.33;Dict("m" => 7.736802751755143e-6, "w0" => 0.12851381523549107, "wp" => 0.0);Dict("m" => 0.5887641403989745, "w0" => 0.03807846457287711, "wp" => 0.12463828897553898);8.553152649
1.0;4.0;0.0;128.0;100.0;0.34;Dict("m" => 1.071146117740701e-5, "w0" => 0.1230535593018896, "wp" => 0.0);Dict("m" => 0.8940860356861128, "w0" => 0.838045895605738, "wp" => 0.4120001722680425);6.811845359
1.0;4.0;0.0;128.0;100.0;0.35;Dict("m" => 6.47530618938877e-6, "w0" => 0.1173533948189236, "wp" => 0.0);Dict("m" => 0.5945606168566632, "w0" => 0.26272863250631495, "wp" => 0.18052536178277215);7.735585095
1.0;4.0;0.0;128.0;100.0;0.36;Dict("m" => 4.627534489722823e-6, "w0" => 0.11140737412071326, "wp" => 0.0);Dict("m" => 0.46902688090451905, "w0" => 0.24041199399207902, "wp" => 0.811316524709856);7.182347452
1.0;4.0;0.0;128.0;100.0;0.37;Dict("m" => 5.313818531950982e-6, "w0" => 0.10521250047588296, "wp" => 0.0);Dict("m" => 0.5970315524281159, "w0" => 0.07639711994952836, "wp" => 0.23077330464156443);8.373365231
1.0;4.0;0.0;128.0;100.0;0.38;Dict("m" => 3.8295204990530745e-6, "w0" => 0.09876704607121965, "wp" => 0.0);Dict("m" => 0.4794105374969601, "w0" => 0.4655450836027475, "wp" => 0.5208699174303177);7.651980145
1.0;4.0;0.0;128.0;100.0;0.39;Dict("m" => 3.5631761833600323e-6, "w0" => 0.0920607364476042, "wp" => 0.0);Dict("m" => 0.500070985835721, "w0" => 0.6468483122983038, "wp" => 0.8017515733802316);7.197327764
1.0;4.0;0.0;128.0;100.0;0.4;Dict("m" => 3.2475812847417407e-6, "w0" => 0.08509390151424194, "wp" => 0.0);Dict("m" => 0.5148447405292496, "w0" => 0.5063747760424009, "wp" => 0.6278540940023515);7.005257103
1.0;4.0;0.0;128.0;100.0;0.41;Dict("m" => 3.051154940295502e-6, "w0" => 0.07786103980588817, "wp" => 0.0);Dict("m" => 0.5515259159079725, "w0" => 0.17297741381303022, "wp" => 0.06034098875425239);7.477923295
1.0;4.0;0.0;128.0;100.0;0.42;Dict("m" => 2.6054498245525712e-6, "w0" => 0.07035948227998769, "wp" => 0.0);Dict("m" => 0.5433715989115638, "w0" => 0.3618807602946694, "wp" => 0.6066896373664387);7.482447591
1.0;4.0;0.0;128.0;100.0;0.43;Dict("m" => 1.7485314499092304e-7, "w0" => 0.06257766262923473, "wp" => 0.0);Dict("m" => 0.04270985553642921, "w0" => 0.5187911512588572, "wp" => 0.1487974524006246);7.578573998
1.0;4.0;0.0;128.0;100.0;0.44;Dict("m" => 2.50065472478618e-6, "w0" => 0.054517379049512635, "wp" => 0.0);Dict("m" => 0.7298954636719427, "w0" => 0.391153972881253, "wp" => 0.27640623343142534);7.653837589
1.0;4.0;0.0;128.0;100.0;0.45;Dict("m" => 2.2429581533813678e-6, "w0" => 0.046170967510941734, "wp" => 0.0);Dict("m" => 0.8041880497138705, "w0" => 0.41578877064497866, "wp" => 0.49416370828685713);7.595376301
1.0;4.0;0.0;128.0;100.0;0.46;Dict("m" => 1.0903485288947463e-6, "w0" => 0.03753585473568562, "wp" => 0.0);Dict("m" => 0.49996244093211434, "w0" => 0.14768439420123625, "wp" => 0.7018161202233928);7.066260092
1.0;4.0;0.0;128.0;100.0;0.47;Dict("m" => 9.767621140634158e-7, "w0" => 0.028605435928984787, "wp" => 0.0);Dict("m" => 0.6106483911645615, "w0" => 0.35678979544144507, "wp" => 0.10879188507347212);7.571242046
1.0;4.0;0.0;128.0;100.0;0.48;Dict("m" => 4.273973393462948e-7, "w0" => 0.019374695550070355, "wp" => 0.0);Dict("m" => 0.4096151425191239, "w0" => 0.29243639800058396, "wp" => 0.5908709326297622);7.516251478
1.0;4.0;0.0;128.0;100.0;0.49;Dict("m" => 1.3356446642918793e-7, "w0" => 0.009840378167293195, "wp" => 0.0);Dict("m" => 0.26150450865007585, "w0" => 0.39712316404138037, "wp" => 0.8834053081206575);6.505648864
1.0;4.0;0.1;128.0;100.0;0.0;Dict("m" => 0.11768393790761401, "w0" => 0.190441850965964, "wp" => 4.927822201479437e-10);Dict("m" => 0.7501737817412757, "w0" => 0.21536102963737314, "wp" => 0.0002489022278343113);1.471363402
1.0;4.0;0.1;128.0;100.0;0.01;Dict("m" => 0.10744146047873952, "w0" => 0.1918741937528106, "wp" => 5.997069917146985e-11);Dict("m" => 0.899755177325573, "w0" => 0.23761280414424935, "wp" => 3.0055879131594263e-5);15.190778593
1.0;4.0;0.1;128.0;100.0;0.02;Dict("m" => 0.09635362692827044, "w0" => 0.19337738994515802, "wp" => 8.460855627669876e-11);Dict("m" => 0.8400881439071806, "w0" => 0.19907318382361705, "wp" => 4.206099191676392e-5);16.513886996
1.0;4.0;0.1;128.0;100.0;0.03;Dict("m" => 0.08406694475940088, "w0" => 0.19496468432027692, "wp" => 4.507985891213491e-12);Dict("m" => 0.8302355958250685, "w0" => 0.17191814476458234, "wp" => 2.2220506483637337e-6);18.619523421
1.0;4.0;0.1;128.0;100.0;0.04;Dict("m" => 0.06985797969844713, "w0" => 0.19666166118731593, "wp" => 2.0064069129186483e-12);Dict("m" => 0.8819822331683491, "w0" => 0.15211836329437345, "wp" => 9.80106285125727e-7);19.575014032
1.0;4.0;0.1;128.0;100.0;0.05;Dict("m" => 0.05144358777515331, "w0" => 0.1985622851658784, "wp" => 2.2496890041755333e-16);Dict("m" => 0.910211218691781, "w0" => 0.1147866475895154, "wp" => 1.087993997506564e-10);26.371909631
1.0;4.0;0.1;128.0;100.0;0.06;Dict("m" => 0.0030472821978435663, "w0" => 0.20109868476844592, "wp" => 1.6110936169397513e-6);Dict("m" => 0.7957553731467812, "w0" => 0.32279042195132446, "wp" => 0.7689213168068441);8.035218862
1.0;4.0;0.1;128.0;100.0;0.07;Dict("m" => 0.001458495933174959, "w0" => 0.20047923315055444, "wp" => 4.3567682210106404e-30);Dict("m" => 1.079860680360267, "w0" => 0.004253335534054603, "wp" => 8.364159465480352e-26);54.576556604
1.0;4.0;0.1;128.0;100.0;0.08;Dict("m" => 0.0005206769361005933, "w0" => 0.19974638907463205, "wp" => 3.8254607733066506e-20);Dict("m" => 0.9558104887692265, "w0" => 0.001672671295638306, "wp" => 1.8386497293419922e-14);35.123852994
1.0;4.0;0.1;128.0;100.0;0.09;Dict("m" => 0.00032516705709577105, "w0" => 0.19887245487826624, "wp" => 2.559697176718691e-17);Dict("m" => 0.947157882475563, "w0" => 0.0012408942814956525, "wp" => 1.2359110052372746e-11);29.398743376
1.0;4.0;0.1;128.0;100.0;0.1;Dict("m" => 0.00023296261671567971, "w0" => 0.197880170278978, "wp" => 1.627797869537699e-14);Dict("m" => 0.9402176127016565, "w0" => 0.0010688942767012044, "wp" => 7.900620364396637e-9);23.556143498
1.0;4.0;0.1;128.0;100.0;0.11;Dict("m" => 0.0001680363709527835, "w0" => 0.19673932973731445, "wp" => 6.83413052071008e-14);Dict("m" => 0.8711336179977616, "w0" => 0.0008739035728400069, "wp" => 3.337015602118428e-8);21.550147032
1.0;4.0;0.1;128.0;100.0;0.12;Dict("m" => 0.00013404767952795977, "w0" => 0.19546902157776033, "wp" => 1.7065874480510686e-12);Dict("m" => 0.8563094495400199, "w0" => 0.0008558746925069194, "wp" => 8.389413594437418e-7);19.118022497
1.0;4.0;0.1;128.0;100.0;0.13;Dict("m" => 0.00010343064680379559, "w0" => 0.19404578962193933, "wp" => 1.886202925057623e-11);Dict("m" => 0.7896939528527578, "w0" => 0.0007761920020610269, "wp" => 9.343160684055258e-6);17.454131274
1.0;4.0;0.1;128.0;100.0;0.14;Dict("m" => 9.471101016849412e-5, "w0" => 0.19247397190317186, "wp" => 1.1519809097265693e-10);Dict("m" => 0.8467889824419295, "w0" => 0.0010172990774770518, "wp" => 5.7547295472893084e-5);16.290657279
1.0;4.0;0.1;128.0;100.0;0.15;Dict("m" => 7.464374004157721e-5, "w0" => 0.19075344475328718, "wp" => 1.3908633926859707e-10);Dict("m" => 0.7698845714188479, "w0" => 0.0009087425836828977, "wp" => 7.013246918756145e-5);15.221402739
1.0;4.0;0.1;128.0;100.0;0.16;Dict("m" => 7.598413950690498e-5, "w0" => 0.18886799670587118, "wp" => 5.566298284349443e-9);Dict("m" => 0.8930628855253842, "w0" => 0.0009574147713520276, "wp" => 0.0028358638360401977);12.921074372
1.0;4.0;0.1;128.0;100.0;0.17;Dict("m" => 6.433713908656291e-5, "w0" => 0.1868235187385646, "wp" => 1.1434016471161233e-10);Dict("m" => 0.8540230966944852, "w0" => 0.0011087726492498007, "wp" => 5.891543010304593e-5);13.363433824
1.0;4.0;0.1;128.0;100.0;0.18;Dict("m" => 5.011052118552311e-5, "w0" => 0.18461578484174462, "wp" => 1.67723744502142e-10);Dict("m" => 0.7458796971740138, "w0" => 0.0018074971436243814, "wp" => 8.749569140398177e-5);12.801001602
1.0;4.0;0.1;128.0;100.0;0.19;Dict("m" => 4.586670498494145e-5, "w0" => 0.18223030967208137, "wp" => 1.2292124621285685e-9);Dict("m" => 0.7608009559330173, "w0" => 0.002392692142194619, "wp" => 0.0006499536439058156);12.260778721
1.0;4.0;0.1;128.0;100.0;0.2;Dict("m" => 4.637565162343119e-5, "w0" => 0.17966815385503432, "wp" => 1.1557285903445691e-8);Dict("m" => 0.8531469675672798, "w0" => 0.0011945866612572686, "wp" => 0.006201427775635715);10.731412108
1.0;4.0;0.1;128.0;100.0;0.21;Dict("m" => 3.976271327376383e-5, "w0" => 0.1769304040524838, "wp" => 1.3580507659888266e-8);Dict("m" => 0.8082913592386402, "w0" => 0.001180453091109701, "wp" => 0.007404011169732842);10.231364022
1.0;4.0;0.1;128.0;100.0;0.22;Dict("m" => 3.975151406796312e-5, "w0" => 0.1740111837756677, "wp" => 1.2106613215988838e-7);Dict("m" => 0.8901866431294095, "w0" => 0.008083636466316158, "wp" => 0.06715244803036508);8.700286165
1.0;4.0;0.1;128.0;100.0;0.23;Dict("m" => 8.828150469344908e-6, "w0" => 0.17090228895143805, "wp" => 9.770441844299775e-7);Dict("m" => 0.2172324698061745, "w0" => 0.21520968061627954, "wp" => 0.5521554275374837);7.193980785
1.0;4.0;0.1;128.0;100.0;0.24;Dict("m" => 2.7871193708818457e-5, "w0" => 0.1675985541880139, "wp" => 5.2598942767713786e-8);Dict("m" => 0.7520864203429518, "w0" => 0.001986739243120539, "wp" => 0.03033190990642488);9.105278893
1.0;4.0;0.1;128.0;100.0;0.25;Dict("m" => 2.433125773647742e-5, "w0" => 0.1640974809682603, "wp" => 3.856159722896493e-8);Dict("m" => 0.7189393855334125, "w0" => 0.009186927743543016, "wp" => 0.022727967103940778);9.208629761
1.0;4.0;0.1;128.0;100.0;0.26;Dict("m" => 2.7938020220941623e-5, "w0" => 0.16039515526566314, "wp" => 6.330901975807749e-8);Dict("m" => 0.9030083753783772, "w0" => 0.014061547311261524, "wp" => 0.03820446991905193);9.389996685
1.0;4.0;0.1;128.0;100.0;0.27;Dict("m" => 1.7765453452849752e-5, "w0" => 0.15648924182572063, "wp" => 5.980333099896072e-8);Dict("m" => 0.6277500754632658, "w0" => 0.011199905418368683, "wp" => 0.037019555744323224);9.307195578
1.0;4.0;0.1;128.0;100.0;0.28;Dict("m" => 1.96267368801034e-5, "w0" => 0.1523753049573402, "wp" => 7.284926868928134e-8);Dict("m" => 0.7580184343150198, "w0" => 0.011692536080465388, "wp" => 0.0463521246572679);8.913089619
1.0;4.0;0.1;128.0;100.0;0.29;Dict("m" => 2.1357253553031322e-5, "w0" => 0.1480477810623843, "wp" => 2.4935414116263316e-7);Dict("m" => 0.9016838072464223, "w0" => 0.0012569109816840118, "wp" => 0.16344106668302077);8.321563054
1.0;4.0;0.1;128.0;100.0;0.3;Dict("m" => 1.5314378802093794e-5, "w0" => 0.14350204556039384, "wp" => 1.3367283568699557e-7);Dict("m" => 0.7071331791851136, "w0" => 0.022141033211020567, "wp" => 0.09047703794404248);9.019083421
1.0;4.0;0.1;128.0;100.0;0.31;Dict("m" => 1.596331740329939e-6, "w0" => 0.13873392437226628, "wp" => 9.726563503725912e-7);Dict("m" => 0.08068631503267558, "w0" => 0.20475132892494585, "wp" => 0.6816402524574379);5.825475601
1.0;4.0;0.1;128.0;100.0;0.32;Dict("m" => 1.245195519457658e-5, "w0" => 0.13373918642262972, "wp" => 1.9687444045463014e-7);Dict("m" => 0.6898420963074978, "w0" => 0.1495750670804652, "wp" => 0.14327003596035737);8.062411062
1.0;4.0;0.1;128.0;100.0;0.33;Dict("m" => 1.358836984945842e-5, "w0" => 0.1285137073544163, "wp" => 1.173634499309323e-6);Dict("m" => 0.8265418413127874, "w0" => 0.06682171141469961, "wp" => 0.889764744146287);7.1241404
