t;U;V;Lx;β;δ;v;Q;ΔT
1.0;12.0;0.0;128.0;100.0;0.0;Dict("m" => 0.20682777311357123, "w0" => 0.13325377024857207, "wp" => 0.0);Dict("m" => 0.6769398171044272, "w0" => 0.8869119137014381, "wp" => 0.026279376705449085);1.472046955
1.0;12.0;0.0;128.0;100.0;0.01;Dict("m" => 0.2001800843838451, "w0" => 0.13525452691626508, "wp" => 0.0);Dict("m" => 0.5471459974867865, "w0" => 0.645606237149321, "wp" => 0.06963897579199088);10.217081802
1.0;12.0;0.0;128.0;100.0;0.02;Dict("m" => 0.19337860206019583, "w0" => 0.1373696497816613, "wp" => 0.0);Dict("m" => 0.8219733511810601, "w0" => 0.9244517567447152, "wp" => 0.029250279015258118);10.820711337
1.0;12.0;0.0;128.0;100.0;0.03;Dict("m" => 0.1864216856747012, "w0" => 0.13958560626256922, "wp" => 0.0);Dict("m" => 0.6781632582128494, "w0" => 0.3956459505838339, "wp" => 0.5092667020675151);8.143628107
1.0;12.0;0.0;128.0;100.0;0.04;Dict("m" => 0.17931525345740962, "w0" => 0.14188024024959145, "wp" => 0.0);Dict("m" => 0.7701052014336129, "w0" => 0.8128081968461487, "wp" => 0.0006194371435271401);9.989937249
1.0;12.0;0.0;128.0;100.0;0.05;Dict("m" => 0.1720233796856687, "w0" => 0.14427540480631493, "wp" => 0.0);Dict("m" => 0.778434585483323, "w0" => 0.7930079523774114, "wp" => 0.006969918579850182);10.569272942
1.0;12.0;0.0;128.0;100.0;0.06;Dict("m" => 0.16452808331096314, "w0" => 0.14676837469428838, "wp" => 0.0);Dict("m" => 0.9080810410647122, "w0" => 0.8784950610446485, "wp" => 0.014555989179972138);9.914721271
1.0;12.0;0.0;128.0;100.0;0.07;Dict("m" => 0.15677084426402493, "w0" => 0.1493902920164847, "wp" => 0.0);Dict("m" => 0.7031190512984953, "w0" => 0.6623595836383056, "wp" => 0.003749381666387143);11.685196866
1.0;12.0;0.0;128.0;100.0;0.08;Dict("m" => 0.14874236241582411, "w0" => 0.15211526342507325, "wp" => 0.0);Dict("m" => 0.7296318744692831, "w0" => 0.6530895599959896, "wp" => 0.004727430464308621);11.44585413
1.0;12.0;0.0;128.0;100.0;0.09;Dict("m" => 0.14038114667987842, "w0" => 0.15495669963762923, "wp" => 0.0);Dict("m" => 0.738031745189105, "w0" => 0.621444255066439, "wp" => 0.0025414964245935845);10.898152706
1.0;12.0;0.0;128.0;100.0;0.1;Dict("m" => 0.13163580524703647, "w0" => 0.15790466019569874, "wp" => 0.0);Dict("m" => 0.8246367916139863, "w0" => 0.6549290107030203, "wp" => 0.0006830546469693595);12.517727256
1.0;12.0;0.0;128.0;100.0;0.11;Dict("m" => 0.12240875960643148, "w0" => 0.1609704153564605, "wp" => 0.0);Dict("m" => 0.7735387984565689, "w0" => 0.5707183089881385, "wp" => 0.00037656497437846926);12.810349896
1.0;12.0;0.0;128.0;100.0;0.12;Dict("m" => 0.11261218902482018, "w0" => 0.16413609444255378, "wp" => 0.0);Dict("m" => 0.8881294640727955, "w0" => 0.6025409673715565, "wp" => 9.585077915630486e-5);13.882764421
1.0;12.0;0.0;128.0;100.0;0.13;Dict("m" => 0.10206055244728172, "w0" => 0.16741768369966178, "wp" => 0.0);Dict("m" => 0.9780758469528361, "w0" => 0.6013280053845937, "wp" => 4.755753346241973e-5);14.401090117
1.0;12.0;0.0;128.0;100.0;0.14;Dict("m" => 0.09047295872867647, "w0" => 0.1708274654106074, "wp" => 0.0);Dict("m" => 0.9572281876696342, "w0" => 0.5214795763797131, "wp" => 7.503895613464357e-6);15.781088914
1.0;12.0;0.0;128.0;100.0;0.15;Dict("m" => 0.07740390241996777, "w0" => 0.17436221891075396, "wp" => 0.0);Dict("m" => 0.9718540585702817, "w0" => 0.4529719358301043, "wp" => 9.122771388174787e-8);18.048883183
1.0;12.0;0.0;128.0;100.0;0.16;Dict("m" => 0.061943775683367376, "w0" => 0.17801178952756905, "wp" => 0.0);Dict("m" => 0.9484654370918444, "w0" => 0.35380895465120243, "wp" => 3.373169202763899e-8);18.357571708
1.0;12.0;0.0;128.0;100.0;0.17;Dict("m" => 0.04164238142929512, "w0" => 0.18174850727578942, "wp" => 0.0);Dict("m" => 0.9973892989703637, "w0" => 0.2504337029676784, "wp" => 1.2162665493744199e-17);36.88088923
1.0;12.0;0.0;128.0;100.0;0.18;Dict("m" => 0.012936984491426015, "w0" => 0.18410520193394597, "wp" => 4.134247348610739e-31);Dict("m" => 2.4916040701555495, "w0" => 0.19827992345039513, "wp" => 8.268494697221478e-27);53.594391596
1.0;12.0;0.0;128.0;100.0;0.19;Dict("m" => 0.001268634364227847, "w0" => 0.1822252911328569, "wp" => 1.1930097782657462e-31);Dict("m" => 1.0143667475038196, "w0" => 0.008563996562183096, "wp" => 2.386019556531492e-27);55.527084825
1.0;12.0;0.0;128.0;100.0;0.2;Dict("m" => 0.0006073226570119676, "w0" => 0.17966706960257853, "wp" => 0.0);Dict("m" => 0.9514215886964486, "w0" => 0.004538054864389185, "wp" => 1.16242551440693e-17);34.992796314
1.0;12.0;0.0;128.0;100.0;0.21;Dict("m" => 0.000388887605383346, "w0" => 0.17693003347495534, "wp" => 0.0);Dict("m" => 0.9137955649494192, "w0" => 0.003185953703355171, "wp" => 1.2524746968312895e-13);28.846521228
1.0;12.0;0.0;128.0;100.0;0.22;Dict("m" => 0.0003130670854170374, "w0" => 0.17401099759635272, "wp" => 0.0);Dict("m" => 0.9977699306842625, "w0" => 0.0032269656546901615, "wp" => 2.1431854727897647e-10);22.933840729
1.0;12.0;0.0;128.0;100.0;0.23;Dict("m" => 0.00023576722344388894, "w0" => 0.1709022511397708, "wp" => 0.0);Dict("m" => 0.9627607876326507, "w0" => 0.002734088155320613, "wp" => 3.246307301997402e-9);20.542891485
1.0;12.0;0.0;128.0;100.0;0.24;Dict("m" => 0.00018026715861289605, "w0" => 0.1675985956899267, "wp" => 0.0);Dict("m" => 0.9096254573263229, "w0" => 0.0023376199898006433, "wp" => 6.028336114133977e-7);15.803435644
1.0;12.0;0.0;128.0;100.0;0.25;Dict("m" => 0.0001555131824885307, "w0" => 0.1640975392728588, "wp" => 0.0);Dict("m" => 0.9460144355255596, "w0" => 0.0025371361728199204, "wp" => 6.018824218514603e-7);16.139221026
1.0;12.0;0.0;128.0;100.0;0.26;Dict("m" => 0.00011564006380831475, "w0" => 0.16039522823597205, "wp" => 0.0);Dict("m" => 0.8331574602556723, "w0" => 0.2717363759222047, "wp" => 0.34509729348591694);6.991484749
1.0;12.0;0.0;128.0;100.0;0.27;Dict("m" => 0.00010749923960049172, "w0" => 0.15648931268187702, "wp" => 0.0);Dict("m" => 0.9054141293445814, "w0" => 0.002516996298329577, "wp" => 0.00011937384866444232);12.186047218
1.0;12.0;0.0;128.0;100.0;0.28;Dict("m" => 8.821890476771722e-5, "w0" => 0.1523754064675722, "wp" => 0.0);Dict("m" => 0.8601059252190428, "w0" => 0.002717530697138315, "wp" => 4.001264859575982e-5);12.687698674
1.0;12.0;0.0;128.0;100.0;0.29;Dict("m" => 8.580918965436852e-5, "w0" => 0.1480478793586976, "wp" => 0.0);Dict("m" => 0.9611981940926085, "w0" => 0.004215675479257719, "wp" => 0.00026314783728820994);12.59904218
1.0;12.0;0.0;128.0;100.0;0.3;Dict("m" => 6.484961401767988e-5, "w0" => 0.14350214619501994, "wp" => 0.0);Dict("m" => 0.8298786061306408, "w0" => 0.003741113542565788, "wp" => 9.389914879452887e-5);11.463383381
1.0;12.0;0.0;128.0;100.0;0.31;Dict("m" => 5.362280050097159e-5, "w0" => 0.13873401819257947, "wp" => 0.0);Dict("m" => 0.7806805365934758, "w0" => 0.004625353906551055, "wp" => 0.0006698380958522725);11.042945812
1.0;12.0;0.0;128.0;100.0;0.32;Dict("m" => 5.443950644787042e-5, "w0" => 0.13373927184141415, "wp" => 0.0);Dict("m" => 0.8990584339625275, "w0" => 0.002334440949436356, "wp" => 0.00528143438724153);9.594530094
1.0;12.0;0.0;128.0;100.0;0.33;Dict("m" => 4.077851008053416e-5, "w0" => 0.12851380143185206, "wp" => 0.0);Dict("m" => 0.7625467754372147, "w0" => 0.007230937305868768, "wp" => 0.0017825327373840098);10.065415035
1.0;12.0;0.0;128.0;100.0;0.34;Dict("m" => 3.539330647131944e-5, "w0" => 0.12305354866402592, "wp" => 0.0);Dict("m" => 0.7488049026593456, "w0" => 0.002140353603519163, "wp" => 0.019912333400289937);7.694754696
1.0;12.0;0.0;128.0;100.0;0.35;Dict("m" => 3.603775568086549e-5, "w0" => 0.11735338202061184, "wp" => 0.0);Dict("m" => 0.8627403122640123, "w0" => 0.004249745172851815, "wp" => 0.0001183988997746035);9.505633758
1.0;12.0;0.0;128.0;100.0;0.36;Dict("m" => 2.7938706641239087e-5, "w0" => 0.1114073656660729, "wp" => 0.0);Dict("m" => 0.7576575294446883, "w0" => 0.018245110616488258, "wp" => 0.015349377839792571);8.505079411
1.0;12.0;0.0;128.0;100.0;0.37;Dict("m" => 2.462937281468321e-5, "w0" => 0.10521249339849131, "wp" => 0.0);Dict("m" => 0.7582114076635783, "w0" => 0.008964266474398297, "wp" => 0.015714450868869828);8.927627513
1.0;12.0;0.0;128.0;100.0;0.38;Dict("m" => 2.2470856726118965e-5, "w0" => 0.0987670394423662, "wp" => 0.0);Dict("m" => 0.7878892584874846, "w0" => 0.13665085229153107, "wp" => 0.18905206763411506);7.400744818
1.0;12.0;0.0;128.0;100.0;0.39;Dict("m" => 2.1660347810842298e-5, "w0" => 0.09206072958398868, "wp" => 0.0);Dict("m" => 0.8688989077844073, "w0" => 0.5190362227845691, "wp" => 0.8659281346215196);6.599695913
1.0;12.0;0.0;128.0;100.0;0.4;Dict("m" => 1.7308041579574728e-5, "w0" => 0.08509389664270767, "wp" => 0.0);Dict("m" => 0.7992378141279127, "w0" => 0.019821635840744367, "wp" => 0.08925508310850391);7.460199055
1.0;12.0;0.0;128.0;100.0;0.41;Dict("m" => 1.0243541834728377e-5, "w0" => 0.07786103798161123, "wp" => 0.0);Dict("m" => 0.5489163250653885, "w0" => 0.5372852650363524, "wp" => 0.5789287366753703);6.777839457
1.0;12.0;0.0;128.0;100.0;0.42;Dict("m" => 1.091260124055047e-5, "w0" => 0.07035947982532727, "wp" => 0.0);Dict("m" => 0.6858640500486337, "w0" => 0.1581569222115775, "wp" => 0.32132003396504194);6.852756128
1.0;12.0;0.0;128.0;100.0;0.43;Dict("m" => 8.96514388679774e-6, "w0" => 0.06257766058609121, "wp" => 0.0);Dict("m" => 0.6701782829541619, "w0" => 0.004217978175763415, "wp" => 0.09555617899803594);8.048675778
1.0;12.0;0.0;128.0;100.0;0.44;Dict("m" => 6.608735376210024e-6, "w0" => 0.05451737791961806, "wp" => 0.0);Dict("m" => 0.5989315151515934, "w0" => 0.06830121299906955, "wp" => 0.04019374406070661);7.341877537
1.0;12.0;0.0;128.0;100.0;0.45;Dict("m" => 5.104309361754616e-6, "w0" => 0.046170966736020065, "wp" => 0.0);Dict("m" => 0.5760026642113155, "w0" => 0.09037551544320566, "wp" => 0.6102194156983689);6.845947769
1.0;12.0;0.0;128.0;100.0;0.46;Dict("m" => 3.884216322963753e-6, "w0" => 0.03753585408436325, "wp" => 0.0);Dict("m" => 0.5677876594066025, "w0" => 0.23231468029419333, "wp" => 0.4414201012226117);6.7026946
1.0;12.0;0.0;128.0;100.0;0.47;Dict("m" => 1.8386433292832065e-6, "w0" => 0.028605435774810672, "wp" => 0.0);Dict("m" => 0.37090104081677855, "w0" => 0.5466135583995918, "wp" => 0.5256987456231232);6.706466037
1.0;12.0;0.0;128.0;100.0;0.48;Dict("m" => 2.3874502150188477e-6, "w0" => 0.019374695015596036, "wp" => 0.0);Dict("m" => 0.7467898540111716, "w0" => 0.009338031345083875, "wp" => 0.30481835603281077);6.196952126
