t;U;V;Lx;β;δ;v;Q;ΔT
1.0;0.0;1.0;80.0;100.0;0.1;Dict("m" => 9.15286193634351e-7, "w0" => 7.811954005701076e-5, "wp" => 1.2384451878163163e-7);Dict("m" => 0.5837200035281763, "w0" => 0.3357337292274499, "wp" => 0.15797504890137332);1.083210455
1.0;0.0;1.0;80.0;100.0;0.2;Dict("m" => 2.9558173565093297e-8, "w0" => 0.009159284772931745, "wp" => 5.910662782845581e-10);Dict("m" => 4.589816772089181e-5, "w0" => 0.47191440883006996, "wp" => 6.304525701975686e-6);0.20160801
1.0;0.0;1.0;80.0;100.0;0.3;Dict("m" => 1.2907953645085644e-9, "w0" => 0.018989762045970443, "wp" => 1.132796402643676e-11);Dict("m" => 2.826737820058473e-6, "w0" => 0.9830477273038698, "wp" => 5.797383142581213e-8);0.109133264
1.0;0.0;2.0;80.0;100.0;0.1;Dict("m" => 2.6317626701350427e-12, "w0" => 0.00011524214195749085, "wp" => 3.6598048853418767e-16);Dict("m" => 2.3881478338235255e-8, "w0" => 0.9724183399912992, "wp" => 1.5562625535988938e-10);0.47436709
1.0;0.0;2.0;80.0;100.0;0.2;Dict("m" => 1.8332012547243488e-13, "w0" => 0.009159284287286663, "wp" => 3.638865456248853e-18);Dict("m" => 1.3102658262320208e-10, "w0" => 0.4737701843564661, "wp" => 1.894835892973537e-14);0.213419117
1.0;0.0;2.0;80.0;100.0;0.3;Dict("m" => 1.6160301158581653e-14, "w0" => 0.01898955337594942, "wp" => 1.4077974299463029e-19);Dict("m" => 1.6715982431385322e-11, "w0" => 0.9830269088662756, "wp" => 3.498085713254222e-16);0.105110492
1.0;0.0;3.0;80.0;100.0;0.1;Dict("m" => 6.033592866026637e-17, "w0" => 0.00011522822366136807, "wp" => 7.23209742527264e-24);Dict("m" => 3.594226296738745e-13, "w0" => 0.9724766656750568, "wp" => 2.0296260100750364e-18);0.469850015
1.0;0.0;3.0;80.0;100.0;0.2;Dict("m" => 6.7762367158538965e-18, "w0" => 0.009159283745167656, "wp" => 1.1229642146763298e-25);Dict("m" => 2.9503528461459985e-15, "w0" => 0.47376923768332935, "wp" => 3.8041189664074967e-22);0.20922606
1.0;0.0;3.0;80.0;100.0;0.3;Dict("m" => 9.04454655109134e-19, "w0" => 0.018989356611161655, "wp" => 6.578061372016862e-27);Dict("m" => 5.871782060744762e-16, "w0" => 0.9830072865994, "wp" => 1.0571836009561612e-23);0.106413046
1.0;10.0;1.0;80.0;100.0;0.1;Dict("m" => 2.1297336094334526e-21, "w0" => 0.00011525538174356746, "wp" => 1.003201934615925e-31);Dict("m" => 1.7323175024807064e-17, "w0" => 0.9723544363379797, "wp" => 8.617523904134837e-26);0.452331315
