t;U;V;Lx;β;δ;v;Q;ΔT
1.0;0.0;1.0;80.0;100.0;0.1;Dict("m" => 0.09891284546737794, "w0" => 0.1814015339688164, "wp" => 0.0020379681514076705);Dict("m" => 0.6115740273871517, "w0" => 0.20333663805530422, "wp" => 0.9196601407182858);1.356617368
1.0;0.0;1.0;80.0;100.0;0.2;Dict("m" => 0.02018667406823814, "w0" => 0.18521169393284484, "wp" => 0.0002372570803966873);Dict("m" => 0.931516268961123, "w0" => 0.18350647081302462, "wp" => 0.10437477814384055);1.277650127
1.0;0.0;1.0;80.0;100.0;0.3;Dict("m" => 0.0036395389960372625, "w0" => 0.15785848778476766, "wp" => 0.001680724888758075);Dict("m" => 0.6179166078587558, "w0" => 0.20043074232772018, "wp" => 0.8966310391661257);0.860524355
1.0;0.0;2.0;80.0;100.0;0.1;Dict("m" => 0.17418230201080756, "w0" => 0.12184199186094613, "wp" => 0.0005070142425867467);Dict("m" => 0.9507389671621208, "w0" => 0.93207943295259, "wp" => 0.15736076958882075);0.841205251
1.0;0.0;2.0;80.0;100.0;0.2;Dict("m" => 0.11625407187906074, "w0" => 0.14527381743771464, "wp" => 0.002927689526452684);Dict("m" => 0.39782958345972036, "w0" => 0.5173197025811677, "wp" => 0.7148763264869968);1.049648693
1.0;0.0;2.0;80.0;100.0;0.3;Dict("m" => 0.051743118775498094, "w0" => 0.15876072553612908, "wp" => 0.0002850515903243503);Dict("m" => 0.9201956121171966, "w0" => 0.5167076801273707, "wp" => 0.061268804068873785);1.047209005
1.0;0.0;3.0;80.0;100.0;0.1;Dict("m" => 0.19371922803617608, "w0" => 0.08807289059745979, "wp" => 0.0023530882090143676);Dict("m" => 0.8182051643374849, "w0" => 0.04654107843834465, "wp" => 0.6552747979820157);0.826960997
1.0;0.0;3.0;80.0;100.0;0.2;Dict("m" => 0.1479432742595362, "w0" => 0.1054390218871462, "wp" => 0.003169117257367361);Dict("m" => 0.4965805902750503, "w0" => 0.5719052348790873, "wp" => 0.6849682236553455);0.931254623
1.0;0.0;3.0;80.0;100.0;0.3;Dict("m" => 0.10173278402807895, "w0" => 0.12291126526582452, "wp" => 0.00485059009465603);Dict("m" => 0.5416319050186802, "w0" => 0.5262908221519091, "wp" => 0.8304130600705086);0.901498226
1.0;10.0;1.0;80.0;100.0;0.1;Dict("m" => 0.1726961102171675, "w0" => 0.11752536978781976, "wp" => 0.0010227649548082717);Dict("m" => 0.1219695216067157, "w0" => 0.2211923120192652, "wp" => 0.7679738654878467);0.914851669
1.0;10.0;1.0;80.0;100.0;0.2;Dict("m" => 0.10756546104193682, "w0" => 0.14284140659716718, "wp" => 0.0014870178165255407);Dict("m" => 0.08732220429598925, "w0" => 0.7001655332505935, "wp" => 0.8923253630318451);0.758705452
1.0;10.0;1.0;80.0;100.0;0.3;Dict("m" => 0.03365867014377284, "w0" => 0.15102602865722065, "wp" => 0.0002682042722486648);Dict("m" => 0.9311970170546787, "w0" => 0.5899835693620292, "wp" => 0.15076768432999665);1.100906417
1.0;10.0;2.0;80.0;100.0;0.1;Dict("m" => 0.19076804854550353, "w0" => 0.08427836254706327, "wp" => 0.0014702980374352382);Dict("m" => 0.6631440111723647, "w0" => 0.7620813867150313, "wp" => 0.7252569807880203);0.857667205
