t;U;V;Lx;β;δ;v;Q;ΔT
0.7;4.0;0.0;256.0;100.0;0.0;Dict("m" => 0.13592084603575608, "w0" => 0.09215264104258497, "wp" => 0.0);Dict("m" => 0.8188971863301586, "w0" => 0.15941440659458794, "wp" => 0.00018161248522621147);6.595610959
0.7;4.0;0.0;256.0;100.0;0.05;Dict("m" => 0.0807881878689695, "w0" => 0.09668058116261675, "wp" => 0.0);Dict("m" => 0.9731726943267016, "w0" => 0.11336088435190406, "wp" => 5.764860976444422e-7);82.759647293
0.7;4.0;0.0;256.0;100.0;0.1;Dict("m" => 0.0004601384765034023, "w0" => 0.09893448956794547, "wp" => 0.0);Dict("m" => 0.9286824474337114, "w0" => 0.0008643334556412974, "wp" => 8.01832495653294e-15);146.72113003
0.7;4.0;0.0;256.0;100.0;0.15;Dict("m" => 0.00013099148752024749, "w0" => 0.0953727230494818, "wp" => 0.0);Dict("m" => 0.968075095468482, "w0" => 0.0006728694912361277, "wp" => 6.933910047477586e-6);75.038907002
0.7;4.0;0.0;256.0;100.0;0.2;Dict("m" => 6.978811805093717e-5, "w0" => 0.08983256997338197, "wp" => 0.0);Dict("m" => 0.9971074687991673, "w0" => 0.0019629998444792296, "wp" => 4.6312381301880505e-5);55.419563825
0.7;4.0;0.0;256.0;100.0;0.25;Dict("m" => 3.284718450465327e-5, "w0" => 0.08204635637784949, "wp" => 0.0);Dict("m" => 0.7808294762227664, "w0" => 0.0034591750441848035, "wp" => 0.007136971229916887);43.699873681
0.7;4.0;0.0;256.0;100.0;0.3;Dict("m" => 1.9784412180050357e-5, "w0" => 0.07174914961640584, "wp" => 0.0);Dict("m" => 0.7492487438881363, "w0" => 0.02800463088550864, "wp" => 0.03853095413204862);35.067974973
0.7;4.0;0.0;256.0;100.0;0.35;Dict("m" => 1.3399226417048272e-5, "w0" => 0.058673351193081466, "wp" => 0.0);Dict("m" => 0.8209253674454233, "w0" => 0.14223108117800143, "wp" => 0.17284953087577445);32.21920397
0.7;4.0;0.0;256.0;100.0;0.4;Dict("m" => 6.903015902107466e-6, "w0" => 0.0425455093373034, "wp" => 0.0);Dict("m" => 0.7452947789209953, "w0" => 0.5147575252210934, "wp" => 0.14672405298679625);30.172317744
0.7;4.0;0.0;256.0;100.0;0.45;Dict("m" => 2.714498101840889e-6, "w0" => 0.023083796657247718, "wp" => 0.0);Dict("m" => 0.6730734490217687, "w0" => 0.43310198674643974, "wp" => 0.4262533598081073);31.450413145
0.7;4.0;0.1;256.0;100.0;0.0;Dict("m" => 0.15779631488626777, "w0" => 0.08707918663742024, "wp" => 4.3004630394600337e-10);Dict("m" => 0.9582193319945809, "w0" => 0.2600075439629368, "wp" => 0.00033709740464022314);5.299385026
0.7;4.0;0.1;256.0;100.0;0.05;Dict("m" => 0.11068442315258303, "w0" => 0.09212754423600555, "wp" => 5.447033883531456e-11);Dict("m" => 0.8411020883701548, "w0" => 0.16275898430020974, "wp" => 4.029813497998438e-5);69.792541078
0.7;4.0;0.1;256.0;100.0;0.1;Dict("m" => 0.022900119576718603, "w0" => 0.09847898361682132, "wp" => 7.851013479983536e-31);Dict("m" => 1.2967347090477033, "w0" => 0.052140121495347636, "wp" => 1.526020997733804e-26);242.930089481
0.7;4.0;0.1;256.0;100.0;0.15;Dict("m" => 0.00021747586110563774, "w0" => 0.09537250295835903, "wp" => 6.527376226292039e-15);Dict("m" => 0.9339145761342169, "w0" => 0.0007356091398513787, "wp" => 4.6603128017627455e-9);98.168817997
0.7;4.0;0.1;256.0;100.0;0.2;Dict("m" => 9.239787215458776e-5, "w0" => 0.08983241251790273, "wp" => 4.199592889029775e-11);Dict("m" => 0.9221134203103506, "w0" => 0.0009859131010203637, "wp" => 3.1884517751223325e-5);62.698692219
0.7;4.0;0.1;256.0;100.0;0.25;Dict("m" => 4.027930315297274e-5, "w0" => 0.08204623024145818, "wp" => 5.546226450928678e-9);Dict("m" => 0.7174950025774324, "w0" => 0.0018254195865985423, "wp" => 0.004620991374328096);49.510746412
0.7;4.0;0.1;256.0;100.0;0.3;Dict("m" => 2.8574257807006677e-5, "w0" => 0.07174904892968574, "wp" => 1.0073180259242841e-7);Dict("m" => 0.8424609004038418, "w0" => 0.01395125795555785, "wp" => 0.09626161557785011);35.670972013
0.7;4.0;0.1;256.0;100.0;0.35;Dict("m" => 1.889856037651342e-5, "w0" => 0.0586732778112919, "wp" => 6.154231353737446e-8);Dict("m" => 0.9239669256158806, "w0" => 0.08470834688516227, "wp" => 0.07219196041689095);36.713798949
