t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;256.0;100.0;0.0;Dict("m" => 0.09412475321534805, "w0" => 0.19599803950214462, "wp" => 0.0);Dict("m" => 0.8520366508589505, "w0" => 0.1609490665283042, "wp" => 3.073796137752783e-5);5.768626726
1.0;4.0;0.0;256.0;100.0;0.05;Dict("m" => 0.001998917777466881, "w0" => 0.20160715921894543, "wp" => 6.1705941648953884e-31);Dict("m" => 1.250115476324218, "w0" => 0.005443232841684242, "wp" => 1.2341188329790776e-26);172.957360052
1.0;4.0;0.0;256.0;100.0;0.1;Dict("m" => 0.0001367351942675858, "w0" => 0.19787710786160262, "wp" => 0.0);Dict("m" => 0.9816355953246007, "w0" => 0.0009585473836892788, "wp" => 1.3998646557537973e-5);55.372842667
1.0;4.0;0.0;256.0;100.0;0.15;Dict("m" => 6.345803915093133e-5, "w0" => 0.1907521047312304, "wp" => 0.0);Dict("m" => 0.9423328575328805, "w0" => 0.002129361286740128, "wp" => 0.0006568728537381488);43.132611623
1.0;4.0;0.0;256.0;100.0;0.2;Dict("m" => 2.9925929695026285e-5, "w0" => 0.17967097148005298, "wp" => 0.0);Dict("m" => 0.7392192181743019, "w0" => 0.0002073018626203016, "wp" => 0.007756333228209322);31.369882176
1.0;4.0;0.0;256.0;100.0;0.25;Dict("m" => 2.186567691342295e-5, "w0" => 0.16409805405009847, "wp" => 0.0);Dict("m" => 0.8363602768860751, "w0" => 0.02267500572583625, "wp" => 0.05125614174412561);28.395549774
1.0;4.0;0.0;256.0;100.0;0.3;Dict("m" => 1.3468876984472127e-5, "w0" => 0.14350320849664322, "wp" => 0.0);Dict("m" => 0.7864740137550388, "w0" => 0.2111684466610253, "wp" => 0.2258096123225648);24.74249377
1.0;4.0;0.0;256.0;100.0;0.35;Dict("m" => 6.304551539603412e-6, "w0" => 0.11735102991764984, "wp" => 0.0);Dict("m" => 0.5788592163548837, "w0" => 0.04096776185014139, "wp" => 0.19463620123674163);25.3642285
1.0;4.0;0.0;256.0;100.0;0.4;Dict("m" => 3.669848876445734e-6, "w0" => 0.08509504169139166, "wp" => 0.0);Dict("m" => 0.5817994017681719, "w0" => 0.21973994109469874, "wp" => 0.2368010747000308);25.026930446
1.0;4.0;0.0;256.0;100.0;0.45;Dict("m" => 2.69186506214392e-6, "w0" => 0.04617130587377474, "wp" => 0.0);Dict("m" => 0.9651471280527921, "w0" => 0.3064566503226118, "wp" => 0.20221359992740134);20.662246694
1.0;4.0;0.1;256.0;100.0;0.0;Dict("m" => 0.11542328829050216, "w0" => 0.19108080043840017, "wp" => 4.272041528844252e-8);Dict("m" => 0.8656265385795225, "w0" => 0.23373066530663067, "wp" => 0.021930047434103112);3.926463349
1.0;4.0;0.1;256.0;100.0;0.05;Dict("m" => 0.04962573287516706, "w0" => 0.1988505978305405, "wp" => 2.4101209890213184e-17);Dict("m" => 0.937801855893719, "w0" => 0.11277611227156203, "wp" => 1.1879248113114277e-11);87.267345696
1.0;4.0;0.1;256.0;100.0;0.1;Dict("m" => 0.0002412516502949991, "w0" => 0.19804213525620787, "wp" => 4.1421415529255716e-13);Dict("m" => 0.9978945199223127, "w0" => 0.001173815143140633, "wp" => 2.0501241778197945e-7);65.882168228
1.0;4.0;0.1;256.0;100.0;0.15;Dict("m" => 8.303806842589811e-5, "w0" => 0.19114182620874492, "wp" => 1.3059855089140028e-8);Dict("m" => 0.8634813531658879, "w0" => 0.0014127248643136525, "wp" => 0.0067019484369548465);38.982891882
1.0;4.0;0.1;256.0;100.0;0.2;Dict("m" => 4.195766376864453e-5, "w0" => 0.18037674163418807, "wp" => 2.0357655786119594e-8);Dict("m" => 0.7725640051993938, "w0" => 0.0023124842951638414, "wp" => 0.011082610121020743);32.222695606
1.0;4.0;0.1;256.0;100.0;0.25;Dict("m" => 2.5130360841236446e-5, "w0" => 0.16516172846667151, "wp" => 3.460775016291339e-8);Dict("m" => 0.7391882695084004, "w0" => 5.9587366429969535e-5, "wp" => 0.02060777814289857);30.939852183
