t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;256.0;100.0;-0.1260571117748096;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.12398814625756822;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.12191918074032684;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.11985021522308546;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.11778124970584408;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.1157122841886027;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.11364331867136132;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.11157435315411994;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.10950538763687857;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.10743642211963719;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.10536745660239581;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.10329849108515443;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.10122952556791305;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.09916056005067167;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.09709159453343029;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.09502262901618891;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.09295366349894753;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.09088469798170615;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.08881573246446477;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.08674676694722339;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.084677801429982;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.08260883591274062;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.08053987039549926;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.07847090487825788;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.0764019393610165;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.07433297384377512;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.07226400832653374;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.07019504280929235;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.06812607729205097;0;0;0
1.0;4.0;0.0;256.0;100.0;-0.0660571117748096;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.016768624190038953;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.014699658672797574;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.012630693155556195;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.010561727638314814;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.008492762121073435;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.006423796603832056;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.004354831086590677;0;0;0
1.0;4.0;0.05;256.0;100.0;-0.002285865569349298;0;0;0
