t;U;V;Lx;β;δ;v;Q;ΔT
1.0;4.0;0.0;256.0;100.0;-0.1260571117748096;Dict("m" => 8.528159706783777e-5, "w0" => 0.19462394139375963, "wp" => 0.0);Dict("m" => 0.9356982614816963, "w0" => 0.00024222357952741191, "wp" => 0.0007450762883480782);38.310287253
1.0;4.0;0.0;256.0;100.0;-0.12398814625756822;Dict("m" => 7.387303815355408e-5, "w0" => 0.1949182730530018, "wp" => 0.0);Dict("m" => 0.7872284221806978, "w0" => 0.0009267591216666204, "wp" => 0.000147383598220317);44.383205894
1.0;4.0;0.0;256.0;100.0;-0.12191918074032684;Dict("m" => 9.506096792693583e-5, "w0" => 0.19520583959145865, "wp" => 0.0);Dict("m" => 0.9832519133241823, "w0" => 0.005180254369907544, "wp" => 0.0030091894978908676);34.40409451
1.0;4.0;0.0;256.0;100.0;-0.11985021522308546;Dict("m" => 8.472804073720765e-5, "w0" => 0.195486896413, "wp" => 0.0);Dict("m" => 0.8500490778677432, "w0" => 0.0009147809287846087, "wp" => 7.150411975403043e-5);45.545531742
1.0;4.0;0.0;256.0;100.0;-0.11778124970584408;Dict("m" => 8.277678211949696e-5, "w0" => 0.19576212003882262, "wp" => 0.0);Dict("m" => 0.8050070164864322, "w0" => 0.0008066854631505471, "wp" => 7.405063826350859e-6);47.252907443
1.0;4.0;0.0;256.0;100.0;-0.1157122841886027;Dict("m" => 8.526931824935447e-5, "w0" => 0.19603146477757002, "wp" => 0.0);Dict("m" => 0.8032585316634749, "w0" => 0.0007242990082700906, "wp" => 3.139543603940702e-5);42.950691107
1.0;4.0;0.0;256.0;100.0;-0.11364331867136132;Dict("m" => 0.00010457635161500065, "w0" => 0.19629440526465605, "wp" => 0.0);Dict("m" => 0.9534883933929978, "w0" => 0.000641693816694211, "wp" => 0.000715600209005407);39.038847304
1.0;4.0;0.0;256.0;100.0;-0.11157435315411994;Dict("m" => 9.867521161860111e-5, "w0" => 0.19655082709439944, "wp" => 0.0);Dict("m" => 0.8700132927248136, "w0" => 0.0005195770821919687, "wp" => 0.004146500577834916);36.567238681
1.0;4.0;0.0;256.0;100.0;-0.10950538763687857;Dict("m" => 9.736212712736793e-5, "w0" => 0.19680151054767092, "wp" => 0.0);Dict("m" => 0.8294292080298196, "w0" => 0.0007600217213910021, "wp" => 1.945461945410769e-6);47.727572533
1.0;4.0;0.0;256.0;100.0;-0.10743642211963719;Dict("m" => 0.00010254926714433573, "w0" => 0.19704666449684954, "wp" => 0.0);Dict("m" => 0.8433576377642772, "w0" => 0.0007670422214056671, "wp" => 6.8116751607462615e-6);49.439050948
1.0;4.0;0.0;256.0;100.0;-0.10536745660239581;Dict("m" => 0.00010105495361917353, "w0" => 0.19728555313968457, "wp" => 0.0);Dict("m" => 0.8014323288798068, "w0" => 0.0006753675965698314, "wp" => 2.0952193196937252e-6);50.382073411
1.0;4.0;0.0;256.0;100.0;-0.10329849108515443;Dict("m" => 0.00012152064948903477, "w0" => 0.19751804442054488, "wp" => 0.0);Dict("m" => 0.9282968785242558, "w0" => 8.947079299659322e-5, "wp" => 0.001971521706412595);36.225954276
1.0;4.0;0.0;256.0;100.0;-0.10122952556791305;Dict("m" => 0.0001116865441410419, "w0" => 0.1977448649083881, "wp" => 0.0);Dict("m" => 0.820866686723885, "w0" => 0.0006727276305462659, "wp" => 1.9967417336493015e-6);51.026914244
1.0;4.0;0.0;256.0;100.0;-0.09916056005067167;Dict("m" => 0.0001232209968413552, "w0" => 0.19796628945245962, "wp" => 0.0);Dict("m" => 0.8703187444125037, "w0" => 0.0007389635178767229, "wp" => 4.859592447095418e-6);47.284525182
1.0;4.0;0.0;256.0;100.0;-0.09709159453343029;Dict("m" => 0.0001278443305316063, "w0" => 0.19818191250414263, "wp" => 0.0);Dict("m" => 0.866568884402874, "w0" => 0.0007288839193320129, "wp" => 6.167260905500914e-7);52.359605298
1.0;4.0;0.0;256.0;100.0;-0.09502262901618891;Dict("m" => 0.000153664263704646, "w0" => 0.1983912328484498, "wp" => 0.0);Dict("m" => 0.9980075716853936, "w0" => 0.0009493618888245514, "wp" => 2.894054524585962e-6);51.609458827
1.0;4.0;0.0;256.0;100.0;-0.09295366349894753;Dict("m" => 0.0001563823398579894, "w0" => 0.19859472820457352, "wp" => 0.0);Dict("m" => 0.9715819410442217, "w0" => 0.000895054759197933, "wp" => 8.733319738275614e-7);52.286307952
1.0;4.0;0.0;256.0;100.0;-0.09088469798170615;Dict("m" => 0.00016213074085268117, "w0" => 0.1987930862290637, "wp" => 0.0);Dict("m" => 0.9620054973392675, "w0" => 0.0008729122574768766, "wp" => 5.734103484795936e-7);55.560926666
1.0;4.0;0.0;256.0;100.0;-0.08881573246446477;Dict("m" => 0.00015949648903742654, "w0" => 0.19898603603668547, "wp" => 0.0);Dict("m" => 0.9021289790954481, "w0" => 0.00076507113783153, "wp" => 5.840853611990814e-8);59.418254864
1.0;4.0;0.0;256.0;100.0;-0.08674676694722339;Dict("m" => 0.00015996333300419532, "w0" => 0.19917300045547345, "wp" => 0.0);Dict("m" => 0.8605532984849633, "w0" => 0.0006959054679733789, "wp" => 2.7588475902404405e-7);55.620131002
1.0;4.0;0.0;256.0;100.0;-0.084677801429982;Dict("m" => 0.00018217138260682997, "w0" => 0.1993540082081079, "wp" => 0.0);Dict("m" => 0.929849922409784, "w0" => 0.0008148651664541262, "wp" => 4.054586352082079e-8);59.288009405
1.0;4.0;0.0;256.0;100.0;-0.08260883591274062;Dict("m" => 0.00019179419203172625, "w0" => 0.19952976283929236, "wp" => 0.0);Dict("m" => 0.9265042402391228, "w0" => 0.0008141165375175063, "wp" => 1.4487203736602057e-7);58.438458777
1.0;4.0;0.0;256.0;100.0;-0.08053987039549926;Dict("m" => 0.00019581209088989786, "w0" => 0.19970058607774208, "wp" => 0.0);Dict("m" => 0.8927778686814637, "w0" => 0.0007637789414816076, "wp" => 1.2879184107592242e-8);64.280540245
1.0;4.0;0.0;256.0;100.0;-0.07847090487825788;Dict("m" => 0.00020470679441771052, "w0" => 0.19986594843298322, "wp" => 0.0);Dict("m" => 0.8780170437690351, "w0" => 0.000749189538740147, "wp" => 1.3359750822742723e-9);68.289899492
1.0;4.0;0.0;256.0;100.0;-0.0764019393610165;Dict("m" => 0.0002367227513516071, "w0" => 0.20002539138889583, "wp" => 0.0);Dict("m" => 0.9514482858503198, "w0" => 0.0008958976821515918, "wp" => 1.6634843662639796e-7);58.172991228
1.0;4.0;0.0;256.0;100.0;-0.07433297384377512;Dict("m" => 0.00023302099234084027, "w0" => 0.20017933402191035, "wp" => 0.0);Dict("m" => 0.8738806960323581, "w0" => 0.0007734064783049277, "wp" => 4.469132953385166e-10);71.431175813
1.0;4.0;0.0;256.0;100.0;-0.07226400832653374;Dict("m" => 0.0002709641102824207, "w0" => 0.2003283889718867, "wp" => 0.0);Dict("m" => 0.9437794192714211, "w0" => 0.0009279934937156398, "wp" => 1.5150737469376447e-10);76.013739821
1.0;4.0;0.0;256.0;100.0;-0.07019504280929235;Dict("m" => 0.0002802093349947049, "w0" => 0.2004726593463537, "wp" => 0.0);Dict("m" => 0.9015771543243708, "w0" => 0.0008764283629392189, "wp" => 1.7387163546470603e-8);64.712797721
1.0;4.0;0.0;256.0;100.0;-0.06812607729205097;Dict("m" => 0.0003383197110186658, "w0" => 0.20061151230521093, "wp" => 0.0);Dict("m" => 0.998849504188459, "w0" => 0.0011210436112740751, "wp" => 2.4881675646107114e-12);78.370311582
1.0;4.0;0.0;256.0;100.0;-0.0660571117748096;Dict("m" => 0.00034052418957540445, "w0" => 0.2007447172111068, "wp" => 0.0);Dict("m" => 0.9149574906954367, "w0" => 0.0009882334342514731, "wp" => 2.4661313539865752e-12);86.065417177
1.0;4.0;0.08;256.0;100.0;0.0024488454538750953;Dict("m" => 0.11075480271849089, "w0" => 0.1920051138355344, "wp" => 2.1164832393524637e-9);Dict("m" => 0.9363516492849611, "w0" => 0.24450543447240847, "wp" => 0.0013355551067473935);38.694279886
1.0;4.0;0.08;256.0;100.0;0.004517810971116474;Dict("m" => 0.10861509100599732, "w0" => 0.19228861955751853, "wp" => 1.2298998956267112e-9);Dict("m" => 0.9550263462856923, "w0" => 0.24537949401826076, "wp" => 0.00077491779818256);41.971545095
1.0;4.0;0.08;256.0;100.0;0.006586776488357854;Dict("m" => 0.1064398421346115, "w0" => 0.19257542108706896, "wp" => 4.446235087709908e-10);Dict("m" => 0.9396297960799493, "w0" => 0.23645490761975418, "wp" => 0.0002797115656670085);40.61298544
1.0;4.0;0.08;256.0;100.0;0.008655742005599234;Dict("m" => 0.1042267079391197, "w0" => 0.19286561767740465, "wp" => 2.3477312159818785e-10);Dict("m" => 0.8922049173400171, "w0" => 0.22007067740276165, "wp" => 0.00014746588296418094);42.518375178
1.0;4.0;0.08;256.0;100.0;0.010724707522840613;Dict("m" => 0.1019761542301866, "w0" => 0.1931585759912343, "wp" => 4.374739216751804e-10);Dict("m" => 0.8403625728067854, "w0" => 0.20275594435376076, "wp" => 0.000274356402986533);44.009402954
1.0;4.0;0.08;256.0;100.0;0.012793673040081992;Dict("m" => 0.09947643799410949, "w0" => 0.19350351595466092, "wp" => 1.3663458544731353e-10);Dict("m" => 0.8753516994521038, "w0" => 0.20474053152891303, "wp" => 8.553079602157269e-5);46.074449817
