t,U,V,Lx,β,δ,v,Q,ΔT,μ
0.7,4.0,0.0,128,100.0,0.0,"Dict(""m"" => 0.13587499212678764, ""w0"" => 0.0921571022276104, ""wp"" => 0.0)","Dict(""m"" => 0.7793617007839648, ""w0"" => 0.13940776228862917, ""wp"" => 0.007655892051693259)",1.225100412,0.0
0.7,4.0,0.0,128,100.0,0.01,"Dict(""m"" => 0.12644907125739205, ""w0"" => 0.0929800529153598, ""wp"" => 0.0)","Dict(""m"" => 0.8010524619936343, ""w0"" => 0.1448988878827162, ""wp"" => 7.389267432660621e-5)",14.921385874,0.49491973223808217
0.7,4.0,0.0,128,100.0,0.02,"Dict(""m"" => 0.11648041017718483, ""w0"" => 0.09383414955319916, ""wp"" => 0.0)","Dict(""m"" => 0.9044021198911789, ""w0"" => 0.1462592400941487, ""wp"" => 0.00625404762161825)",12.849672472,0.4650963196043178
0.7,4.0,0.0,128,100.0,0.03,"Dict(""m"" => 0.10576199573225656, ""w0"" => 0.09473114083620382, ""wp"" => 0.0)","Dict(""m"" => 0.83922173112011, ""w0"" => 0.12710047210470754, ""wp"" => 0.00019919352999678375)",15.406291203,0.4304005862695982
0.7,4.0,0.0,128,100.0,0.04,"Dict(""m"" => 0.09404782836677711, ""w0"" => 0.09567388706073478, ""wp"" => 0.0)","Dict(""m"" => 0.9697959435961412, ""w0"" => 0.13127459427719756, ""wp"" => 1.2378500681161316e-5)",17.719209299,0.39227701369918716
0.7,4.0,0.0,128,100.0,0.05,"Dict(""m"" => 0.0807639175521484, ""w0"" => 0.09668321958673147, ""wp"" => 0.0)","Dict(""m"" => 0.8715953760901618, ""w0"" => 0.10146420560505631, ""wp"" => 3.727626387212345e-7)",21.520331721,0.3506295766619026
0.7,4.0,0.0,128,100.0,0.06,"Dict(""m"" => 0.06497728104217673, ""w0"" => 0.09775902958618607, ""wp"" => 0.0)","Dict(""m"" => 0.9039644743286113, ""w0"" => 0.08475772128341275, ""wp"" => 1.8590971474009464e-9)",25.581058811,0.30625914485770234
0.7,4.0,0.0,128,100.0,0.07,"Dict(""m"" => 0.04437651486357094, ""w0"" => 0.09887684711009517, ""wp"" => 0.0)","Dict(""m"" => 0.9853490973310564, ""w0"" => 0.06305301316525402, ""wp"" => 1.2140235202312116e-14)",34.357738563,0.26153564449011174
0.7,4.0,0.0,128,100.0,0.08,"Dict(""m"" => 0.011832288286981426, ""w0"" => 0.09976696993228146, ""wp"" => 4.982772541950414e-31)","Dict(""m"" => 2.238245317293212, ""w0"" => 0.03891555725679674, ""wp"" => 9.965545083900827e-27)",59.140705334,0.22981474469871993
0.7,4.0,0.0,128,100.0,0.09,"Dict(""m"" => 0.0009068592987229237, ""w0"" => 0.09943205815411861, ""wp"" => 0.0)","Dict(""m"" => 0.9610838982074396, ""w0"" => 0.0014990107934098607, ""wp"" => 8.467887287692668e-24)",52.746234307,0.26192002301551964
0.7,4.0,0.0,128,100.0,0.1,"Dict(""m"" => 0.00046697401533446654, ""w0"" => 0.09893587495201747, ""wp"" => 0.0)","Dict(""m"" => 0.9436286085637746, ""w0"" => 0.0008918577570904418, ""wp"" => 8.600282218680374e-15)",35.561411683,0.29870805072654033
0.7,4.0,0.0,128,100.0,0.11,"Dict(""m"" => 0.0003315797592614655, ""w0"" => 0.09836612675541623, ""wp"" => 0.0)","Dict(""m"" => 0.9963617869316357, ""w0"" => 0.0007891088971145876, ""wp"" => 2.6486173886035248e-11)",27.780106671,0.3372996831672565
0.7,4.0,0.0,128,100.0,0.12,"Dict(""m"" => 0.000223880700354859, ""w0"" => 0.09773071329998666, ""wp"" => 0.0)","Dict(""m"" => 0.9032683712827457, ""w0"" => 0.0005759284198159076, ""wp"" => 5.0796262749776945e-12)",25.21053239,0.3780019365869391
0.7,4.0,0.0,128,100.0,0.13,"Dict(""m"" => 0.00019313841242716827, ""w0"" => 0.09701946559234145, ""wp"" => 0.0)","Dict(""m"" => 0.9853070772269519, ""w0"" => 0.0006532745719378674, ""wp"" => 8.821524868386057e-8)",21.457029164,0.41761808558852853
0.7,4.0,0.0,128,100.0,0.14,"Dict(""m"" => 0.00013677675012459427, ""w0"" => 0.09623385200658915, ""wp"" => 0.0)","Dict(""m"" => 0.850498133039319, ""w0"" => 0.0004900880111458061, ""wp"" => 4.949140106541926e-7)",20.476396342,0.4615742059210639
0.7,4.0,0.0,128,100.0,0.15,"Dict(""m"" => 0.00012711315993077415, ""w0"" => 0.09537344816183443, ""wp"" => 0.0)","Dict(""m"" => 0.9395353781102195, ""w0"" => 0.0006290166226774474, ""wp"" => 1.4784531444265922e-6)",18.284624761,0.504918775611466
0.7,4.0,0.0,128,100.0,0.16,"Dict(""m"" => 0.00010357300021751914, ""w0"" => 0.09443101243695662, ""wp"" => 0.0)","Dict(""m"" => 0.8928685082405124, ""w0"" => 0.0006314100237103659, ""wp"" => 9.488907938323635e-6)",17.763425105,0.5492913464217444
0.7,4.0,0.0,128,100.0,0.17,"Dict(""m"" => 9.17791624422429e-5, ""w0"" => 0.09340879455595431, ""wp"" => 0.0)","Dict(""m"" => 0.9103392414607452, ""w0"" => 0.0007668082691036915, ""wp"" => 0.00012337941024174762)",15.893129799,0.5967881959339505
0.7,4.0,0.0,128,100.0,0.18,"Dict(""m"" => 7.029590745890029e-5, ""w0"" => 0.09230455494656536, ""wp"" => 0.0)","Dict(""m"" => 0.7937958634093508, ""w0"" => 0.0007411426089509732, ""wp"" => 8.992385511956063e-7)",15.240243974,0.6435461329146468
0.7,4.0,0.0,128,100.0,0.19,"Dict(""m"" => 6.482554941034123e-5, ""w0"" => 0.09111216104159155, ""wp"" => 0.0)","Dict(""m"" => 0.8261470801823921, ""w0"" => 0.0018339503614350772, ""wp"" => 0.009282868101779574)",12.049689187,0.6906987003849854
