# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-07T11:47:41.273]
0.5,2.0,32.0,0.1,0.0,2.059815904134457e-6,0.816564371043402,0.534971489
0.5,2.0,32.0,0.1,0.05,1.8568425832937298e-6,0.7351694236935914,0.087160634
0.5,2.0,32.0,0.1,0.1,1.6131494698795843e-6,0.650237206372944,0.082184159
0.5,2.0,32.0,0.1,0.15,1.3448639618111277e-6,0.5631238882467619,0.086111557
0.5,2.0,32.0,0.1,0.2,2.0909208445507645e-6,0.9299545507508136,0.080094998
0.5,2.0,32.0,0.1,0.25,1.5679537860603072e-6,0.7602768779344821,0.079300521
0.5,2.0,32.0,0.1,0.3,1.0874640055575585e-6,0.5938465935787427,0.083142532
0.5,2.0,32.0,0.1,0.35,1.3269895879106006e-6,0.8525428760233761,0.080088163
0.5,2.0,32.0,0.1,0.4,6.837069889698963e-7,0.5514063445200824,0.07967211
0.5,2.0,32.0,0.1,0.45,4.6655143657382795e-7,0.5281002572617611,0.079173372
0.5,2.0,32.0,0.1,0.5,0.0,0.0,0.04416411
0.5,2.0,32.0,1.0,0.0,1.242759916221016e-5,0.6650472007996467,0.106696344
0.5,2.0,32.0,1.0,0.05,1.132778582012598e-5,0.6034513519232256,0.106676281
0.5,2.0,32.0,1.0,0.1,1.4802382670002338e-5,0.8403060233312384,0.106586719
0.5,2.0,32.0,1.0,0.15,9.400279889077855e-6,0.6081266814852878,0.094372483
0.5,2.0,32.0,1.0,0.2,9.213316065774908e-6,0.7246138201858603,0.087369792
0.5,2.0,32.0,1.0,0.25,8.343849184689307e-6,0.8475031974146875,0.080724723
0.5,2.0,32.0,1.0,0.3,7.179946857097488e-6,0.9949306106899306,0.078434192
0.5,2.0,32.0,1.0,0.35,3.0709061802628086e-6,0.6109833775581138,0.07761309
0.5,2.0,32.0,1.0,0.4,2.2085636715349275e-6,0.668306214481905,0.072676503
0.5,2.0,32.0,1.0,0.45,1.148593431518521e-6,0.5802877552137725,0.066359061
0.5,2.0,32.0,1.0,0.5,0.0,0.0,0.006757535
0.5,2.0,32.0,10.0,0.0,5.570955005826856e-5,0.7807610748781766,0.142482197
0.5,2.0,32.0,10.0,0.05,6.594130342183216e-5,0.8746752141858211,0.148305947
0.5,2.0,32.0,10.0,0.1,2.6348340816368057e-5,0.7267273677194452,0.121463325
0.5,2.0,32.0,10.0,0.15,1.5149636350071802e-5,0.8072168886985842,0.102483156
0.5,2.0,32.0,10.0,0.2,7.962392259201447e-6,0.6708582189243542,0.085104974
0.5,2.0,32.0,10.0,0.25,5.923788011268477e-6,0.7260407471436401,0.079074973
0.5,2.0,32.0,10.0,0.3,4.992675485391894e-6,0.8704135265068452,0.077154391
0.5,2.0,32.0,10.0,0.35,2.2132901163841394e-6,0.5536846972086896,0.080295555
0.5,2.0,32.0,10.0,0.4,1.687401062758629e-6,0.6310101398811563,0.069171035
0.5,2.0,32.0,10.0,0.45,9.192398410432602e-7,0.563391003496432,0.067061933
