# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-06T11:11:03.857]
0.5,2.0,32.0,Inf,0.0,0.04525584420807225,0.6227871187579337,0.524142798
0.5,2.0,32.0,Inf,0.1,1.8474790209261093e-5,0.5721038821282641,0.047569893
0.5,2.0,32.0,Inf,0.2,3.609232064402341e-6,0.31119961167962584,0.037811613
0.5,2.0,32.0,Inf,0.3,1.6813233390737962e-6,0.2973346372982763,0.027384751
1.0,1.0,32.0,Inf,0.0,0.0756329137670538,0.7528625883101991,0.08905735
1.0,1.0,32.0,Inf,0.1,5.163843442975435e-5,0.5413446523670764,0.098528795
1.0,1.0,32.0,Inf,0.2,2.4050633703556073e-5,0.9166083816413789,0.04859279
1.0,1.0,32.0,Inf,0.3,2.797499613877996e-6,0.2333752529694831,0.044091864
1.5,0.6666666666666666,32.0,Inf,0.0,0.12834620822197298,0.6011558373816839,0.108031749
1.5,0.6666666666666666,32.0,Inf,0.1,0.0002373213923992349,0.8675495003846337,0.179706142
1.5,0.6666666666666666,32.0,Inf,0.2,2.635275846865464e-5,0.5817215150673826,0.062164316
1.5,0.6666666666666666,32.0,Inf,0.3,3.5683795515108393e-6,0.1865615457935774,0.046927315
2.0,0.5,32.0,Inf,0.0,0.18825191189059953,0.9023140909397709,0.10830332
2.0,0.5,32.0,Inf,0.1,0.0053097606135493304,1.3067329448709832,0.790219756
2.0,0.5,32.0,Inf,0.2,4.20192663817313e-5,0.5906146324031508,0.073654179
2.0,0.5,32.0,Inf,0.3,1.8896660284251933e-5,0.6937228648008082,0.050507842
2.5,0.4,32.0,Inf,0.0,0.2403937856326964,0.6577161501658546,0.085971484
2.5,0.4,32.0,Inf,0.1,0.12748028976752818,0.8153522893639131,0.383545163
2.5,0.4,32.0,Inf,0.2,0.00010594820388717728,0.9794536152622156,0.098412658
2.5,0.4,32.0,Inf,0.3,1.957253570249526e-5,0.5356830871875977,0.056063655
3.0,0.3333333333333333,32.0,Inf,0.0,0.28306591365284384,0.5425225953231694,0.077648722
3.0,0.3333333333333333,32.0,Inf,0.1,0.18849740002985743,0.04963060034807176,0.194620849
3.0,0.3333333333333333,32.0,Inf,0.2,0.0001364642470756542,0.7682632801698702,0.121749995
3.0,0.3333333333333333,32.0,Inf,0.3,2.27890147836737e-5,0.4639289053848459,0.063530434
3.5,0.2857142857142857,32.0,Inf,0.0,0.31754166916055965,0.5282811870888082,0.075810615
3.5,0.2857142857142857,32.0,Inf,0.1,0.23319104877883903,0.6696930110355881,0.091671847
3.5,0.2857142857142857,32.0,Inf,0.2,0.0002602183150429448,0.9748250802375313,0.160453788
3.5,0.2857142857142857,32.0,Inf,0.3,2.950335020755068e-5,0.4726664522796923,0.070531764
4.0,0.25,32.0,Inf,0.0,0.3453626114234857,0.6166748658470445,0.056572128
4.0,0.25,32.0,Inf,0.1,0.2735137394965814,0.7469853079383748,0.264429174
4.0,0.25,32.0,Inf,0.2,0.000467015903347335,0.9470723807234701,0.239003952
4.0,0.25,32.0,Inf,0.3,4.018258479573733e-5,0.5366665706332238,0.080187906
4.5,0.2222222222222222,32.0,Inf,0.0,0.3678974341328448,0.8711422589852136,0.05309859
4.5,0.2222222222222222,32.0,Inf,0.1,0.3008605136344636,0.9238332078748135,0.068132432
4.5,0.2222222222222222,32.0,Inf,0.2,0.0013916395921987244,0.9625023033264465,0.514902175
4.5,0.2222222222222222,32.0,Inf,0.3,5.980236726481943e-5,0.6435107366945519,0.088026671
5.0,0.2,32.0,Inf,0.0,0.38622323192048025,0.4493631605795301,0.052596315
5.0,0.2,32.0,Inf,0.1,0.3227464534102913,0.541438559248375,0.105394665
5.0,0.2,32.0,Inf,0.2,0.07885525252627539,12.259447005525114,0.770917497
5.0,0.2,32.0,Inf,0.3,9.859693707640327e-5,0.8562712097677212,0.099627876
5.5,0.18181818181818182,32.0,Inf,0.0,0.401289151849497,0.8536204448261753,0.044557085
5.5,0.18181818181818182,32.0,Inf,0.1,0.3406882121028096,0.8603536565149339,0.062056845
5.5,0.18181818181818182,32.0,Inf,0.2,0.13068478779700582,0.9024312204342078,0.307730543
5.5,0.18181818181818182,32.0,Inf,0.3,0.00010125252290967773,0.7073466332750614,0.104275034
6.0,0.16666666666666666,32.0,Inf,0.0,0.41371610880460197,0.48905086906969597,0.04955134
6.0,0.16666666666666666,32.0,Inf,0.1,0.3554927053885774,0.911384923483749,0.248684093
6.0,0.16666666666666666,32.0,Inf,0.2,0.16691905763121428,0.8079793733820062,0.159946191
6.0,0.16666666666666666,32.0,Inf,0.3,0.00014213632581491542,0.7917661294628994,0.170603868
6.5,0.15384615384615385,32.0,Inf,0.0,0.42407238941028463,0.28232569928732243,0.055474927
6.5,0.15384615384615385,32.0,Inf,0.1,0.36781745244524233,0.6525553693625952,0.093897901
6.5,0.15384615384615385,32.0,Inf,0.2,0.1934644388022476,0.6168536714015738,0.306846919
6.5,0.15384615384615385,32.0,Inf,0.3,0.00017992751855068622,0.7867768373313793,0.135803987
7.0,0.14285714285714285,32.0,Inf,0.0,0.43278290761855387,0.8022972873156231,0.035486887
