# U, V, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-25T08:41:12.678]
4.0,0.2,32.0,100.0,0.0,0.03409120003747938,0.787189351406583,0.568785154
4.0,0.2,32.0,100.0,0.1,0.01447735916659422,0.9904974365850926,1.030959735
4.0,0.2,32.0,100.0,0.2,0.005028493569631722,0.7370600249324073,0.921187095
4.0,0.2,32.0,100.0,0.3,0.0020649752668627525,0.708580663947728,0.824247701
4.0,0.2,32.0,Inf,0.0,0.034717993221016645,0.8032815676726403,0.659183055
4.0,0.2,32.0,Inf,0.1,0.013792955394817548,0.8337415874647517,1.154668421
4.0,0.2,32.0,Inf,0.2,0.006475073157298239,0.8733721608098932,0.63701859
4.0,0.2,32.0,Inf,0.3,0.0019911629195533925,0.6533835091923225,0.842532524
4.0,0.4,32.0,100.0,0.0,0.10999669818634616,0.7265016274701608,0.173401789
4.0,0.4,32.0,100.0,0.1,0.07102205592887509,0.8454038651023899,1.152686259
4.0,0.4,32.0,100.0,0.2,0.02184386707498405,0.8913211911171267,0.09719258
4.0,0.4,32.0,100.0,0.3,0.0065313099659583445,0.8209302103306084,0.897149077
4.0,0.4,32.0,Inf,0.0,0.11082393303831849,0.8335962662795029,1.054126937
4.0,0.4,32.0,Inf,0.1,0.07229662126952055,0.9042783957655495,1.126315352
4.0,0.4,32.0,Inf,0.2,0.021912648410693944,0.8480839757453944,1.078333849
4.0,0.4,32.0,Inf,0.3,0.007200358914739628,0.8727004696966967,0.982196418
4.0,0.6,32.0,100.0,0.0,0.2199743397342317,0.8302799650884124,0.126764114
4.0,0.6,32.0,100.0,0.1,0.17534755233467256,0.8436896756598339,1.100827713
4.0,0.6,32.0,100.0,0.2,0.06712236225711697,0.8511086179141438,1.352986714
4.0,0.6,32.0,100.0,0.3,0.01641640445717009,0.9405034264028184,0.990521838
4.0,0.6,32.0,Inf,0.0,0.21956708657254823,0.7666652595457207,0.956399837
4.0,0.6,32.0,Inf,0.1,0.15287120903126888,0.9796214424963479,0.292766877
4.0,0.6,32.0,Inf,0.2,0.07003293167540794,0.9819202239481156,1.249319962
4.0,0.6,32.0,Inf,0.3,0.017050571399512385,0.932739320329767,1.086850038
4.0,0.8,32.0,100.0,0.0,0.337381050932636,0.9515855068150836,0.145915455
4.0,0.8,32.0,100.0,0.1,0.28625574873987886,0.9979434087571515,1.420689828
4.0,0.8,32.0,100.0,0.2,0.16490632888291312,0.9147745895882353,0.990123576
4.0,0.8,32.0,100.0,0.3,0.03365504083401664,0.8475284148154939,1.191500693
4.0,0.8,32.0,Inf,0.0,0.3374635879606376,0.9380285366642649,0.535306122
4.0,0.8,32.0,Inf,0.1,0.30150900528314506,0.8174575280231577,1.13998334
4.0,0.8,32.0,Inf,0.2,0.11445858612037818,0.9947434870855754,0.812495173
4.0,0.8,32.0,Inf,0.3,0.03625331302298803,0.9003268919847423,0.901541379
4.0,1.0,32.0,100.0,0.0,0.47731212578254245,0.9250591688086118,0.120673572
4.0,1.0,32.0,100.0,0.1,0.4293339107996952,0.7084895908428146,0.939978955
4.0,1.0,32.0,100.0,0.2,0.295699201331173,0.9015280116988267,0.269012604
4.0,1.0,32.0,100.0,0.3,0.07930559352998393,0.9193028158867189,0.268407079
4.0,1.0,32.0,Inf,0.0,0.485383318016477,0.7521981446756143,0.84335617
4.0,1.0,32.0,Inf,0.1,0.4384847246234037,0.7188743753587357,0.915056335
4.0,1.0,32.0,Inf,0.2,0.29638493377434943,0.9507083221061918,1.078164604
4.0,1.0,32.0,Inf,0.3,0.0008573616830102156,0.045686324243422415,0.097722401
